time,open,high,low,close,EMA,VWAP,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1776643200,73758.4,73799.6,73669,73791.2,,73753.26666666666,,,,,,
1776643260,73791.2,73795.4,73703,73778.6,,73754.59279260988,,,,,,
1776643320,73778.6,73851.7,73770.5,73850.3,,73763.41805153458,,,,,,
1776643380,73850.3,73928.3,73843.8,73928.2,,73786.37407658955,92.2318125770699,,,,,
1776643440,73928.2,74200,73928.2,74029.1,,73935.760847111,95.98150215276944,,,,,
1776643500,74029.1,74049.9,73768.5,73919.7,,73929.69250683206,53.76987671967056,,,,,
1776643560,73919.7,74046.6,73919.7,74042,,73939.62075656692,73.39229019113804,,,,,
1776643620,74042.1,74042.1,73944.3,73964.5,73912.95,73941.0730294557,52.29405272726448,,,,,
1776643680,73964.5,74015.2,73964.5,73989.4,73929.93888888888,73942.44002407015,58.09912618527968,,,,,
1776643740,73989.3,74084.3,73978,74022.8,73950.57469135802,73946.8115432465,66.34021984271183,,,,,
1776643800,74022.8,74029.7,73992,74001.1,73961.8025377229,73948.02355521699,55.669708266073705,,,,,
1776643860,74001.2,74077,74001.2,74065.7,73984.89086267338,73949.94938408952,74.20024403647184,,,,,
1776643920,74065.2,74098.3,74046.8,74046.9,73998.67067096817,73952.22923578433,62.74993390143128,,,,,
1776643980,74046.9,74066.2,74014.4,74030.1,74005.65496630858,73953.23870991576,51.99482671685748,,,,,
1776644040,74030.1,74047.5,73994.4,73994.7,74003.2205293511,73953.71113898895,33.724884315584404,,,,,
1776644100,73994.7,74139.1,73994.6,74132.3,74031.90485616197,73958.10303721695,78.26135991691372,,,,,
1776644160,74132.4,74147.6,74101.9,74113.2,74049.97044368154,73962.46191344094,68.65529375062567,65.526080807133,,,,
1776644220,74113.2,74150,74069.2,74098.3,74060.71034508564,73966.79627647332,60.03283376093223,63.226153748837454,,,,
1776644280,74098.3,74140.7,74098.2,74123.5,74074.66360173328,73969.6608843185,69.68998176196234,61.34818800663694,,,,
1776644340,74123.5,74134.5,74090,74090.1,74078.09391245921,73970.7198372986,47.07581596802672,60.87004081009096,,,,
1776644400,74090.1,74105,74079.1,74084.5,74079.51748746827,73972.1206489241,43.52383828681836,58.73657995978241,,,,
1776644460,74084.6,74144.6,74075.1,74132,74091.18026803088,73974.79205954527,71.18556615051543,60.0859737757289,,,,
1776644520,74131.4,74160,74120.1,74124.2,74098.51798624624,73976.61130320796,63.522005725611,60.473322314323994,,,,
1776644580,74124.2,74200,74124.1,74172.2,74114.89176708041,73987.50628218983,81.70381461313912,61.57072194078309,,,,
1776644640,74172.2,74205.6,74169.5,74205.5,74135.02692995143,73992.50989042743,87.95258212957302,63.87664150246161,,,,
1776644700,74205.5,74216.6,74177.4,74216,74153.02094551778,73995.28883723821,89.6280315669357,64.97862632606618,,,,
1776644760,74215.9,74239.9,74163,74166.7,74156.06073540272,74000.5504380219,45.27905587249499,63.73070646685643,,,,
1776644820,74166.6,74193.3,74149.4,74170.1,74159.18057197989,74003.53339822682,47.94368291490446,63.44133905243122,,,,
1776644880,74170.1,74215.2,74170.1,74209,74170.25155598436,74005.62773803617,71.6420857492025,66.14971058340394,,,,
1776644940,74209.1,74214,74181.8,74186.4,74173.84009909895,74007.16260408597,51.292700291275594,64.22337775300123,,,,
1776645000,74186.5,74186.5,74146,74149,74168.32007707696,74009.11259421761,30.08230938264677,61.46816458385987,,,,
1776645060,74149.1,74225.4,74142,74225.4,74181.00450439319,74013.8564726616,69.15966678010616,62.12008122808658,,,,
1776645120,74225.4,74229.9,74198.9,74200,74185.22572563915,74015.75979447488,54.0850314350137,61.00544191901882,,,,
1776645180,74200.1,74228,74200,74209,74190.50889771934,74016.70559692018,58.85200411408899,61.846598215166125,,,,
1776645240,74209,74209,74170,74170,74185.95136489281,74018.29095341673,35.13885168033514,61.24767060041733,,,,
1776645300,74170,74180,74170,74175.4,74183.60661713885,74018.98154022831,40.147608601426896,59.03067363262529,,,,
1776645360,74175.3,74175.4,74129.3,74132.4,74172.22736888577,74020.5746642875,20.884292660737188,55.98512269942002,,,,
1776645420,74132.3,74132.4,74100,74105.4,74157.3768424667,74021.32935537923,14.383951570240882,51.17656105349872,,,,
1776645480,74105.4,74132.4,74100,74131.7,74151.6708774741,74021.73599938545,41.14838286356329,47.83340396306945,,,,
1776645540,74131.6,74131.7,74100,74113.6,74143.21068247985,74022.0804356604,31.109070607675548,43.65347818026516,,,,
1776645600,74113.6,74164.3,74112.9,74154.2,74145.65275303989,74022.80038885497,62.16653619400659,44.859726774658846,,,,
1776645660,74154.2,74156.6,74132.7,74132.8,74142.7965856977,74023.04217586503,45.830753010814675,44.708803210081,,,,
