time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1635724800,61347.14,61641.66,61129.9,61585.57,3451.959,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635725700,61584.96,61736.85,61494.01,61556.04,2258.687,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635726600,61556.05,61659.99,61418.96,61429.35,1051.031,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635727500,61429.35,61624.66,61418.59,61617.76,860.277,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635728400,61617.76,61783.74,61565.96,61780.01,2032.595,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635729300,61780.01,61794.6,61654.34,61682.28,1034.06,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635730200,61682.29,61717.99,61400.93,61430.03,2215.448,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635731100,61430.02,61493.1,61305.03,61354.01,1296.767,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635732000,61354,61471.15,61237.17,61261.74,1806.035,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635732900,61261.23,61332,60000,60263.26,13576.469,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635733800,60263.25,60688.2,60000,60366.21,7110.705,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635734700,60366.21,60657.69,60330,60580.04,1730.147,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635735600,60580.04,60657.35,60331.96,60363.83,2320.847,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635736500,60363.4,60448.97,60263.94,60416.67,1491.828,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635737400,60417.64,60466.64,60285.48,60324.69,1203.244,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635738300,60332.88,60340.61,59600,59934.99,7121.939,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635739200,59931.23,60339.86,59400,60260.37,11098.837,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635740100,60258,60377,60154.9,60278,2895.193,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635741000,60284.3,60758.55,60278,60634.85,3147.911,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635741900,60634.84,60685.99,60458.48,60544.92,1792.011,3474.7994999999996,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635742800,60540.01,60885.13,60468.84,60745.42,2946.899,3449.5464999999995,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635743700,60742.98,60895.7,60662.48,60691.28,1727.317,3422.977999999999,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635744600,60691.55,60800,60680,60791.41,818.782,3411.3655499999995,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635745500,60791.42,60805.31,60625.22,60663.11,1004.871,3418.5952499999994,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635746400,60663.11,60663.32,60420.02,60443.74,1737.169,3403.823949999999,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635747300,60443.74,60684.09,60312.53,60667.98,2140.917,3459.166799999999,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635748200,60667.98,61000,60654.35,60881.2,2361.519,3466.4703499999987,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635749100,60881.2,60883.55,60709.56,60788.27,1339.722,3468.6180999999983,17.32134011502083,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635750000,60788.27,62261.96,60779.42,62171.53,13070.534,4031.843049999998,44.10506744036222,,,,0,,,0,100,60,-60,53,-53,-93,-103
1635750900,62171.52,62440,62000,62128.17,7932.39,3749.639099999998,61.29694089064982,40.90778281534429,20.38915807530553,,0,,,0,100,60,-60,53,-53,-93,-103
1635751800,62128.17,62299.26,62010.15,62031.01,4689.569,3628.582299999998,67.37638039952556,57.59279624351253,9.783584156013028,,0,,,0,100,60,-60,53,-53,-93,-103
1635752700,62034.83,62280,62019.27,62257.67,2938.705,3689.0101999999983,69.7527186517847,66.1420133139867,3.6107053377980094,,0,,,0,100,60,-60,53,-53,-93,-103
1635753600,62257.67,62517.61,62148,62200,4604.68,3803.201849999999,70.43261752424041,69.18723885851689,1.2453786657235213,,0,,,0,100,60,-60,53,-53,-93,-103
1635754500,62200,62305.02,62123.52,62123.6,1440.013,3800.6110999999996,67.61293892695267,69.26609170099259,-1.6531527740399241,,0,,69.26609170099259,0,100,60,-60,53,-53,-93,-103
1635755400,62125.76,62263.06,61797.41,61888.81,3553.181,3918.107949999999,61.043974903221724,66.36317711813827,-5.319202214916544,,0,,,0,100,60,-60,53,-53,-93,-103
1635756300,61888.91,61991.38,61701.04,61964.57,4239.909,3774.0064499999994,53.26147650050974,60.639463443561375,-7.3779869430516385,,0,,,0,100,60,-60,53,-53,-93,-103
1635757200,61962.62,62200,61858.58,62192.74,3052.211,3371.675149999999,51.19283046674857,55.16609395682668,-3.9732634900781107,,0,,,0,100,60,-60,53,-53,-93,-103
1635758100,62192.74,62244.16,61959.79,62120,1905.864,3322.208699999999,49.355724387463454,51.27001045157392,-1.9142860641104633,,0,,,0,100,60,-60,53,-53,-93,-103
1635759000,62120,62320,62022.59,62223.93,2205.005,3275.063399999999,49.19185259879404,49.913469151002026,-0.7216165522079834,,0,,,0,100,60,-60,53,-53,-93,-103
1635759900,62223.08,62248.95,62000.01,62044.69,1648.54,3267.889849999999,45.543314513335986,48.03029716653116,-2.4869826531951773,,0,,,0,100,60,-60,53,-53,-93,-103
1635760800,62044.69,62147.45,62037.24,62053.81,1077.573,3174.423549999999,41.52756868301124,45.42091193171376,-3.8933432487025215,,0,,,0,100,60,-60,53,-53,-93,-103
1635761700,62053.82,62150,61953.66,62120.98,1582.636,3167.189499999999,37.7676943650228,41.61285918712334,-3.845164822100543,,0,,,0,100,60,-60,53,-53,-93,-103
1635762600,62120.99,62180,62071.23,62076.22,856.535,3169.077149999999,36.1476247672375,38.48096260509051,-2.3333378378530085,,0,,,0,100,60,-60,53,-53,-93,-103
1635763500,62076.22,62368.25,62052.72,62333.9,1857.93,3211.7300999999993,41.223396711739134,38.37957194799981,2.8438247637393275,,0,38.37957194799981,,0,100,60,-60,53,-53,-93,-103
1635764400,62337.22,62543.58,62188.84,62231.58,4083.665,3329.054899999999,46.55326873220572,41.30809673706079,5.245171995144936,,0,,,0,100,60,-60,53,-53,-93,-103
1635765300,62231.57,62292.54,62094.03,62182.77,1833.887,3313.7033999999994,42.68467205592199,43.48711249995561,-0.8024404440336141,,0,,43.48711249995561,0,100,60,-60,53,-53,-93,-103
1635766200,62182.76,62256.36,61851.29,61979.14,2566.319,3323.943399999999,28.924927643403972,39.38762281051056,-10.462695167106585,,0,,,0,100,60,-60,53,-53,-93,-103
1635767100,61979.14,62140,61850,61881.04,2347.972,3374.3558999999996,14.234675326975852,28.6147583421006,-14.380083015124749,,0,,,0,100,60,-60,53,-53,-93,-103
1635768000,61881.04,62258,61855.55,62135.7,4475.484,2944.603399999999,11.632715659111744,18.26410620983052,-6.631390550718775,,0,,,0,100,60,-60,53,-53,-93,-103
1635768900,62135.7,62144.15,61805,61913.75,2962.13,2696.090399999999,-0.4364791646299686,8.476970607152536,-8.913449771782505,,0,,,0,100,60,-60,53,-53,-93,-103
1635769800,61910.75,61969,61826.55,61881.4,1175.162,2520.3700499999986,-12.718246517890856,-0.5073366744696995,-12.210909843421156,,0,,,0,100,60,-60,53,-53,-93,-103
1635770700,61881.41,62072.88,61666,61917.69,3185.83,2532.726299999999,-21.114434856927915,-11.423053513149585,-9.69138134377833,,0,,,0,100,60,-60,53,-53,-93,-103
1635771600,61917.67,61970,61787.1,61883.06,1266.015,2365.793049999999,-26.82338985067279,-20.218690408497192,-6.604699442175598,,0,,,0,100,60,-60,53,-53,-93,-103
1635772500,61883.05,61965.99,61775,61955.04,1035.684,2345.576599999999,-29.010712504315407,-25.64951240397204,-3.3612001003433676,,0,,,0,100,60,-60,53,-53,-93,-103
1635773400,61955.04,62046.15,61842.1,61964.9,1729.834,2254.4092499999992,-25.43079444652593,-27.088298933838047,1.6575044873121172,,0,-27.088298933838047,,0,100,60,-60,53,-53,-93,-103
1635774300,61964.89,62108.08,61850.03,62001.86,2263.728,2155.6001999999994,-18.12004501349792,-24.18718398811309,6.0671389746151725,,0,,,0,100,60,-60,53,-53,-93,-103
1635775200,62001.86,62048.43,61800,61824.91,1565.952,2081.287249999999,-24.230557714340545,-22.593799058121473,-1.6367586562190723,,0,,-22.593799058121473,0,100,60,-60,53,-53,-93,-103
1635776100,61824.91,61949.56,61783.4,61804.26,897.803,2030.884199999999,-32.609208048359605,-24.98660359206602,-7.622604456293583,,0,,,0,100,60,-60,53,-53,-93,-103
1635777000,61800,61836.42,61720,61746.4,2016.148,2021.4413499999991,-43.72351350095582,-33.521093087885326,-10.202420413070492,,0,,,0,100,60,-60,53,-53,-93,-103
1635777900,61746.55,61819.97,61350,61504.12,4969.024,2187.465549999999,-60.20487883592044,-45.512533461745285,-14.692345374175154,,0,,,0,100,60,-60,53,-53,-93,-103
1635778800,61504.13,61605.52,61454.2,61521.81,1865.79,2226.876399999999,-68.1309024653929,-57.35309826742306,-10.777804197969836,,0,,,0,100,60,-60,53,-53,-93,-103
1635779700,61521.82,61680.2,61481.2,61512.84,1618.805,2228.684849999999,-69.24629821271076,-65.86069317134137,-3.385605041369388,,0,,,0,100,60,-60,53,-53,-93,-103
1635780600,61511.33,61670.78,61508.76,61520.5,1297.76,2250.7460999999994,-67.6531234402702,-68.34344137279129,0.6903179325210829,,0,-68.34344137279129,,0,100,60,-60,53,-53,-93,-103
1635781500,61520.5,61650,61480,61600.01,1271.04,2221.4015999999992,-64.42675450134973,-67.1087253847769,2.6819708834271694,,0,,,0,100,60,-60,53,-53,-93,-103
1635782400,61600,61619.78,61450,61492.71,1502.775,2092.3570999999993,-63.86851119669224,-65.31612971277072,1.447618516078478,,0,,,0,100,60,-60,53,-53,-93,-103
1635783300,61492.71,61577.13,61360,61412.21,1032.386,2052.282049999999,-65.58271795507777,-64.62599455103991,-0.9567234040378594,,0,,-64.62599455103991,0,100,60,-60,53,-53,-93,-103
1635784200,61412.22,61492.3,61115.21,61197.94,3355.23,2091.7275999999993,-72.40254627582391,-67.28459180919795,-5.11795446662596,,0,,,0,100,60,-60,53,-53,-93,-103
1635785100,61197.94,61236.89,61104,61119.18,1701.089,2059.383449999999,-77.70131914278902,-71.89552779123022,-5.8057913515587956,-15.008752357539814,0,,,0,100,60,-60,53,-53,-93,-103
1635786000,61119.18,61163.61,60752.73,60832.77,5033.184,2087.268449999999,-84.34087925868621,-78.14824822576637,-6.192631032919849,-15.541165153838866,0,,,0,100,60,-60,53,-53,-93,-103
1635786900,60832.78,61088.94,60813.23,60890,2330.092,2055.666549999999,-84.67741180405989,-82.23987006851168,-2.4375417355482085,-13.458942197692897,0,,,0,100,60,-60,53,-53,-93,-103
1635787800,60893.6,60990.99,60850.29,60888.06,1241.112,2058.9640499999996,-82.73508044030143,-83.91779050101582,1.1827100607143848,-12.128009662499116,1,-83.91779050101582,,0,100,60,-60,53,-53,-93,-103
1635788700,60888.07,60999.5,60785.65,60820,1655.644,1982.4547499999994,-80.18056672958713,-82.53101965798278,2.3504529283956543,-11.823895909471839,0,,,0,100,60,-60,53,-53,-93,-103
1635789600,60820,60870.88,60566,60850,2998.776,2069.0927999999994,-79.02735392064515,-80.64766703017789,1.6203131095327308,-12.061227883830309,0,,,0,100,60,-60,53,-53,-93,-103
1635790500,60845.91,60845.91,60612,60675.19,1779.188,2106.267999999999,-77.32354424433701,-78.84382163152306,1.5202773871860416,-12.909690511044122,0,,,0,100,60,-60,53,-53,-93,-103
1635791400,60676.51,60841.04,60540.23,60829.35,2528.824,2146.2174999999993,-73.42611207633934,-76.59233674710714,3.1662246707678037,-13.334809699272006,0,,,0,100,60,-60,53,-53,-93,-103
1635792300,60827.08,60827.08,60572,60608.04,1170.564,2091.559299999999,-70.98694423985177,-73.91220018684267,2.9252559469909016,-12.169174655978367,0,,,0,100,60,-60,53,-53,-93,-103
1635793200,60608.03,61209.63,60376,60984.6,7435.204,2385.021899999999,-61.15121264346304,-68.52142298655134,7.370210343088303,-9.536558928646256,0,,,0,100,60,-60,53,-53,-93,-103
1635794100,60984.6,61200,60955.6,61108.17,1547.257,2417.494599999999,-42.96520909829138,-58.36778866053536,15.402579562243979,-7.720529659494804,0,,,0,100,60,-60,53,-53,-93,-103
1635795000,61106.36,61106.37,60900,60913.91,1136.408,2373.507599999999,-33.71202605552527,-45.94281593242653,12.230789876901255,-8.486400775516818,0,,,0,100,60,-60,53,-53,-93,-103
1635795900,60913.92,61500,60900,61484.92,2265.968,2238.354799999999,-12.842915539851276,-29.84005023122261,16.997134691371333,-7.755314509390595,0,,,0,100,60,-60,53,-53,-93,-103
1635796800,61484.92,61499.85,60989.74,61204.99,3871.177,2338.624149999999,-0.967918147668211,-15.840953247681549,14.873035100013338,-8.219985253618328,0,,,0,100,60,-60,53,-53,-93,-103
1635797700,61204.41,61225,60937.09,60949.61,1100.538,2312.7107999999994,-1.462104857233019,-5.090979514917465,3.628874657684446,-9.611767418266817,0,,,0,100,60,-60,53,-53,-93,-103
1635798600,60949.61,60957.97,60600,60735.61,3006.151,2398.130349999999,-15.058857561825189,-5.829626855575473,-9.229230706249716,-11.768540191988905,0,,-5.829626855575473,0,100,60,-60,53,-53,-93,-103
1635799500,60735.61,60798.23,60590,60715.69,1353.227,2402.239699999999,-25.895417507715237,-14.138793308924482,-11.756624198790755,-13.269070645385819,0,,,0,100,60,-60,53,-53,-93,-103
1635800400,60715.7,60721.19,60432,60546.28,2246.148,2439.408349999999,-36.72038893465246,-25.8915546680643,-10.828834266588164,-13.404329030342325,0,,,0,100,60,-60,53,-53,-93,-103
1635801300,60546.28,60749.81,60532.51,60680.68,1315.527,2453.565399999999,-39.69466012743963,-34.103488856602446,-5.591171270837187,-12.875007556193166,0,,,0,100,60,-60,53,-53,-93,-103
1635802200,60680.69,60779.4,60565.57,60746.05,825.608,2327.084299999999,-39.261704576581224,-38.558917879557775,-0.7027866970234484,-14.532907776552133,0,,,0,100,60,-60,53,-53,-93,-103
1635803100,60746.4,60931.84,60725.75,60775.61,1250.564,2304.5580499999987,-32.247026584242185,-37.06779709608768,4.820770511845495,-14.821711122806084,0,-37.06779709608768,,0,100,60,-60,53,-53,-93,-103
1635804000,60775.61,60959.74,60740.16,60891.74,1087.392,2107.2684499999987,-22.930244841942063,-31.47965866758849,8.549413825646429,-16.976974608097816,0,,,0,100,60,-60,53,-53,-93,-103
