time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1719792000,62766.1,62809.5,62562,62621.9,3007.979,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719792900,62621.9,62744,62611.2,62722.7,1352.395,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719793800,62722.7,62838.4,62677.8,62790.9,1229.347,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719794700,62790.8,62935.2,62786.7,62924.6,1567.08,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719795600,62924.7,63686.5,62881.3,63642.7,14972.02,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719796500,63642.7,63650,63401.5,63475.3,4225.5,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719797400,63475.4,63672.9,63462.1,63615.2,2377.464,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719798300,63615.3,63730,63525,63631.9,3304.804,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719799200,63631.9,63800,63147.9,63505.1,6456.764,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719800100,63505.1,63603.6,63505,63560.4,1878.822,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719801000,63560.4,63591.7,63337.5,63380.7,3087.807,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719801900,63380.8,63437.9,63266.5,63427.1,2021.118,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719802800,63427.1,63510,63380,63439,1387.956,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719803700,63439.1,63481.5,63388.5,63442.2,1326.734,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719804600,63442.2,63456,63316.9,63357.6,940.364,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719805500,63357.6,63460,63357.6,63416.4,617.586,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719806400,63416.5,63453.7,63346.6,63380.4,814.934,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719807300,63380.5,63421.6,63320,63325.4,633.914,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719808200,63325.4,63347,63200,63211.6,1824.793,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719809100,63211.6,63299.7,63208,63262.9,981.005,2700.4193,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719810000,63263,63349.8,63243.6,63319.7,839.577,2591.9991999999997,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719810900,63319.8,63414,63298.4,63379.7,1101.195,2579.4392,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1719811800,63379.7,63435.5,63355,63374,667.495,2551.3466,,,,,0,,,0,100,60,-60,53,-53,-93,-103
