time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1667260800,20482.1,20492.1,20442.1,20475.4,3459.836,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667261700,20475.5,20482.9,20429.6,20445.5,2668.531,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667262600,20445.5,20479.9,20442.6,20460,1982.932,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667263500,20460,20464.2,20440,20445.4,1208.35,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667264400,20445.5,20475,20445.4,20468.1,1082.823,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667265300,20468.1,20518.4,20446.2,20510.3,2916.406,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667266200,20510.3,20548.5,20496.9,20502.9,5139.346,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667267100,20502.9,20507,20483,20502,1908.584,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667268000,20502,20510.9,20487,20501,1372.692,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667268900,20500.9,20504.8,20485.8,20496.4,1314.903,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667269800,20496.4,20530.9,20492.5,20527,2633.292,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667270700,20527.1,20578,20523.8,20568.1,4608.643,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667271600,20568.1,20577,20500,20500,3826.347,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667272500,20500,20521,20487.7,20487.7,2602.812,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667273400,20487.8,20493.7,20464.6,20480,2902.098,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667274300,20480.1,20495,20470,20471.3,1769.86,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667275200,20471.3,20479.7,20455.8,20472.2,2151.473,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667276100,20472.2,20499.9,20470.6,20471.7,2264.052,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667277000,20471.7,20509.9,20461.4,20500.1,2391.721,,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667277900,20500.1,20505.3,20482.2,20484.3,1203.668,2470.4184499999997,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667278800,20484.3,20535.9,20483.8,20518.5,2643.481,2429.6006999999995,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667279700,20518.6,20531.8,20483,20501.1,2076.891,2400.0186999999996,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667280600,20501.1,20520,20499,20517.1,1135.475,2357.6458499999994,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667281500,20517,20543,20517,20519,1932.853,2393.8709999999996,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667282400,20519,20613.6,20514.5,20602,8075.672,2743.5134499999995,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667283300,20601.9,20649,20598.2,20606.5,7120.145,2953.7003999999993,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667284200,20606.5,20634.2,20588.5,20631,3442.631,2868.8646499999995,,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667285100,20631,20631.1,20605.1,20616.9,2225.616,2884.7162499999995,60.10899959587514,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667286000,20616.9,20643.3,20596.4,20642.8,2814.291,2956.7961999999993,62.235115660324674,,,,0,,,0,100,60,-60,53,-53,-93,-103
1667286900,20642.8,20647.8,20554.5,20555.5,4729.259,3127.513999999999,54.17087926478704,58.838331506995615,-4.667452242208576,,0,,,0,100,60,-60,53,-53,-93,-103
1667287800,20555.5,20584.3,20551,20572,2816.864,3136.6925999999994,42.72497921529929,53.04365804680367,-10.318678831504378,,0,,,0,100,60,-60,53,-53,-93,-103
1667288700,20571.9,20590.3,20567.2,20590.2,1062.908,2959.4058499999996,37.53245421618034,44.80943756542223,-7.276983349241888,,0,,,0,100,60,-60,53,-53,-93,-103
1667289600,20590.2,20631.7,20586.4,20612.1,2863.149,2911.2459499999995,41.895035184318324,40.71748953859932,1.1775456457190074,,0,40.71748953859932,,0,100,60,-60,53,-53,-93,-103
1667290500,20612.1,20615.7,20570,20583.4,2080.047,2885.1076999999996,37.16807001904216,38.86518647318027,-1.6971164541381114,,0,,38.86518647318027,0,100,60,-60,53,-53,-93,-103
1667291400,20583.4,20593.1,20575,20578.3,1359.238,2807.9646999999995,29.494107416580455,36.185737539980316,-6.691630123399861,,0,,,0,100,60,-60,53,-53,-93,-103
1667292300,20578.3,20584.2,20561.9,20572.9,1699.565,2804.4499499999993,18.489242748221113,28.38380672794791,-9.894563979726797,,0,,,0,100,60,-60,53,-53,-93,-103
1667293200,20572.9,20591.8,20557.4,20586.7,3472.948,2870.5236999999993,12.990755417011236,20.324701860604268,-7.333946443593032,,0,,,0,100,60,-60,53,-53,-93,-103
1667294100,20586.8,20592,20544.5,20556.3,2415.124,2878.0772999999995,0.15351729596017982,10.544505153730844,-10.390987857770664,,0,,,0,100,60,-60,53,-53,-93,-103
1667295000,20556.4,20620,20535.3,20617.9,4690.492,2993.0158499999993,8.183646030850241,7.109306247940554,1.0743397829096866,,0,7.109306247940554,,0,100,60,-60,53,-53,-93,-103
1667295900,20617.9,20687,20565,20583.8,11455.705,3505.6177,23.633573674375334,10.656912333728586,12.976661340646748,,0,,,0,100,60,-60,53,-53,-93,-103
1667296800,20584,20633.1,20563.5,20631.5,4758.991,3611.3931999999995,31.58791122113064,21.13504364211874,10.452867579011897,,0,,,0,100,60,-60,53,-53,-93,-103
1667297700,20631.6,20631.6,20590.3,20600.9,2556.723,3635.384799999999,35.39916897208505,30.206884622530342,5.192284349554708,,0,,,0,100,60,-60,53,-53,-93,-103
1667298600,20600.8,20643.5,20595.8,20630.4,3049.013,3731.0616999999993,43.968104782687206,36.9850616586343,6.983043124052905,,0,,,0,100,60,-60,53,-53,-93,-103
1667299500,20630.4,20637.5,20604,20606.9,1888.372,3728.837649999999,45.31549311096403,41.56092228857876,3.7545708223852685,,0,,,0,100,60,-60,53,-53,-93,-103
1667300400,20606.9,20612,20536.5,20548.8,5103.694,3580.238749999999,21.729469820834797,37.00435590482868,-15.27488608399388,,0,,37.00435590482868,0,100,60,-60,53,-53,-93,-103
1667301300,20548.8,20556,20477.5,20514.3,9991.72,3723.8174999999987,-5.278821102868449,20.588713942976792,-25.86753504584524,,0,,,0,100,60,-60,53,-53,-93,-103
1667302200,20514.3,20543.6,20508.4,20522,2829.643,3693.168099999999,-19.082090983851607,-0.8771474219617517,-18.204943561889856,,0,,,0,100,60,-60,53,-53,-93,-103
1667303100,20522,20540.3,20499.2,20511.7,2888.341,3726.3043499999994,-28.983223437700598,-17.781378508140218,-11.20184492956038,,0,,,0,100,60,-60,53,-53,-93,-103
1667304000,20511.8,20531.4,20465.9,20519.9,5622.665,3866.723049999999,-36.916559743697775,-28.327291388416665,-8.58926835528111,,0,,,0,100,60,-60,53,-53,-93,-103
1667304900,20519.9,20542,20517.5,20534.8,2333.463,3746.933249999999,-35.675984247977446,-33.85858914312527,-1.8173951048521744,,0,,,0,100,60,-60,53,-53,-93,-103
1667305800,20534.8,20557.9,20531.1,20542.9,2299.404,3721.0602499999986,-30.430621939902352,-34.34105531052586,3.910433370623508,,0,-34.34105531052586,,0,100,60,-60,53,-53,-93,-103
1667306700,20543,20558.4,20511.6,20533,3427.497,3839.289699999999,-29.677200935487086,-31.927935707788965,2.250734772301879,,0,,,0,100,60,-60,53,-53,-93,-103
1667307600,20533,20535,20513.5,20515.1,1630.594,3777.661949999999,-33.64688139428867,-31.251568089892704,-2.395313304395966,,0,,-31.251568089892704,0,100,60,-60,53,-53,-93,-103
1667308500,20515.1,20538.4,20503.2,20517.6,2210.84,3784.201599999998,-36.321142681713035,-33.215075003829604,-3.1060676778834306,,0,,,0,100,60,-60,53,-53,-93,-103
1667309400,20517.6,20544.9,20416,20438.5,12102.691,4321.374249999999,-51.91485035275758,-40.62762480958643,-11.287225543171154,,0,,,0,100,60,-60,53,-53,-93,-103
1667310300,20438.6,20447.7,20342.1,20411.3,16489.259,5060.858949999999,-68.42176822840486,-52.21925375429183,-16.20251447411303,,0,,,0,100,60,-60,53,-53,-93,-103
1667311200,20411.2,20421.1,20320,20379.3,17059.548,5740.188949999998,-77.34183731644143,-65.89281863253463,-11.4490186839068,,0,,,0,100,60,-60,53,-53,-93,-103
1667312100,20379.2,20458.7,20375,20447.8,10917.623,6165.313899999998,-73.00073737058345,-72.92144763847658,-0.07928973210687218,,0,,,0,100,60,-60,53,-53,-93,-103
1667313000,20447.8,20475.1,20395.1,20405.8,6776.625,6269.620549999998,-68.64735113691532,-72.9966419413134,4.3492908043980805,,0,-72.9966419413134,,0,100,60,-60,53,-53,-93,-103
1667313900,20405.8,20421.1,20375,20397,4454.872,5919.578899999999,-68.55835967830214,-70.06881606193363,1.5104563836314924,,0,,,0,100,60,-60,53,-53,-93,-103
1667314800,20397.1,20445.7,20383,20445.7,3910.854,5877.172049999999,-62.01560073546934,-66.40710385022894,4.391503114759594,,0,,,0,100,60,-60,53,-53,-93,-103
1667315700,20445.7,20450.1,20418,20442.9,2739.185,5886.295149999999,-53.28709880309793,-61.287019738956474,7.99992093585854,,0,,,0,100,60,-60,53,-53,-93,-103
1667316600,20442.9,20454.6,20383.1,20395.8,3965.563,5932.122649999998,-52.81337090381139,-56.038690147459555,3.2253192436481655,,0,,,0,100,60,-60,53,-53,-93,-103
1667317500,20395.9,20450,20389.7,20435.6,3570.563,6016.232199999998,-47.506200889927605,-51.20222353227897,3.696022642351366,,0,,,0,100,60,-60,53,-53,-93,-103
1667318400,20435.6,20511,20420,20459.7,8327.469,6177.420949999998,-30.051347696349342,-43.45697316336278,13.40562546701344,,0,,,0,100,60,-60,53,-53,-93,-103
1667319300,20459.7,20469.9,20421.1,20421.9,3171.342,5836.402049999998,-25.735334794635513,-34.43096112697082,8.695626332335308,,0,,,0,100,60,-60,53,-53,-93,-103
1667320200,20422,20449.8,20403.2,20447.1,2882.98,5839.0688999999975,-24.109407239167602,-26.63202991005082,2.5226226708832193,,0,,,0,100,60,-60,53,-53,-93,-103
1667321100,20447.1,20447.9,20366.8,20401.5,6375.944,6013.449049999997,-34.289537196897584,-28.044759743566903,-6.244777453330681,-0.8148870444886416,0,,-28.044759743566903,0,100,60,-60,53,-53,-93,-103
1667322000,20401.5,20436,20395.1,20424.2,2082.147,5836.423149999998,-35.009809492266065,-31.136251309443754,-3.873558182822311,-2.1600528209029033,0,,,0,100,60,-60,53,-53,-93,-103
1667322900,20424.2,20443.9,20410.3,20431.9,1965.407,5818.020349999998,-29.44626406334418,-32.915203584169284,3.468939520825103,-1.4361690262236242,0,-32.915203584169284,,0,100,60,-60,53,-53,-93,-103
1667323800,20431.9,20445,20397,20425,1657.863,5785.943299999998,-29.130324823880038,-31.19546612649677,2.0651413026167305,-2.2102753238432884,0,,,0,100,60,-60,53,-53,-93,-103
1667324700,20425,20431.8,20405.8,20431.8,1220.977,5675.617299999998,-27.948555496009,-28.841714794411075,0.8931592984020753,-4.847312540452097,0,,,0,100,60,-60,53,-53,-93,-103
1667325600,20431.7,20454.9,20423,20423,2007.762,5694.475699999998,-17.29393048614456,-24.790936935344536,7.497006449199976,-3.8067770766229625,0,,,0,100,60,-60,53,-53,-93,-103
1667326500,20423.1,20442.2,20400,20415.8,1745.02,5671.184699999999,-22.566459574113043,-22.60298185208887,0.03652227797582697,-4.015377505846609,0,,,0,100,60,-60,53,-53,-93,-103
1667327400,20415.8,20437.3,20415.4,20426.3,1362.113,5134.155799999999,-18.88755364675778,-19.582647902338465,0.6950942555806847,-1.9348794369024815,0,,,0,100,60,-60,53,-53,-93,-103
