time,open,high,low,close,Volume,Volume MA,Lt Blue Wave,Blue Wave,VWAP,Mny Flow,Buy,Blue Wave Crossing UP,Blue Wave Crossing Down,Zero,100%,OB 1 Solid,OS 1 Solid,Trigger 1,Trigger 2,Plot,Plot
1626238500,31894.58,31939.5,31887.01,31920.98,858.594,3411.1939499999876,-3.4593151448315362,-4.20487480914309,0.7455596643115534,-0.755062622737258,0,-4.20487480914309,,0,100,60,-60,53,-53,-93,-103
1626238800,31920.98,31945.79,31850,31868.53,1713.64,2700.4201999999877,-11.580999943497368,-6.5080150885084755,-5.072984854988892,-4.968541738457312,0,,-6.5080150885084755,0,100,60,-60,53,-53,-93,-103
1626239100,31868.53,31950,31864.77,31942.24,1355.105,2120.749449999988,-6.270867099278774,-7.1037273958692255,0.8328602965904519,-5.244256637183624,0,-7.1037273958692255,,0,100,60,-60,53,-53,-93,-103
1626239400,31942.24,31963.04,31933.59,31933.59,970.396,1808.107549999988,6.280220054510347,-3.8572156627552645,10.137435717265612,-3.2301713560187766,0,,,0,100,60,-60,53,-53,-93,-103
1626239700,31932.78,31987.25,31930,31933.08,1741.382,1680.579799999988,16.6948065727581,5.568053175996558,11.126753396761544,-0.5473256840613047,0,,,0,100,60,-60,53,-53,-93,-103
1626240000,31933.09,31953.14,31890,31910.78,1059.92,1596.4006999999879,11.47468054850047,11.483235725256307,-0.008555176755837834,0.404926171819013,0,,11.483235725256307,0,100,60,-60,53,-53,-93,-103
1626240300,31910.8,31948.54,31891,31905.34,820.378,1525.284049999988,5.803859380716869,11.324448833991811,-5.520589453274942,0.37780105239743933,0,,,0,100,60,-60,53,-53,-93,-103
1626240600,31905.34,31933.03,31850.1,31851.8,1279.041,1485.722049999988,-12.358335763905252,1.6400680551040285,-13.998403819009281,-0.37496933393731996,0,,,0,100,60,-60,53,-53,-93,-103
1626240900,31853.69,31887.64,31766,31797.65,2736.96,1542.837349999988,-35.227903666609336,-13.927460016599241,-21.300443650010095,-1.774618813385266,0,,,0,100,60,-60,53,-53,-93,-103
1626241200,31797.64,31847.45,31651,31716.59,5538.441,1683.586949999988,-55.18819313984295,-34.258144190119175,-20.930048949723776,-2.976859024859148,0,,,0,100,60,-60,53,-53,-93,-103
1626241500,31716.58,31883.77,31706.4,31853.79,3421.2,1789.3357499999881,-54.92080276800226,-48.44563319148485,-6.475169576517409,-2.388752603468712,0,,,0,100,60,-60,53,-53,-93,-103
1626241800,31853.8,31880,31777,31802.99,1916.665,1762.6980999999882,-52.690687477632,-54.266561128492405,1.5758736508604088,-1.6236933053921583,0,-54.266561128492405,,0,100,60,-60,53,-53,-93,-103
1626242100,31803,31845.71,31765.46,31800.45,1556.807,1730.0876499999881,-52.96381768963229,-53.52510264508885,0.5612849554565571,-0.25142721613982655,0,,,0,100,60,-60,53,-53,-93,-103
1626242400,31800.45,31888.8,31792.94,31873.46,1588.72,1722.8612499999883,-41.62133122221272,-49.091945463159,7.470614240946283,1.6027437281870731,0,,,0,100,60,-60,53,-53,-93,-103
1626242700,31873.47,31875.19,31800,31811.26,1022.862,1704.1461999999883,-38.424749747791154,-44.336632886545395,5.911883138754241,3.304466385251736,0,,,0,100,60,-60,53,-53,-93,-103
1626243000,31811.25,31879,31766.14,31800.63,1974.728,1708.8812499999883,-39.27845617796907,-39.77484571599098,0.49638953802190855,4.607643384954607,0,,,0,100,60,-60,53,-53,-93,-103
1626243300,31800.64,31873.77,31748.5,31852.4,2948.544,1798.9035499999886,-36.273775089123234,-37.99232700496115,1.7185519158379137,5.844492982700484,0,,,0,100,60,-60,53,-53,-93,-103
1626243600,31852.39,31855,31776.02,31784.36,1312.864,1812.0707999999886,-40.13211930393159,-38.5614501903413,-1.5706691135902915,4.661495426006047,0,,-38.5614501903413,0,100,60,-60,53,-53,-93,-103
1626243900,31784.36,31847.23,31781.53,31826.87,1077.771,1797.3826499999886,-37.26307110098648,-37.889655164680434,0.6265840636939544,4.624466145381507,0,-37.889655164680434,,0,100,60,-60,53,-53,-93,-103
1626244200,31828.4,31860,31805.22,31842.54,946.727,1792.0372499999885,-26.44888144524605,-34.61469061672137,8.165809171475317,6.928816918517263,0,,,0,100,60,-60,53,-53,-93,-103
1626244500,31842.55,31872.01,31820,31870.99,1041.501,1801.1825999999885,-10.326853005113843,-24.67960185044879,14.352748845334947,7.05659241851781,0,,,0,100,60,-60,53,-53,-93,-103
1626244800,31870.99,31909,31853.3,31895.01,2272.627,1829.1319499999886,9.980897565334189,-8.931612295008568,18.91250986034276,7.354908418311369,0,,,0,100,60,-60,53,-53,-93,-103
1626245100,31895.01,31929,31850.15,31919.05,1378.696,1830.3114999999882,25.123335924509494,8.259126828243284,16.864209096266208,7.2398407239541696,0,,,0,100,60,-60,53,-53,-93,-103
1626245400,31918.4,31918.4,31850,31866.04,1013.402,1832.4617999999882,28.7622354996309,21.288822996491533,7.473412503139368,7.226628426698914,0,,,0,100,60,-60,53,-53,-93,-103
1626245700,31866.03,31868.31,31776.28,31815.47,1799.593,1835.3723499999883,12.42563202546463,22.103734483201677,-9.678102457737047,6.638653952341857,0,,22.103734483201677,0,100,60,-60,53,-53,-93,-103
1626246000,31815.47,31880.14,31811,31874.99,893.48,1827.0503499999886,11.99545182789823,17.72777311766459,-5.732321289766361,5.802662634696701,0,,,0,100,60,-60,53,-53,-93,-103
1626246300,31874.99,31896.62,31846.63,31869.12,803.932,1826.2280499999888,17.509147557236187,13.976743803533019,3.532403753703168,5.892488835863515,0,13.976743803533019,,0,100,60,-60,53,-53,-93,-103
