n,pair,dir,entry_dt,exit_dt,entry_notional,exit_notional,exit_type,note,gross,fees,net,equity,mins
1,LINK,S,2026-08-18 20:30:00,2026-08-19 00:14:00,6165.25,6210.75,SL,,-45.5,0.49504000000000004,-45.99504,9954.00496,224.0
2,LINK,L,2026-08-19 09:33:00,2026-08-19 10:50:00,6739.6,6796.79,TP,,57.1899999999996,0.5414556,56.6485443999996,10010.6535044,77.0
3,LINK,L,2026-08-19 10:01:00,2026-08-19 10:50:00,7711.26,7762.01,TP,,50.75,0.6189308000000001,50.1310692,10060.7845736,49.0
4,LINK,L,2026-08-19 10:41:00,2026-08-19 10:50:00,13536.6,13581.49,TP,big,44.88999999999942,1.0847236,43.80527639999942,10104.589849999998,9.0
5,LINK,L,2026-08-19 14:47:00,2026-08-19 16:03:00,7017.07,6987.56,SL,,-29.50999999999931,0.5601852,-30.070185199999308,10074.5196648,76.0
6,LINK,L,2026-08-19 17:45:00,2026-08-19 17:55:00,8734.5,8788.13,TP,,53.6299999999992,0.7009052,52.9290947999992,10127.448759599998,10.0
7,SOL,L,2026-08-20 14:15:00,2026-08-20 14:39:00,8013.2,8089.56,TP,,76.36000000000058,0.6441104000000001,75.71588960000058,10203.1646492,24.0
8,BTC,L,2026-08-20 15:18:00,2026-08-20 16:32:00,10761.46,10715.25,SL,big,-46.20999999999913,0.8590684000000001,-47.069068399999125,10156.0955808,74.0
9,BTC,L,2026-08-20 15:55:00,2026-08-20 16:32:00,8977.58,8929.37,SL,,-48.20999999999913,0.7162780000000001,-48.92627799999913,10107.1693028,37.0
10,BTC,S,2026-08-20 16:51:00,2026-08-20 16:51:00,17181.69,17205.12,SL,big_quick,-23.43000000000029,1.3754724,-24.80547240000029,10082.363830400001,0.0
11,BTC,L,2026-08-20 16:56:00,2026-08-20 18:03:00,5736.27,5785.72,TP,,49.44999999999982,0.4608796000000001,48.98912039999982,10131.352950800001,67.0
12,ETH,L,2026-08-20 17:10:00,2026-08-20 18:20:00,4109.13,4159.45,TP,,50.31999999999971,0.3307432,49.98925679999971,10181.3422076,70.0
13,ETH,L,2026-08-20 18:15:00,2026-08-20 19:41:00,2526.45,2574.46,TP,,48.01000000000022,0.2040364,47.80596360000022,10229.1481712,86.0
15,XRP,L,2026-08-20 23:15:00,2026-08-21 00:07:00,3702.0,3754.49,TP,,52.48999999999978,0.2982596,52.19174039999978,10281.3399116,52.0
14,SOL,L,2026-08-20 23:00:00,2026-08-21 01:02:00,6542.25,6546.75,SL,sl_above_entry,4.5,0.52356,3.97644,10285.3163516,122.0
16,SOL,L,2026-08-21 10:37:00,2026-08-21 11:25:00,19824.8,19944.8,MKT,scaleout_big,120.0,1.590784,118.409216,10403.7255676,48.0
17,LINK,L,2026-08-21 13:20:00,2026-08-21 14:12:00,3438.8,3397.72,SL,,-41.08000000000038,0.27346080000000006,-41.353460800000384,10362.3721068,52.0
18,LINK,L,2026-08-21 13:46:00,2026-08-21 14:12:00,5708.5,5662.71,SL,,-45.789999999999964,0.4548484,-46.24484839999997,10316.1272584,26.0
19,LINK,L,2026-08-21 14:25:00,2026-08-21 14:34:00,5698.15,5644.29,SL,,-53.85999999999967,0.4536976,-54.31369759999967,10261.813560800001,9.0
20,LINK,L,2026-08-21 15:20:00,2026-08-21 15:39:00,8473.05,8524.69,TP,,51.64000000000124,0.6799096,50.960090400001235,10312.773651200001,19.0
22,SOL,L,2026-08-21 15:47:00,2026-08-21 16:35:00,4098.15,4044.6,SL,,-53.54999999999973,0.32571,-53.87570999999973,10258.897941200003,48.0
