entry_dt,exit_dt,side,reason,bars,pnl,R,equity,year,bull,highvol
2021-12-13 16:00:00+00:00,2021-12-15 00:00:00+00:00,1,target,8,84.28681136010367,0.8428681136010368,10084.286811360103,2021,False,True
2021-12-16 12:00:00+00:00,2021-12-16 20:00:00+00:00,-1,target,2,113.31492950193531,1.1236781700247191,10197.60174086204,2021,False,False
2021-12-27 20:00:00+00:00,2021-12-27 20:00:00+00:00,-1,target,0,24.262531484911978,0.2379238972207693,10221.864272346951,2021,False,False
2022-01-11 12:00:00+00:00,2022-01-12 12:00:00+00:00,-1,stop,6,-104.4945067104607,-1.0222646664674275,10117.369765636491,2022,False,False
2022-01-20 20:00:00+00:00,2022-01-20 20:00:00+00:00,-1,target,0,43.62221980798137,0.43116166373738407,10160.991985444472,2022,False,False
2022-01-25 12:00:00+00:00,2022-01-26 16:00:00+00:00,-1,stop,7,-103.21686070730115,-1.0158148028771044,10057.77512473717,2022,False,True
2022-01-30 00:00:00+00:00,2022-01-31 00:00:00+00:00,-1,target,6,57.03644252893963,0.5670880669091327,10114.81156726611,2022,False,False
2022-02-03 16:00:00+00:00,2022-02-04 04:00:00+00:00,1,target,3,58.773883015794205,0.5810675030862681,10173.585450281904,2022,False,False
2022-02-11 00:00:00+00:00,2022-02-12 20:00:00+00:00,1,stop,11,-103.96911664712705,-1.0219515740563827,10069.616333634776,2022,True,True
2022-02-17 16:00:00+00:00,2022-02-17 16:00:00+00:00,1,stop,0,-104.59032342713036,-1.038672377990959,9965.026010207646,2022,False,False
2022-02-26 20:00:00+00:00,2022-02-27 20:00:00+00:00,-1,target,6,80.0599019417928,0.8034088607474147,10045.08591214944,2022,True,True
2022-03-11 20:00:00+00:00,2022-03-16 00:00:00+00:00,1,target,25,89.62652267935803,0.8922424702306982,10134.712434828798,2022,False,True
2022-03-21 04:00:00+00:00,2022-03-21 08:00:00+00:00,1,target,1,29.679973295731394,0.2928546171052042,10164.39240812453,2022,False,False
2022-04-05 12:00:00+00:00,2022-04-05 12:00:00+00:00,-1,target,0,24.482524897402374,0.24086560134999488,10188.874933021933,2022,True,False
2022-04-16 16:00:00+00:00,2022-04-16 20:00:00+00:00,1,target,1,43.04968176690345,0.4225165393617731,10231.924614788835,2022,True,False
2022-04-19 08:00:00+00:00,2022-04-20 08:00:00+00:00,-1,stop,6,-105.58763962433406,-1.0319430957468323,10126.3369751645,2022,False,False
2022-04-22 04:00:00+00:00,2022-04-24 16:00:00+00:00,1,stop,15,-103.78911152249236,-1.024942304182074,10022.547863642008,2022,False,False
2022-05-13 12:00:00+00:00,2022-05-13 16:00:00+00:00,-1,target,1,28.15501366446746,0.28091672943367163,10050.702877306476,2022,False,True
2022-05-15 04:00:00+00:00,2022-05-18 12:00:00+00:00,-1,target,20,33.24410112492944,0.33076394288792915,10083.946978431406,2022,False,True
2022-05-20 12:00:00+00:00,2022-05-20 12:00:00+00:00,-1,target,0,60.195303498595024,0.5969418882045592,10144.14228193,2022,False,True
2022-05-23 08:00:00+00:00,2022-05-23 16:00:00+00:00,-1,target,2,75.65414386844489,0.7457914308162791,10219.796425798446,2022,False,False
2022-05-24 00:00:00+00:00,2022-05-24 20:00:00+00:00,1,target,5,54.85940560698513,0.5367954832104114,10274.655831405431,2022,False,False
2022-05-30 00:00:00+00:00,2022-05-30 00:00:00+00:00,-1,stop,0,-106.74621642399106,-1.0389274168942129,10167.90961498144,2022,False,False
2022-06-02 12:00:00+00:00,2022-06-06 00:00:00+00:00,1,target,21,47.68022843818117,0.46892852359671766,10215.58984341962,2022,False,False
2022-06-07 04:00:00+00:00,2022-06-07 16:00:00+00:00,1,target,3,97.24747544803353,0.9519516438952916,10312.837318867654,2022,False,False
2022-06-10 16:00:00+00:00,2022-06-11 08:00:00+00:00,1,stop,4,-106.73039077660816,-1.0349275129293625,10206.106928091045,2022,False,False
2022-06-21 04:00:00+00:00,2022-06-30 04:00:00+00:00,-1,target,54,90.56134008283004,0.8873250174713647,10296.668268173875,2022,False,True
2022-07-04 12:00:00+00:00,2022-07-04 20:00:00+00:00,-1,stop,2,-107.45798063665808,-1.0436189438947117,10189.210287537217,2022,False,False
2022-07-11 00:00:00+00:00,2022-07-11 20:00:00+00:00,1,stop,5,-104.8464544037178,-1.0289949019106928,10084.363833133499,2022,False,False
2022-07-14 20:00:00+00:00,2022-07-16 16:00:00+00:00,-1,stop,11,-103.38992108553097,-1.0252498104623105,9980.973912047968,2022,False,True
2022-07-25 00:00:00+00:00,2022-07-25 20:00:00+00:00,1,stop,5,-101.73853772412325,-1.0193247534823764,9879.235374323845,2022,True,True
2022-07-27 20:00:00+00:00,2022-07-28 12:00:00+00:00,-1,stop,4,-101.45904179809988,-1.0269928587974748,9777.776332525746,2022,True,False
