side,entry_dt,entry_px,exit_dt,exit_px,pnl,r_multiple,reason,cost
1,2020-07-30,11113.01,2020-09-03,10370.978737947991,-100.69882357175007,-1.0069882357175006,stop,1.4476471435001468
1,2020-09-27,10726.5,2020-09-27,10768.0,4.523031842880325,0.04569387200922445,signal,1.3459451205392505
1,2020-09-29,10691.94,2020-09-29,10836.98,18.04973961251875,0.18227634560708414,signal,1.3915885888168296
1,2020-10-01,10773.0,2020-10-01,10612.63,-22.893778241466872,-0.23078958393124188,signal,1.4775735166914439
1,2020-10-12,11369.59,2020-10-13,11419.36,6.980247038550506,0.07053515972340597,signal,1.8051673336595604
1,2020-10-15,11417.12,2020-10-17,11356.25,-10.245914537268828,-0.10347105218062624,signal,1.753122291165972
1,2020-10-20,11744.99,2021-02-28,45163.36,5200.078396750809,52.57341861030017,signal,4.430616798054579
1,2021-03-02,49594.99,2021-05-01,57836.34,143.2051343486363,0.9489915699065316,signal,0.9366724963062911
1,2021-05-06,57497.76,2021-05-10,55869.67,-36.58439080247492,-0.2401651213427569,signal,1.2522391801546293
1,2021-05-15,49873.26,2021-05-15,46793.41,-59.723789864835034,-0.39302836667244667,signal,0.9302031766780456
1,2021-08-08,44601.11,2021-09-28,41006.32,-102.44111295683314,-0.6768226125314688,reverse,1.2128643540727668
-1,2021-09-29,41002.96,2021-10-01,46229.04315498954,-150.9900710160064,-1.0044229150000084,stop,1.254588525979678
1,2021-10-02,48123.93,2021-11-23,57574.23,254.18936610061886,1.708153988764645,signal,1.4258510610953636
1,2022-04-04,46392.3,2022-04-05,45477.4,-37.33095145182154,-0.24666160707967494,signal,1.8288405281231483
-1,2022-04-15,39915.9,2022-04-15,40529.5,-25.562236929717294,-0.16932866423017412,signal,1.6220845020218306
-1,2022-04-18,39649.1,2022-04-18,40785.6,-51.40593794086727,-0.34111759162124805,signal,1.7870373108434408
-1,2022-04-21,41326.0,2022-04-25,40411.0,39.22162811436624,0.2611715749632164,signal,1.7913935642116452
-1,2022-04-28,39209.0,2022-05-01,38440.5,30.769823287935875,0.20437070481355865,signal,1.5943720575636648
-1,2022-05-06,36533.7,2022-07-30,23629.9,509.4116053242691,3.376750605891733,signal,1.188646897247496
-1,2022-09-04,19820.7,2022-09-09,21573.59168733899,-156.90506371882395,-1.0061537149851196,stop,1.841314626426965
-1,2022-12-31,16601.2,2022-12-31,16537.6,11.014853666653403,0.07135472107785956,signal,3.298491923982124
-1,2023-03-10,20348.4,2023-03-12,22103.64872016441,-155.43373320020208,-1.006296443480128,stop,1.867881554763493
1,2023-03-14,24119.5,2023-05-12,26785.1,188.0851246151245,1.2301355425460476,signal,1.8049866413132711
1,2023-05-14,26762.8,2023-05-31,27201.1,30.8376545453792,0.19924802995708216,signal,1.9591738417855158
1,2023-06-07,27221.5,2023-06-07,26325.9,-73.82578450985991,-0.47608392379274056,signal,2.175033001435236
1,2023-06-11,25826.6,2023-06-11,25909.9,5.753092961097718,0.03728039433521645,signal,2.1156065279775893
1,2023-06-13,25894.8,2023-06-15,25586.1,-27.96372422823573,-0.18115150696508503,signal,2.2389250570445887
1,2023-06-22,29988.5,2023-06-24,30524.2,37.42022105180884,0.24286921897887445,signal,2.1754743557701977
1,2023-06-26,30458.0,2023-07-24,29163.8,-95.92582625203839,-0.6211242760043074,signal,2.1849593227235875
1,2023-07-26,29216.2,2023-07-26,29336.0,10.405410414314064,0.06780155833200936,signal,2.8975938423172973
1,2023-07-28,29209.8,2023-08-09,29572.8,35.99942011900749,0.2344350252147199,signal,3.0385652844799425
1,2023-10-06,27398.3,2024-04-29,63842.4,3919.3087345396257,25.466081560982744,signal,4.910451451143451
1,2024-06-05,70580.0,2024-06-08,69346.5,-52.32999937143662,-0.27102553499156823,signal,2.886968975669265
1,2024-06-21,64854.0,2024-06-22,64240.0,-31.10894102619424,-0.16156831653176618,signal,3.107764527359871
1,2024-06-28,61682.1,2024-06-28,60429.8,-60.28800047583792,-0.3136457276367402,signal,2.870096201340623
1,2024-07-01,62766.1,2024-07-02,62123.6,-32.36641536466048,-0.1689274576981706,signal,3.0006392174911327
1,2024-09-24,63302.1,2024-10-02,60622.6,-116.70753985063473,-0.6102012063016033,signal,2.6686261998626906
1,2024-10-05,62054.3,2024-10-10,60293.2,-78.70954371420682,-0.41408631246870964,signal,2.688048619205722
1,2024-10-12,62509.0,2024-10-12,63176.0,28.405147452820973,0.15007000504383497,signal,2.8092804020130275
1,2024-10-16,67044.0,2024-12-31,93548.9,1135.7393261745808,5.991785627236028,end_of_data,3.4467988234794262
