run,trades,net_pnl,return_pct,expectancy_per_trade,expectancy_R,win_rate_pct,profit_factor,max_drawdown_pct,longest_losing_streak,avg_win,avg_loss,total_costs,series,time_in_market_pct
s1_flat,64,80548.51,791.58,1258.57,0.0461,40.6,1.895,-51.36,7,6557.89,-2367.28,2821.05,BTCUSDT_1D,47.0
s1_flip,129,18538.25,171.46,143.71,0.017,36.4,1.161,-58.86,8,2838.9,-1401.1,2844.94,BTCUSDT_1D,91.6
s1_flat_4h,343,-624.91,-16.78,-1.82,0.001,34.7,0.982,-74.08,17,287.15,-155.34,2114.3,BTCUSDT_4h,46.3
s1_flip_4h,686,-7594.82,-85.41,-11.07,-0.0013,33.5,0.791,-90.95,12,125.07,-79.74,1895.79,BTCUSDT_4h,92.4
s2_mid,54,6300.68,62.57,116.68,0.9795,46.3,3.327,-12.25,5,360.32,-93.35,91.21,BTCUSDT_1D,65.4
s2_band,187,3485.19,33.42,18.64,0.1647,68.4,1.483,-5.76,4,83.66,-122.42,288.16,BTCUSDT_1D,52.4
s3_atr,40,10129.96,100.91,253.25,2.0855,47.5,7.847,-12.61,6,611.02,-70.45,86.46,BTCUSDT_1D,44.8
s3_nostop,40,118915.03,1180.49,2972.88,0.119,50.0,3.796,-38.05,6,8072.19,-2126.43,1915.86,BTCUSDT_1D,51.6
s4,2,-208.04,1.32,-104.02,-1.0109,0.0,0.0,-3.2,2,0.0,-104.02,4.49,BTCUSDT_1D,0.3
