dir,entry,stop_d,gross_r,net_r,t_entry,t_exit,n_swaps
long,46820.9,965.0574923458722,-1.0,-1.1072207509093306,1648425600,1648743300,22
long,46523.6,1195.3606304115128,-1.0,-1.0774510734623475,1648828800,1649093400,18
long,43636.3,1107.3574292566884,-1.0,-1.0394057951363462,1649433600,1649440800,0
short,42140.3,945.4165019977435,2.0,1.9456206170599266,1649635200,1649697300,4
short,39961.0,1060.0159305018908,-1.0,-1.0584326595645344,1649707200,1649862900,10
short,38902.2,863.7681885441725,-1.0,-1.0499919336839432,1650268800,1650301200,2
short,41247.0,977.8202182058853,-1.0,-1.0514627730773762,1650470400,1650536100,4
short,39414.5,1139.371329986639,-1.0,-1.0707430934750177,1650643200,1650926700,19
short,38547.0,1131.9744860146798,-1.0,-1.0490361582224568,1650988800,1651107600,8
short,39428.1,1142.4834664263265,2.0,1.8876671135544385,1651161600,1651762800,41
short,36886.5,1215.9263011575815,2.0,1.9463050474869705,1651766400,1651975200,14
short,33108.0,1121.06376278267,2.0,1.9688430389424947,1652097600,1652120100,1
short,30930.2,1351.405234236078,-1.0,-1.025405053295807,1652126400,1652163300,2
short,30971.4,1993.398084208071,2.0,1.9818994102152283,1652284800,1652331600,3
short,29663.1,1542.5319365621044,-1.0,-1.1091310257570297,1652716800,1653941700,85
short,30733.6,849.7451532915965,-1.0,-1.0918667716992696,1654099200,1654513200,28
short,29547.5,875.3579674404318,-1.0,-1.0393242979219728,1654574400,1654628400,3
short,29438.2,876.9248074564355,2.0,1.9516594722380392,1654876800,1655001000,8
short,25499.9,1174.1212427643607,2.0,1.9758927034372031,1655092800,1655130600,2
short,23255.3,1435.0310569800658,2.0,1.9748815784685134,1655136000,1655280000,10
short,20744.0,710.628328982459,2.0,1.94672630057655,1656345600,1656571500,15
short,19720.6,853.942881271704,-1.0,-1.058657698422879,1656648000,1657051200,28
short,19445.1,701.4367874449495,-1.0,-1.0292465135379145,1657728000,1657754100,1
long,22243.3,754.58506345214,-1.0,-1.0327200526432976,1658131200,1658173500,2
short,21614.9,886.1932705555218,-1.0,-1.024390729108618,1658174400,1658187900,0
long,23117.1,1046.1004324916166,-1.0,-1.0500527768402577,1658246400,1658587500,23
short,21300.0,765.5696646187196,-1.0,-1.0431247494850029,1658793600,1658944800,10
long,22763.8,782.46719677273,2.0,1.9581070335789157,1658952000,1659076200,8
long,22962.8,702.6864239050904,2.0,1.8774552957470676,1659456000,1660180500,50
long,24856.2,627.4541369942236,-1.0,-1.0396143694566617,1660536000,1660545000,0
short,21892.9,654.4024159522249,2.0,1.8874246080023973,1660896000,1661526900,43
short,20769.6,569.9184182056789,2.0,1.937500065163458,1661529600,1661729400,13
short,19743.7,513.4014691751544,-1.0,-1.0426868801821119,1661875200,1661911200,2
short,20130.6,569.5409030420803,2.0,1.8946709750264106,1661961600,1662484500,36
short,18813.1,494.0337910662346,-1.0,-1.0506471894280718,1662494400,1662582600,6
short,20823.9,804.9428381322706,2.0,1.9285987013272168,1663084800,1663553700,32
short,18766.2,542.3039523196129,-1.0,-1.0384110827717576,1663560000,1663597800,2
short,18990.3,754.1971115880449,-1.0,-1.0681105253662897,1663790400,1664242200,31
short,19885.3,585.7052400936716,2.0,1.9623143494559312,1664294400,1664331300,2
short,19280.7,658.6042641912895,-1.0,-1.0373257414757036,1664467200,1664549100,5
long,20092.2,461.90754265078,-1.0,-1.0841692404001153,1664899200,1665146700,17
short,19574.1,444.11063606502336,2.0,1.8735052429778447,1665158400,1665657000,34
short,18745.0,304.2173209676631,2.0,1.9383828641302363,1665662400,1665664200,0
short,19352.9,475.7358766888527,-1.0,-1.1883480548569265,1665763200,1666713600,66
long,20266.7,337.16579543087045,2.0,1.9266670156490726,1666728000,1666793700,4
long,20835.6,430.39974375058443,-1.0,-1.0670476839705618,1666800000,1666901700,7
long,20829.2,414.1923657485579,-1.0,-1.1028404131085758,1667577600,1667859300,19
short,20140.6,401.62512216930907,2.0,1.9498522405889003,1667880000,1667884500,0
short,19785.6,469.3661848715012,-1.0,-1.046790793005279,1667894400,1667923200,2
short,18238.0,863.3480168231374,2.0,1.973065960022048,1667937600,1668018600,5
short,16764.5,1000.8344489267429,-1.0,-1.0204356375042174,1668024000,1668087900,4
short,16582.6,766.6199412072307,-1.0,-1.1679631354191358,1668441600,1670215500,123
short,17073.8,257.3405960707822,-1.0,-1.150276161594664,1670256000,1670589000,23
short,17170.3,229.54580827422285,-1.0,-1.165310633573705,1670601600,1670924700,22
long,17436.9,195.97268564655192,2.0,1.9110238248637952,1670932800,1670938200,0
long,17749.5,258.013922386084,2.0,1.9085055768243566,1670947200,1671041700,6
short,17018.7,333.49393312198464,2.0,1.8928338225963248,1671192000,1671489000,20
short,16826.0,225.9988627876237,2.0,1.7576597097682418,1671811200,1672411500,41
short,16670.9,135.78856069103094,-1.0,-1.13627583137953,1672761600,1672801200,2
short,16835.9,153.85569002455944,-1.0,-1.1816481015134301,1672862400,1673035200,12
long,17124.6,133.2711233588904,2.0,1.8008335989746174,1673222400,1673374500,10
long,17935.6,214.42252085755752,2.0,1.9163539355461885,1673481600,1673491500,0
long,18217.1,252.42091222487466,-1.0,-1.080108184467639,1673496000,1673530200,2
long,18877.3,371.95890186522934,2.0,1.9325011207579679,1673553600,1673645400,6
long,19924.3,442.6194462385167,2.0,1.954985484326725,1673654400,1673656200,0
long,20996.2,589.010914364337,-1.0,-1.0376070976951344,1673668800,1673687700,1
long,22661.0,575.666797401783,2.0,1.897848381623863,1674259200,1674684000,29
long,23060.6,605.5126583228732,2.0,1.8739405610257305,1674691200,1675298700,42
long,23601.1,504.5551971495208,-1.0,-1.0750755630186772,1675440000,1675601100,11
long,23086.1,405.4038975320508,-1.0,-1.0726060545524798,1675800000,1675872900,5
short,21595.9,362.3482114169425,-1.0,-1.079267803993518,1676289600,1676385900,6
long,22033.4,405.46061778778966,2.0,1.9307143930444481,1676390400,1676463300,5
long,22798.0,414.252866416159,2.0,1.9419391102635426,1676476800,1676491200,1
long,24332.7,539.9440531853617,-1.0,-1.0574581612983327,1676505600,1676590200,5
long,23940.0,703.5204762407012,-1.0,-1.0452583841910896,1677168000,1677254400,6
long,23546.5,471.7091378960489,-1.0,-1.069135617438869,1677513600,1677619800,7
short,22306.4,596.1143895288715,2.0,1.8823151575732895,1677816000,1678386600,39
short,20845.6,449.6231051011084,2.0,1.951087682660226,1678392000,1678410000,1
short,20042.1,537.0033406228946,-1.0,-1.047585695594294,1678420800,1678498200,5
long,24009.0,953.1195751096284,2.0,1.9678828598222011,1678723200,1678797900,5
long,25911.3,1097.3714010883714,-1.0,-1.0236121517057044,1678809600,1678820400,0
long,28574.6,1044.021156120666,-1.0,-1.0333910972930234,1679587200,1679658300,4
long,28470.4,782.159578634945,-1.0,-1.0424056892046072,1680148800,1680199200,3
long,28488.6,779.833750034343,-1.0,-1.0646609895991028,1680278400,1680485400,14
long,28243.3,584.1362476422216,-1.0,-1.0536690936858306,1680523200,1680552000,2
long,28309.4,395.61260880736063,2.0,1.9126987683630234,1681084800,1681145100,4
long,29164.9,453.892315630971,2.0,1.9322108605050363,1681156800,1681173000,1
long,30105.7,567.4280680695615,-1.0,-1.1610262245412908,1681185600,1681731000,37
long,30369.7,508.6228429297445,-1.0,-1.0761298239712536,1681819200,1681891200,5
short,28091.2,675.3940818396592,-1.0,-1.1170823525498008,1682020800,1682496900,33
long,28940.7,619.6679397814139,-1.0,-1.0492722578333975,1682510400,1682537400,1
short,27871.9,886.086131750301,-1.0,-1.0331850973019023,1682539200,1682554500,1
long,29644.4,603.5664580633432,-1.0,-1.0545180792610358,1682870400,1682904600,2
short,28158.5,673.0047463984862,-1.0,-1.0556471632635789,1682956800,1683054000,6
long,29347.5,652.489538195039,-1.0,-1.0573466091173023,1683302400,1683381600,5
short,28188.1,609.201439725186,2.0,1.9155562033418596,1683518400,1683738900,15
short,27683.6,699.2527832069761,2.0,1.942990024555683,1683748800,1683870300,8
short,27075.2,483.3637902474244,2.0,1.8361586829674152,1684425600,1684940400,35
short,26306.9,429.4791574220375,-1.0,-1.0983111142190052,1684944000,1685110500,11
long,27518.5,402.13303362192306,2.0,1.9278049424626595,1685304000,1685319300,1
short,27150.4,496.12888253823195,2.0,1.8519702549380592,1685520000,1685979900,31
short,25991.9,420.5885831176981,-1.0,-1.0821924997196752,1685980800,1686070800,6
short,26333.9,650.0695596933855,2.0,1.8636860130140598,1686153600,1686774600,43
short,25115.9,498.4868222845316,-1.0,-1.0642399579456119,1686787200,1686862800,5
long,26672.8,440.97427172356004,2.0,1.9228802626804518,1687204800,1687283100,5
long,27973.7,547.6923181021677,2.0,1.9461152685101295,1687291200,1687309200,1
long,28704.6,617.2811314248281,2.0,1.9483831525411204,1687320000,1687360500,2
long,29836.9,692.9865509257824,2.0,1.9308958818377866,1687363200,1687535100,11
long,31232.9,800.2644468735699,-1.0,-1.043321328512645,1687536000,1687568400,2
long,30399.8,585.1367659336929,-1.0,-1.0519533240258652,1687968000,1687980600,0
long,30759.2,619.9137071771968,-1.0,-1.0523475374464082,1688112000,1688131800,1
long,31068.0,483.06976458131487,-1.0,-1.0996862224273902,1688400000,1688552100,10
long,30833.0,513.7695470144089,-1.0,-1.0600132884075655,1688644800,1688651100,0
long,30297.5,369.6256578545344,2.0,1.913523691278544,1689004800,1689019200,1
long,30585.5,482.0572075242334,2.0,1.8946765462531796,1689091200,1689275700,12
long,31600.5,566.1677547683923,-1.0,-1.0558147293515985,1689278400,1689282000,0
long,29895.1,438.80278986126234,-1.0,-1.068128782885478,1689696000,1689698700,0
long,30083.1,319.52391981019946,-1.0,-1.0993279955968633,1690142400,1690164900,1
short,29705.7,345.2961349383863,2.0,1.9092387364672003,1690171200,1690191900,1
short,29259.7,418.13238165605765,-1.0,-1.2624142013718884,1690200000,1690933500,50
long,29701.2,383.89677498140776,-1.0,-1.0901333385821639,1690934400,1690984800,3
short,29141.8,427.453114816691,-1.0,-1.195663484721282,1691006400,1691498700,34
long,29517.5,304.8498990581909,2.0,1.8978482112140844,1691510400,1691529300,1
long,29592.8,225.98184374958709,-1.0,-1.1309521132715072,1692028800,1692036000,0
short,29353.7,258.45099776747384,2.0,1.8114646783300894,1692043200,1692217800,12
short,28714.4,275.6078782039836,2.0,1.8786236583003582,1692230400,1692286200,3
short,27920.9,348.69174456955386,2.0,1.9155226644772938,1692288000,1692307800,1
short,26609.7,695.5648205727275,-1.0,-1.1834387072579946,1692316800,1693319400,69
long,27820.0,482.8310764168249,-1.0,-1.0607875123072281,1693339200,1693361700,1
short,27191.9,487.4801435154105,2.0,1.925811897200164,1693411200,1693500300,6
short,26148.7,549.3641843675856,2.0,1.784856517109757,1693512000,1694443500,64
short,25102.4,355.4759888561621,-1.0,-1.078384095898175,1694448000,1694488500,2
short,26052.1,523.4672399641764,-1.0,-1.0771409400954364,1694548800,1694693700,10
long,26680.0,501.050152693313,-1.0,-1.2318957481111066,1694707200,1695597300,61
short,26232.4,274.52072785359513,-1.0,-1.169136037060059,1695600000,1695813300,14
long,26755.7,314.6888645269643,-1.0,-1.0850227097810365,1695816000,1695824100,0
short,26293.4,377.9146599178956,-1.0,-1.0887080829499531,1695830400,1695910500,5
long,27012.3,396.3520123648579,2.0,1.8606285529612772,1695916800,1696198500,19
long,27981.4,414.42421469596337,-1.0,-1.0860863910333363,1696204800,1696282200,5
long,27926.6,490.1530650799443,-1.0,-1.1071134952332429,1696608000,1696844700,16
long,27607.7,386.2114306888177,-1.0,-1.0990044868216458,1696881600,1696991400,7
short,26769.2,407.6700590930358,-1.0,-1.1559517275844162,1697040000,1697401800,25
long,27139.8,276.9772353780603,2.0,1.896625118086264,1697414400,1697433300,1
long,27837.2,362.9671060147557,2.0,1.9190884090780225,1697443200,1697462100,1
long,28054.1,663.219596512723,2.0,1.9111702815933458,1697472000,1697771700,20
long,29222.9,583.1331798689423,2.0,1.9030301936982754,1697774400,1698023700,17
long,30723.9,589.7104842169581,2.0,1.9364380335720643,1698033600,1698098400,4
long,33074.0,1153.3612031377686,2.0,1.887732733121479,1698105600,1698871500,53
long,35437.5,719.1485948670879,-1.0,-1.0574077287985666,1698883200,1698931800,3
long,35473.5,646.0142899030858,2.0,1.9239478162203338,1699387200,1699496100,7
long,36455.5,762.3082271214494,2.0,1.9469170034373076,1699502400,1699538400,2
long,37141.5,885.0999544408982,-1.0,-1.0419630571820124,1699545600,1699545600,0
long,36871.7,633.4096963494279,-1.0,-1.064614714987599,1699891200,1699920900,2
long,37527.4,915.3336112911157,-1.0,-1.0500182965371725,1700078400,1700143200,4
long,37475.0,697.2981516695959,-1.0,-1.0685225177861077,1700496000,1700577000,5
long,36989.9,788.3716869743573,-1.0,-1.0469193663485827,1700596800,1700608500,0
long,37749.8,757.5509537627213,-1.0,-1.0964236961714384,1700827200,1701081900,17
long,38104.7,623.9881168705234,-1.0,-1.0946529002767136,1701201600,1701352800,10
long,38578.0,630.3297189173478,2.0,1.9152339983401512,1701432000,1701543600,7
long,39416.4,623.3266733021675,2.0,1.9124187743951464,1701547200,1701652500,7
long,40720.6,685.1102808989854,2.0,1.9372944266087664,1701662400,1701686700,1
long,41605.9,790.3330993465743,2.0,1.9270887534032903,1701691200,1701795600,7
long,43834.0,1014.6994322839695,-1.0,-1.064582503857813,1701806400,1701940500,9
long,41288.0,920.4466177253371,2.0,1.950209301530971,1702915200,1702950300,2
long,44078.9,1004.5953868734832,-1.0,-1.1042085090852445,1703088000,1703455200,25
long,43661.0,706.400832505009,-1.0,-1.0720059527954184,1703520000,1703568600,3
long,44230.3,796.7452619493495,2.0,1.9414330166384266,1704153600,1704179700,1
long,44969.7,1114.5389952948676,2.0,1.9596517482207048,1704729600,1704740400,0
long,47007.1,1305.807638488091,-1.0,-1.043918154795296,1704744000,1704804300,4
long,46868.9,1292.274443716085,-1.0,-1.03826330369717,1704816000,1704834900,1
long,45569.4,1509.901634934582,2.0,1.9615200198107492,1704902400,1704983400,5
long,43251.0,1143.6240434263566,-1.0,-1.0627799497681891,1705420800,1705595400,12
short,41014.2,992.7147286581543,-1.0,-1.0549492058748169,1705608000,1705694400,6
short,40809.5,709.9650536335297,2.0,1.9267117272410734,1705924800,1705999500,5
short,38850.2,956.7133272905255,-1.0,-1.0450748628349615,1706011200,1706051700,2
long,42986.8,802.4290609383073,-1.0,-1.0918739930901729,1706558400,1706750100,13
long,43596.2,680.301871049837,2.0,1.9218179954173555,1707336000,1707399900,4
long,45406.4,726.1284419395698,2.0,1.9237107310491355,1707408000,1707476400,4
long,47155.9,875.1396605452135,2.0,1.8927711253064026,1707480000,1707750000,18
long,49925.5,1072.993148051874,-1.0,-1.0593247148088243,1707753600,1707833700,5
long,51601.1,1266.5681184583036,2.0,1.7956844857148366,1707912000,1708974900,73
long,54531.2,990.2494620722333,2.0,1.9419031080515714,1708977600,1708999200,1
long,55773.1,1272.5395871949363,2.0,1.9417085144176054,1709006400,1709106300,6
long,58997.4,1406.9385413242073,2.0,1.9557605004256848,1709121600,1709137800,1
long,61032.8,2029.368946345873,2.0,1.9252642018233825,1709150400,1709540100,27
long,65313.9,1636.8528508699815,2.0,1.955708646038972,1709553600,1709593200,2
long,68296.5,1850.1123044319788,-1.0,-1.0389450993474267,1709596800,1709614800,1
long,66839.8,2274.3663701812206,-1.0,-1.029388317061105,1709654400,1709654400,0
long,63747.5,3097.394217146052,2.0,1.962439657549566,1709683200,1709910900,15
long,71223.9,2007.3301902920514,-1.0,-1.051093943834461,1710144000,1710263700,8
long,65821.6,3023.34040237101,-1.0,-1.0337452838324093,1710964800,1711116900,10
long,69844.5,2180.909821522612,-1.0,-1.109526853262201,1711382400,1712025000,44
short,64928.2,1859.1778336822758,-1.0,-1.0445269158765946,1712073600,1712152800,5
long,68200.0,2038.1178202190895,2.0,1.9370909774066853,1712332800,1712565900,16
long,72472.6,1659.1754480050718,-1.0,-1.0532894650208986,1712577600,1712644200,4
long,70858.2,1655.423629013781,-1.0,-1.0428036659366846,1712664000,1712673000,0
short,66867.6,2059.9867053434455,2.0,1.956827921379632,1712952000,1713038400,6
short,63939.7,2663.4716055830663,-1.0,-1.034568856603164,1713052800,1713172500,8
short,60274.0,2606.343552057312,-1.0,-1.0282135791123759,1713369600,1713438900,4
short,61757.1,2752.4174280313873,-1.0,-1.0224374033426211,1713499200,1713509100,0
short,64593.5,1486.6369939659699,2.0,1.8753001938250948,1713974400,1714469400,34
short,61182.3,1486.5553402444953,2.0,1.9497883435757437,1714478400,1714546800,4
short,57482.0,1905.853041878755,-1.0,-1.0334784574665328,1714550400,1714589100,2
short,63599.9,1642.1243769214798,2.0,1.9101458025508287,1715011200,1715356800,24
short,60682.4,1589.3610293415718,-1.0,-1.0675792636267771,1715371200,1715586300,14
short,62002.0,1276.233008927249,-1.0,-1.067286122047714,1715673600,1715776200,7
long,64685.4,1403.8053669246578,2.0,1.8981662719290113,1715788800,1716114600,22
long,69996.5,1335.3537352061298,-1.0,-1.0985457385040278,1716235200,1716471000,16
long,70421.4,1286.194380032349,-1.0,-1.0547517553281711,1716825600,1716839100,0
long,69650.0,1155.1738950124384,2.0,1.8634341974995017,1717430400,1717761600,23
short,67582.1,995.0165273391556,-1.0,-1.0940700037921034,1718092800,1718195400,7
long,69738.0,1256.533692256516,-1.0,-1.0555003024827474,1718208000,1718220600,0
short,67523.1,1450.6027142381934,2.0,1.8740868304552143,1718222400,1718674200,31
short,65475.0,1249.8734680595846,2.0,1.846772989511231,1718683200,1719187200,35
short,62840.0,791.3631548410701,2.0,1.9162253137583662,1719201600,1719221400,1
short,61257.3,1025.635322286433,2.0,1.9369888593969937,1719230400,1719258300,1
short,59292.8,1202.6962727877917,-1.0,-1.0520113892554128,1719259200,1719276300,1
short,61039.9,1179.234377822233,-1.0,-1.088772368299952,1719590400,1719778500,13
short,61945.0,1048.051670790252,2.0,1.9278920094244814,1719936000,1720002600,4
short,60384.9,1144.9022907172707,2.0,1.938555098482747,1720008000,1720058400,3
short,59092.4,1440.4346619943763,2.0,1.9476943925414272,1720065600,1720147500,5
short,55214.7,1850.6132995680496,-1.0,-1.042963685616308,1720152000,1720273500,8
short,55736.8,1938.606659234917,-1.0,-1.0334948668883797,1720454400,1720506600,3
short,57382.8,1713.109595819647,-1.0,-1.0574461215091813,1720713600,1720910700,13
long,62617.3,1447.6071675883827,2.0,1.9305745586577694,1721016000,1721177100,11
long,65791.5,1585.390503760881,-1.0,-1.114536159746916,1721404800,1721871900,32
long,64773.3,1470.671059014463,2.0,1.9438447115731352,1721923200,1722000600,5
short,62892.6,1609.1121945596892,-1.0,-1.041234969956931,1722528000,1722545100,1
short,63393.5,1985.5345175466941,2.0,1.9487560822534997,1722614400,1722782700,11
short,53864.0,2515.423831633627,-1.0,-1.030835423845701,1722830400,1722953700,8
short,59396.9,1950.6152519587508,-1.0,-1.0857177105183098,1723651200,1724130900,33
short,58783.7,1477.0175974172607,-1.0,-1.0529325589192107,1724169600,1724264100,6
long,61498.6,1441.9150789644789,2.0,1.9550035754903161,1724428800,1724447700,1
short,59384.4,1512.1703129176224,-1.0,-1.0587101050996737,1724803200,1724942700,9
short,58073.7,1660.482908442436,-1.0,-1.073445363020566,1725033600,1725328800,20
short,57695.1,1305.972258800572,2.0,1.9145157810606697,1725379200,1725631200,17
short,54022.1,1692.0188916352922,-1.0,-1.0617799032958621,1725638400,1725889500,17
short,56553.9,1332.1308304069285,-1.0,-1.0424537130356215,1725984000,1725993000,0
short,56676.0,1397.1413748185328,-1.0,-1.0450279128038644,1726070400,1726105500,2
short,57472.2,1371.9237283740288,-1.0,-1.0534119014668886,1726156800,1726240500,5
long,59623.6,1354.189275312492,-1.0,-1.0779313305192488,1726243200,1726452900,14
short,58546.4,1066.6837234805214,-1.0,-1.0790363761480415,1726459200,1726581600,8
long,61111.0,1307.2974400266523,-1.0,-1.0467460565047493,1726588800,1726602300,0
long,60024.6,1474.6465336515978,2.0,1.9503406339560816,1726689600,1726747200,4
long,63558.5,1111.7366520140213,2.0,1.8736532750399701,1727049600,1727370000,22
short,60776.7,1304.9257788927987,-1.0,-1.0568212960455978,1727827200,1727884800,4
long,63494.5,992.4707632623893,-1.0,-1.0780509541110987,1728273600,1728341100,4
short,59696.9,1261.4471465671754,-1.0,-1.0551326218377526,1728590400,1728639900,3
long,62218.0,1226.5225197097307,2.0,1.907422939101948,1728662400,1728891900,15
long,64599.5,1163.732769103233,2.0,1.92311782406115,1728892800,1728999900,7
long,65994.7,1465.4649014671618,2.0,1.9103837609017327,1729008000,1729276200,18
long,66465.3,1174.6179311581975,2.0,1.9247424659073296,1729713600,1729804500,6
long,69605.8,1119.214692527533,2.0,1.9241261961918794,1730145600,1730210400,4
long,72374.9,1290.4710262699791,-1.0,-1.0900149729326025,1730217600,1730383200,11
long,69615.2,1437.576449694841,2.0,1.946247817278585,1730822400,1730859300,2
long,74367.1,2117.6188265231667,2.0,1.918525624234616,1730865600,1731213900,24
long,78858.2,1638.1958687079868,2.0,1.9359774932879559,1731225600,1731319200,6
long,84114.1,2156.6216661918634,2.0,1.9588521357773907,1731340800,1731359700,1
long,88729.0,2559.3013346246166,-1.0,-1.0384828424334198,1731369600,1731408300,2
long,92608.0,3413.24473467697,-1.0,-1.0286242117382909,1731513600,1731531600,1
long,92407.8,2618.987765621305,-1.0,-1.0352837845266063,1731945600,1731957300,0
