signal_bar,wt_conf_bar,mfi_conf_bar,direction,dt
88434,88434,88426,bull,2023-07-17 13:00:00
88512,88512,88508,bull,2023-07-18 08:30:00
88521,88512,88521,bull,2023-07-18 10:45:00
88748,88747,88748,bull,2023-07-20 19:30:00
88815,88815,88809,bull,2023-07-21 12:15:00
89127,89117,89127,bull,2023-07-24 18:15:00
89210,89210,89208,bear,2023-07-25 15:00:00
89324,89324,89323,bear,2023-07-26 19:30:00
89335,89324,89335,bear,2023-07-26 22:15:00
89555,89555,89554,bear,2023-07-29 05:15:00
89584,89576,89584,bull,2023-07-29 12:30:00
89584,89584,89584,bull,2023-07-29 12:30:00
90196,90196,90191,bull,2023-08-04 21:30:00
90262,90260,90262,bull,2023-08-05 14:00:00
90496,90487,90496,bear,2023-08-08 00:30:00
90500,90500,90496,bear,2023-08-08 01:30:00
90581,90581,90580,bear,2023-08-08 21:45:00
90723,90723,90715,bull,2023-08-10 09:15:00
90725,90723,90725,bull,2023-08-10 09:45:00
90875,90875,90869,bear,2023-08-11 23:15:00
91237,91237,91235,bull,2023-08-15 17:45:00
91245,91237,91245,bull,2023-08-15 19:45:00
91331,91331,91320,bull,2023-08-16 17:15:00
91418,91418,91408,bull,2023-08-17 15:00:00
91429,91418,91429,bull,2023-08-17 17:45:00
91776,91776,91773,bull,2023-08-21 08:30:00
91905,91900,91905,bull,2023-08-22 16:45:00
92079,92079,92069,bear,2023-08-24 12:15:00
92159,92156,92159,bull,2023-08-25 08:15:00
92160,92160,92159,bull,2023-08-25 08:30:00
92226,92226,92225,bear,2023-08-26 01:00:00
92486,92486,92484,bear,2023-08-28 18:00:00
92762,92762,92757,bull,2023-08-31 15:00:00
92799,92790,92799,bull,2023-09-01 00:15:00
92998,92998,92996,bear,2023-09-03 02:00:00
93043,93043,93038,bear,2023-09-03 13:15:00
93043,93043,93042,bear,2023-09-03 13:15:00
93076,93076,93075,bear,2023-09-03 21:30:00
93151,93151,93150,bull,2023-09-04 16:15:00
93742,93742,93736,bull,2023-09-10 20:00:00
93803,93803,93798,bull,2023-09-11 11:15:00
93808,93808,93798,bull,2023-09-11 12:30:00
94000,94000,93991,bear,2023-09-13 12:30:00
94019,94019,94017,bear,2023-09-13 17:15:00
94053,94053,94051,bear,2023-09-14 01:45:00
94123,94123,94122,bear,2023-09-14 19:15:00
94343,94341,94343,bull,2023-09-17 02:15:00
94464,94458,94464,bear,2023-09-18 08:30:00
95445,95437,95445,bear,2023-09-28 13:45:00
95832,95832,95831,bear,2023-10-02 14:30:00
95933,95933,95930,bull,2023-10-03 15:45:00
95934,95933,95934,bull,2023-10-03 16:00:00
96068,96068,96060,bear,2023-10-05 01:30:00
96405,96405,96400,bull,2023-10-08 13:45:00
96655,96655,96654,bull,2023-10-11 04:15:00
96885,96885,96883,bear,2023-10-13 13:45:00
97491,97491,97490,bear,2023-10-19 21:15:00
97665,97665,97659,bear,2023-10-21 16:45:00
97760,97760,97760,bull,2023-10-22 16:30:00
97803,97792,97803,bear,2023-10-23 03:15:00
97875,97875,97874,bear,2023-10-23 21:15:00
98350,98350,98349,bear,2023-10-28 20:00:00
98527,98520,98527,bear,2023-10-30 16:15:00
98753,98753,98753,bear,2023-11-02 00:45:00
98870,98870,98868,bull,2023-11-03 06:00:00
98879,98879,98868,bull,2023-11-03 08:15:00
98896,98890,98896,bull,2023-11-03 12:30:00
99316,99316,99310,bear,2023-11-07 21:30:00
99385,99385,99384,bear,2023-11-08 14:45:00
99423,99423,99412,bear,2023-11-09 00:15:00
99573,99573,99566,bear,2023-11-10 13:45:00
99786,99776,99786,bear,2023-11-12 19:00:00
99816,99816,99813,bear,2023-11-13 02:30:00
100066,100066,100063,bear,2023-11-15 17:00:00
100092,100092,100091,bear,2023-11-15 23:30:00
100095,100092,100095,bear,2023-11-16 00:15:00
100418,100418,100410,bear,2023-11-19 09:00:00
100480,100472,100480,bear,2023-11-20 00:30:00
100590,100586,100590,bear,2023-11-21 04:00:00
100672,100672,100663,bull,2023-11-22 00:30:00
100993,100993,100992,bear,2023-11-25 08:45:00
101166,101166,101162,bull,2023-11-27 04:00:00
101210,101203,101210,bull,2023-11-27 15:00:00
101505,101505,101499,bull,2023-11-30 16:45:00
101505,101505,101502,bull,2023-11-30 16:45:00
101771,101761,101771,bear,2023-12-03 11:15:00
102075,102075,102074,bear,2023-12-06 15:15:00
102249,102249,102247,bull,2023-12-08 10:45:00
102401,102401,102397,bull,2023-12-10 00:45:00
102404,102401,102404,bull,2023-12-10 01:30:00
102412,102401,102412,bull,2023-12-10 03:30:00
102485,102485,102484,bear,2023-12-10 21:45:00
102664,102664,102657,bull,2023-12-12 18:30:00
102745,102745,102743,bear,2023-12-13 14:45:00
102818,102818,102807,bear,2023-12-14 09:00:00
102818,102818,102816,bear,2023-12-14 09:00:00
103044,103044,103042,bear,2023-12-16 17:30:00
103133,103133,103127,bull,2023-12-17 15:45:00
103219,103211,103219,bull,2023-12-18 13:15:00
103762,103762,103760,bear,2023-12-24 05:00:00
104132,104122,104132,bear,2023-12-28 01:30:00
104284,104284,104283,bear,2023-12-29 15:30:00
104456,104456,104456,bear,2023-12-31 10:30:00
104466,104456,104466,bear,2023-12-31 13:00:00
104568,104563,104568,bear,2024-01-01 14:30:00
104578,104578,104568,bear,2024-01-01 17:00:00
104612,104612,104608,bear,2024-01-02 01:30:00
104878,104878,104877,bear,2024-01-04 20:00:00
104988,104985,104988,bear,2024-01-05 23:30:00
105331,105320,105331,bull,2024-01-09 13:15:00
105370,105370,105369,bull,2024-01-09 23:00:00
105770,105770,105763,bull,2024-01-14 03:00:00
105770,105770,105769,bull,2024-01-14 03:00:00
105991,105991,105983,bear,2024-01-16 10:15:00
106015,106005,106015,bear,2024-01-16 16:15:00
106021,106021,106015,bear,2024-01-16 17:45:00
106116,106116,106105,bull,2024-01-17 17:30:00
106499,106499,106498,bull,2024-01-21 17:15:00
106577,106571,106577,bull,2024-01-22 12:45:00
106591,106591,106588,bull,2024-01-22 16:15:00
106624,106624,106618,bull,2024-01-23 00:30:00
106683,106683,106680,bull,2024-01-23 15:15:00
107260,107260,107253,bull,2024-01-29 15:30:00
107288,107288,107286,bear,2024-01-29 22:30:00
107297,107297,107286,bear,2024-01-30 00:45:00
107345,107345,107341,bear,2024-01-30 12:45:00
107479,107479,107477,bull,2024-01-31 22:15:00
107487,107479,107487,bull,2024-02-01 00:15:00
107589,107589,107587,bear,2024-02-02 01:45:00
107870,107870,107869,bull,2024-02-05 00:00:00
107877,107877,107869,bull,2024-02-05 01:45:00
108205,108205,108195,bear,2024-02-08 11:45:00
108330,108330,108329,bear,2024-02-09 19:00:00
108798,108795,108798,bear,2024-02-14 16:00:00
108848,108848,108848,bear,2024-02-15 04:30:00
108882,108878,108882,bear,2024-02-15 13:00:00
108892,108892,108882,bear,2024-02-15 15:30:00
108892,108892,108891,bear,2024-02-15 15:30:00
108913,108910,108913,bull,2024-02-15 20:45:00
108983,108975,108983,bear,2024-02-16 14:15:00
108983,108981,108983,bear,2024-02-16 14:15:00
109285,109285,109279,bull,2024-02-19 17:45:00
109285,109285,109284,bull,2024-02-19 17:45:00
109588,109588,109587,bear,2024-02-22 21:30:00
109615,109615,109613,bull,2024-02-23 04:15:00
109637,109637,109636,bull,2024-02-23 09:45:00
109803,109803,109801,bear,2024-02-25 03:15:00
109814,109803,109814,bear,2024-02-25 06:00:00
109883,109883,109873,bear,2024-02-25 23:15:00
110025,110025,110023,bear,2024-02-27 10:45:00
110034,110025,110034,bear,2024-02-27 13:00:00
110136,110136,110126,bear,2024-02-28 14:30:00
110357,110357,110355,bear,2024-03-01 21:45:00
110427,110427,110425,bull,2024-03-02 15:15:00
110434,110427,110434,bull,2024-03-02 17:00:00
110460,110460,110454,bull,2024-03-02 23:30:00
110539,110534,110539,bear,2024-03-03 19:15:00
110547,110547,110539,bear,2024-03-03 21:15:00
110619,110615,110619,bear,2024-03-04 15:15:00
110624,110615,110624,bear,2024-03-04 16:30:00
110631,110631,110624,bear,2024-03-04 18:15:00
110648,110643,110648,bear,2024-03-04 22:30:00
110657,110657,110648,bear,2024-03-05 00:45:00
110657,110657,110656,bear,2024-03-05 00:45:00
110663,110663,110656,bear,2024-03-05 02:15:00
110695,110689,110695,bull,2024-03-05 10:15:00
111512,111512,111504,bear,2024-03-13 22:30:00
111654,111654,111652,bull,2024-03-15 10:00:00
112118,112118,112115,bull,2024-03-20 06:00:00
112346,112346,112335,bull,2024-03-22 15:00:00
112655,112645,112655,bear,2024-03-25 20:15:00
112657,112657,112655,bear,2024-03-25 20:45:00
113078,113078,113076,bear,2024-03-30 06:00:00
113232,113232,113229,bear,2024-03-31 20:30:00
113363,113357,113363,bull,2024-04-02 05:15:00
113384,113384,113376,bull,2024-04-02 10:30:00
113682,113682,113680,bull,2024-04-05 13:00:00
114166,114166,114155,bull,2024-04-10 14:00:00
114243,114239,114243,bear,2024-04-11 09:15:00
114913,114913,114903,bull,2024-04-18 08:45:00
115292,115289,115292,bear,2024-04-22 07:30:00
115399,115394,115399,bull,2024-04-23 10:15:00
115477,115477,115475,bear,2024-04-24 05:45:00
116080,116080,116071,bull,2024-04-30 12:30:00
116102,116100,116102,bull,2024-04-30 18:00:00
116108,116100,116108,bull,2024-04-30 19:30:00
116111,116100,116111,bull,2024-04-30 20:15:00
116207,116197,116207,bull,2024-05-01 20:15:00
116535,116527,116535,bull,2024-05-05 06:15:00
116560,116560,116559,bear,2024-05-05 12:30:00
116832,116832,116829,bull,2024-05-08 08:30:00
116941,116941,116939,bull,2024-05-09 11:45:00
117023,117023,117023,bear,2024-05-10 08:15:00
117030,117023,117030,bear,2024-05-10 10:00:00
117042,117042,117042,bear,2024-05-10 13:00:00
117347,117347,117337,bear,2024-05-13 17:15:00
117411,117406,117411,bull,2024-05-14 09:15:00
117411,117411,117411,bull,2024-05-14 09:15:00
117543,117534,117543,bear,2024-05-15 18:15:00
117618,117618,117615,bear,2024-05-16 13:00:00
118134,118128,118134,bull,2024-05-21 22:00:00
118200,118200,118191,bull,2024-05-22 14:30:00
118364,118364,118363,bull,2024-05-24 07:30:00
118370,118370,118363,bull,2024-05-24 09:00:00
118472,118472,118461,bear,2024-05-25 10:30:00
119074,119074,119068,bull,2024-05-31 17:00:00
119341,119331,119341,bear,2024-06-03 11:45:00
119458,119458,119458,bear,2024-06-04 17:00:00
119508,119508,119498,bear,2024-06-05 05:30:00
119508,119508,119507,bear,2024-06-05 05:30:00
120111,120105,120111,bull,2024-06-11 12:15:00
120231,120231,120231,bear,2024-06-12 18:15:00
120637,120637,120635,bear,2024-06-16 23:45:00
120651,120651,120649,bull,2024-06-17 03:15:00
120796,120792,120796,bull,2024-06-18 15:30:00
120896,120896,120891,bull,2024-06-19 16:30:00
120923,120915,120923,bull,2024-06-19 23:15:00
121086,121079,121086,bull,2024-06-21 16:00:00
121341,121330,121341,bull,2024-06-24 07:45:00
121363,121357,121363,bull,2024-06-24 13:15:00
121394,121394,121392,bull,2024-06-24 21:00:00
121472,121472,121465,bear,2024-06-25 16:30:00
121516,121515,121516,bear,2024-06-26 03:30:00
121575,121575,121565,bull,2024-06-26 18:15:00
121579,121575,121579,bull,2024-06-26 19:15:00
121846,121841,121846,bear,2024-06-29 14:00:00
121848,121848,121846,bear,2024-06-29 14:30:00
121952,121945,121952,bear,2024-06-30 16:30:00
121982,121981,121982,bear,2024-07-01 00:00:00
122259,122258,122259,bull,2024-07-03 21:15:00
122283,122282,122283,bull,2024-07-04 03:15:00
122370,122370,122370,bull,2024-07-05 01:00:00
122572,122572,122570,bear,2024-07-07 03:30:00
122764,122758,122764,bear,2024-07-09 03:30:00
122771,122771,122764,bear,2024-07-09 05:15:00
122789,122789,122786,bear,2024-07-09 09:45:00
122828,122828,122826,bear,2024-07-09 19:30:00
122836,122836,122826,bear,2024-07-09 21:30:00
122843,122836,122843,bear,2024-07-09 23:15:00
122848,122848,122843,bear,2024-07-10 00:30:00
123116,123116,123106,bear,2024-07-12 19:30:00
123168,123168,123160,bear,2024-07-13 08:30:00
123363,123363,123354,bear,2024-07-15 09:15:00
123406,123406,123396,bear,2024-07-15 20:00:00
123411,123406,123411,bear,2024-07-15 21:15:00
123679,123679,123674,bull,2024-07-18 16:15:00
124003,124003,124002,bear,2024-07-22 01:15:00
124126,124120,124126,bull,2024-07-23 08:00:00
124252,124252,124246,bear,2024-07-24 15:30:00
124297,124297,124287,bull,2024-07-25 02:45:00
124302,124297,124302,bull,2024-07-25 04:00:00
124441,124441,124440,bear,2024-07-26 14:45:00
124469,124465,124469,bear,2024-07-26 21:45:00
124473,124473,124469,bear,2024-07-26 22:45:00
124771,124771,124764,bull,2024-07-30 01:15:00
125143,125143,125135,bull,2024-08-02 22:15:00
125143,125143,125138,bull,2024-08-02 22:15:00
125149,125149,125138,bull,2024-08-02 23:45:00
125229,125219,125229,bull,2024-08-03 19:45:00
125230,125230,125229,bull,2024-08-03 20:00:00
125236,125230,125236,bull,2024-08-03 21:30:00
125371,125371,125370,bull,2024-08-05 07:15:00
125397,125397,125393,bull,2024-08-05 13:45:00
125685,125685,125685,bear,2024-08-08 13:45:00
125909,125899,125909,bear,2024-08-10 21:45:00
125928,125928,125920,bear,2024-08-11 02:30:00
126045,126045,126042,bull,2024-08-12 07:45:00
126045,126045,126045,bull,2024-08-12 07:45:00
126077,126077,126068,bear,2024-08-12 15:45:00
126333,126323,126333,bull,2024-08-15 07:45:00
126527,126518,126527,bear,2024-08-17 08:15:00
126807,126807,126800,bear,2024-08-20 06:15:00
127162,127162,127158,bear,2024-08-23 23:00:00
127162,127162,127162,bear,2024-08-23 23:00:00
127392,127392,127385,bull,2024-08-26 08:30:00
127447,127447,127446,bull,2024-08-26 22:15:00
127450,127447,127450,bull,2024-08-26 23:00:00
127457,127457,127446,bull,2024-08-27 00:45:00
127457,127457,127450,bull,2024-08-27 00:45:00
127618,127618,127612,bull,2024-08-28 17:00:00
127690,127690,127686,bear,2024-08-29 11:00:00
128138,128138,128136,bear,2024-09-03 03:00:00
128249,128249,128248,bull,2024-09-04 06:45:00
128251,128249,128251,bull,2024-09-04 07:15:00
128347,128347,128340,bull,2024-09-05 07:15:00
128410,128410,128409,bull,2024-09-05 23:00:00
128494,128492,128494,bull,2024-09-06 20:00:00
128499,128492,128499,bull,2024-09-06 21:15:00
128705,128705,128697,bear,2024-09-09 00:45:00
128755,128747,128755,bear,2024-09-09 13:15:00
128761,128761,128755,bear,2024-09-09 14:45:00
128914,128910,128914,bull,2024-09-11 05:00:00
129007,129007,129006,bear,2024-09-12 04:15:00
129259,129259,129257,bull,2024-09-14 19:15:00
129380,129380,129378,bull,2024-09-16 01:30:00
129445,129445,129444,bull,2024-09-16 17:45:00
129732,129722,129732,bear,2024-09-19 17:30:00
129953,129953,129951,bear,2024-09-22 00:45:00
130237,130237,130233,bear,2024-09-24 23:45:00
130295,130295,130294,bull,2024-09-25 14:15:00
130336,130336,130334,bull,2024-09-26 00:30:00
130342,130336,130342,bull,2024-09-26 02:00:00
130452,130452,130450,bear,2024-09-27 05:30:00
130456,130452,130456,bear,2024-09-27 06:30:00
130651,130651,130651,bull,2024-09-29 07:15:00
130817,130817,130814,bull,2024-10-01 00:45:00
130966,130966,130963,bull,2024-10-02 14:00:00
131138,131130,131138,bear,2024-10-04 09:00:00
131158,131158,131155,bear,2024-10-04 14:00:00
131276,131276,131269,bull,2024-10-05 19:30:00
131452,131452,131449,bear,2024-10-07 15:30:00
131476,131476,131473,bull,2024-10-07 21:30:00
131565,131565,131565,bull,2024-10-08 19:45:00
132109,132098,132109,bear,2024-10-14 11:45:00
132382,132382,132380,bull,2024-10-17 08:00:00
132477,132475,132477,bear,2024-10-18 07:45:00
132524,132516,132524,bear,2024-10-18 19:30:00
132524,132524,132524,bear,2024-10-18 19:30:00
132836,132835,132836,bull,2024-10-22 01:30:00
132871,132871,132867,bull,2024-10-22 10:15:00
132872,132871,132872,bull,2024-10-22 10:30:00
133046,133046,133044,bear,2024-10-24 06:00:00
133202,133193,133202,bull,2024-10-25 21:00:00
133216,133215,133216,bull,2024-10-26 00:30:00
133382,133382,133382,bear,2024-10-27 18:00:00
133498,133498,133495,bear,2024-10-28 23:00:00
133503,133498,133503,bear,2024-10-29 00:15:00
133822,133822,133817,bull,2024-11-01 08:00:00
133920,133920,133919,bear,2024-11-02 08:30:00
133950,133948,133950,bull,2024-11-02 16:00:00
134044,134044,134039,bull,2024-11-03 15:30:00
134045,134044,134045,bull,2024-11-03 15:45:00
134142,134142,134139,bull,2024-11-04 16:00:00
134298,134298,134297,bear,2024-11-06 07:00:00
134496,134496,134495,bear,2024-11-08 08:30:00
134529,134529,134527,bear,2024-11-08 16:45:00
134762,134762,134758,bear,2024-11-11 03:00:00
134768,134762,134768,bear,2024-11-11 04:30:00
134769,134769,134758,bear,2024-11-11 04:45:00
134769,134769,134768,bear,2024-11-11 04:45:00
134845,134834,134845,bear,2024-11-11 23:45:00
134845,134839,134845,bear,2024-11-11 23:45:00
134847,134847,134845,bear,2024-11-12 00:15:00
134854,134854,134845,bear,2024-11-12 02:00:00
135289,135289,135288,bull,2024-11-16 14:45:00
135490,135490,135487,bear,2024-11-18 17:00:00
135718,135718,135716,bear,2024-11-21 02:00:00
135727,135718,135727,bear,2024-11-21 04:15:00
135790,135790,135783,bear,2024-11-21 20:00:00
135790,135790,135789,bear,2024-11-21 20:00:00
135887,135887,135885,bear,2024-11-22 20:15:00
135995,135985,135995,bull,2024-11-23 23:15:00
136227,136227,136225,bull,2024-11-26 09:15:00
136456,136456,136451,bull,2024-11-28 18:30:00
136466,136456,136466,bull,2024-11-28 21:00:00
136621,136621,136614,bull,2024-11-30 11:45:00
136677,136677,136671,bull,2024-12-01 01:45:00
136677,136677,136676,bull,2024-12-01 01:45:00
136739,136739,136731,bear,2024-12-01 17:15:00
136775,136765,136775,bear,2024-12-02 02:15:00
136794,136794,136786,bull,2024-12-02 07:00:00
137116,137116,137108,bear,2024-12-05 15:30:00
137116,137116,137116,bear,2024-12-05 15:30:00
137400,137400,137399,bear,2024-12-08 14:30:00
137553,137551,137553,bull,2024-12-10 04:45:00
137715,137715,137710,bear,2024-12-11 21:15:00
137907,137898,137907,bear,2024-12-13 21:15:00
138084,138084,138081,bear,2024-12-15 17:30:00
138086,138084,138086,bear,2024-12-15 18:00:00
138087,138087,138081,bear,2024-12-15 18:15:00
138087,138087,138086,bear,2024-12-15 18:15:00
138187,138186,138187,bear,2024-12-16 19:15:00
138388,138388,138386,bull,2024-12-18 21:30:00
138483,138482,138483,bull,2024-12-19 21:15:00
138523,138523,138517,bull,2024-12-20 07:15:00
138544,138544,138536,bull,2024-12-20 12:30:00
138546,138544,138546,bull,2024-12-20 13:00:00
138710,138710,138699,bull,2024-12-22 06:00:00
138710,138710,138710,bull,2024-12-22 06:00:00
138770,138770,138760,bull,2024-12-22 21:00:00
138770,138770,138769,bull,2024-12-22 21:00:00
138860,138860,138850,bull,2024-12-23 19:30:00
139186,139186,139176,bear,2024-12-27 05:00:00
139195,139186,139195,bear,2024-12-27 07:15:00
139196,139196,139195,bear,2024-12-27 07:30:00
139506,139506,139505,bear,2024-12-30 13:00:00
139518,139518,139517,bull,2024-12-30 16:00:00
139762,139757,139762,bear,2025-01-02 05:00:00
139765,139765,139762,bear,2025-01-02 05:45:00
139805,139805,139797,bear,2025-01-02 15:45:00
139812,139805,139812,bear,2025-01-02 17:30:00
139826,139826,139821,bear,2025-01-02 21:00:00
140350,140350,140350,bull,2025-01-08 08:00:00
140458,140450,140458,bull,2025-01-09 11:00:00
140593,140593,140584,bear,2025-01-10 20:45:00
140858,140858,140858,bull,2025-01-13 15:00:00
141000,141000,140993,bear,2025-01-15 02:30:00
141171,141171,141171,bear,2025-01-16 21:15:00
141260,141250,141260,bear,2025-01-17 19:30:00
141264,141264,141260,bear,2025-01-17 20:30:00
141400,141393,141400,bear,2025-01-19 06:30:00
141722,141722,141719,bull,2025-01-22 15:00:00
141723,141722,141723,bull,2025-01-22 15:15:00
141764,141764,141762,bull,2025-01-23 01:30:00
141963,141956,141963,bull,2025-01-25 03:15:00
141993,141988,141993,bull,2025-01-25 10:45:00
142025,142016,142025,bear,2025-01-25 18:45:00
142034,142034,142025,bear,2025-01-25 21:00:00
142270,142270,142260,bear,2025-01-28 08:00:00
142280,142270,142280,bear,2025-01-28 10:30:00
142667,142664,142667,bull,2025-02-01 11:15:00
142716,142707,142716,bull,2025-02-01 23:30:00
142793,142793,142787,bull,2025-02-02 18:45:00
142808,142808,142806,bull,2025-02-02 22:30:00
142905,142905,142905,bear,2025-02-03 22:45:00
143001,143001,143000,bull,2025-02-04 22:45:00
143150,143147,143150,bear,2025-02-06 12:00:00
143391,143391,143391,bear,2025-02-09 00:15:00
143401,143401,143391,bear,2025-02-09 02:45:00
143427,143427,143425,bear,2025-02-09 09:15:00
143752,143752,143742,bear,2025-02-12 18:30:00
144230,144230,144229,bull,2025-02-17 18:00:00
144235,144230,144235,bull,2025-02-17 19:15:00
144237,144237,144229,bull,2025-02-17 19:45:00
144237,144237,144235,bull,2025-02-17 19:45:00
144266,144266,144266,bear,2025-02-18 03:00:00
144288,144283,144288,bull,2025-02-18 08:30:00
144292,144292,144288,bull,2025-02-18 09:30:00
144423,144423,144422,bear,2025-02-19 18:15:00
144458,144454,144458,bear,2025-02-20 03:00:00
144467,144467,144458,bear,2025-02-20 05:15:00
144591,144591,144581,bear,2025-02-21 12:15:00
144801,144801,144795,bull,2025-02-23 16:45:00
144805,144801,144805,bull,2025-02-23 17:45:00
144805,144805,144795,bull,2025-02-23 17:45:00
144805,144805,144805,bull,2025-02-23 17:45:00
144852,144851,144852,bull,2025-02-24 05:30:00
144916,144912,144916,bull,2025-02-24 21:30:00
145174,145165,145174,bear,2025-02-27 14:00:00
145243,145239,145243,bull,2025-02-28 07:15:00
145243,145243,145243,bull,2025-02-28 07:15:00
145666,145666,145661,bull,2025-03-04 17:00:00
145791,145781,145791,bear,2025-03-06 00:15:00
145944,145944,145937,bear,2025-03-07 14:30:00
145944,145944,145942,bear,2025-03-07 14:30:00
146147,146138,146147,bull,2025-03-09 17:15:00
146150,146150,146147,bull,2025-03-09 18:00:00
146349,146349,146347,bear,2025-03-11 19:45:00
146624,146624,146621,bear,2025-03-14 16:30:00
146728,146728,146725,bear,2025-03-15 18:30:00
146914,146914,146913,bear,2025-03-17 17:00:00
146922,146914,146922,bear,2025-03-17 19:00:00
147087,147077,147087,bear,2025-03-19 12:15:00
147122,147122,147117,bear,2025-03-19 21:00:00
147286,147286,147283,bull,2025-03-21 14:00:00
147540,147540,147536,bear,2025-03-24 05:30:00
147544,147540,147544,bear,2025-03-24 06:30:00
147579,147579,147578,bear,2025-03-24 15:15:00
147585,147585,147578,bear,2025-03-24 16:45:00
147790,147790,147790,bull,2025-03-26 20:00:00
148028,148028,148026,bull,2025-03-29 07:30:00
148310,148310,148306,bear,2025-04-01 06:00:00
148316,148310,148316,bear,2025-04-01 07:30:00
148354,148354,148348,bear,2025-04-01 17:00:00
148541,148541,148536,bull,2025-04-03 15:45:00
148664,148664,148663,bear,2025-04-04 22:30:00
148814,148814,148804,bull,2025-04-06 12:00:00
148818,148814,148818,bull,2025-04-06 13:00:00
148862,148862,148859,bull,2025-04-07 00:00:00
148884,148884,148880,bull,2025-04-07 05:30:00
148970,148970,148970,bear,2025-04-08 03:00:00
149143,149142,149143,bear,2025-04-09 22:15:00
149321,149321,149320,bear,2025-04-11 18:45:00
149427,149421,149427,bear,2025-04-12 21:15:00
149428,149428,149427,bear,2025-04-12 21:30:00
149596,149596,149594,bear,2025-04-14 15:30:00
149965,149965,149965,bull,2025-04-18 11:45:00
150349,150344,150349,bear,2025-04-22 11:45:00
150377,150377,150376,bear,2025-04-22 18:45:00
150427,150427,150419,bear,2025-04-23 07:15:00
150427,150427,150426,bear,2025-04-23 07:15:00
150597,150597,150596,bear,2025-04-25 01:45:00
150633,150633,150632,bear,2025-04-25 10:45:00
150653,150653,150648,bear,2025-04-25 15:45:00
150653,150653,150653,bear,2025-04-25 15:45:00
150661,150661,150653,bear,2025-04-25 17:45:00
150981,150980,150981,bear,2025-04-29 01:45:00
151280,151280,151273,bear,2025-05-02 04:30:00
151280,151280,151276,bear,2025-05-02 04:30:00
151316,151316,151315,bear,2025-05-02 13:30:00
151558,151552,151558,bull,2025-05-05 02:00:00
151560,151560,151558,bull,2025-05-05 02:30:00
151615,151615,151615,bull,2025-05-05 16:15:00
151823,151823,151816,bull,2025-05-07 20:15:00
151967,151967,151959,bear,2025-05-09 08:15:00
152398,152387,152398,bear,2025-05-13 20:00:00
152398,152394,152398,bear,2025-05-13 20:00:00
152535,152529,152535,bull,2025-05-15 06:15:00
152760,152760,152760,bull,2025-05-17 14:30:00
152770,152760,152770,bull,2025-05-17 17:00:00
152846,152846,152836,bear,2025-05-18 12:00:00
152846,152846,152845,bear,2025-05-18 12:00:00
152897,152897,152890,bear,2025-05-19 00:45:00
153088,153088,153085,bear,2025-05-21 00:30:00
153254,153250,153254,bear,2025-05-22 18:00:00
153255,153255,153254,bear,2025-05-22 18:15:00
153633,153633,153630,bear,2025-05-26 16:45:00
153706,153705,153706,bear,2025-05-27 11:00:00
153821,153821,153818,bull,2025-05-28 15:45:00
154047,154047,154046,bull,2025-05-31 00:15:00
154601,154601,154600,bull,2025-06-05 18:45:00
154747,154744,154747,bear,2025-06-07 07:15:00
154784,154775,154784,bear,2025-06-07 16:30:00
154803,154803,154797,bear,2025-06-07 21:15:00
154803,154803,154801,bear,2025-06-07 21:15:00
154811,154803,154811,bear,2025-06-07 23:15:00
154811,154811,154801,bear,2025-06-07 23:15:00
154811,154811,154811,bear,2025-06-07 23:15:00
154936,154936,154936,bull,2025-06-09 06:30:00
155070,155068,155070,bull,2025-06-10 16:00:00
155079,155068,155079,bull,2025-06-10 18:15:00
155196,155196,155193,bull,2025-06-11 23:30:00
155248,155248,155241,bull,2025-06-12 12:30:00
155287,155285,155287,bull,2025-06-12 22:15:00
155292,155285,155292,bull,2025-06-12 23:30:00
155653,155646,155653,bear,2025-06-16 17:45:00
155941,155941,155941,bull,2025-06-19 17:45:00
156039,156039,156031,bull,2025-06-20 18:15:00
156152,156152,156145,bull,2025-06-21 22:30:00
156220,156220,156215,bull,2025-06-22 15:30:00
156314,156314,156307,bear,2025-06-23 15:00:00
156314,156314,156312,bear,2025-06-23 15:00:00
156341,156341,156332,bear,2025-06-23 21:45:00
156341,156341,156338,bear,2025-06-23 21:45:00
156600,156600,156596,bull,2025-06-26 14:30:00
156606,156600,156606,bull,2025-06-26 16:00:00
156645,156645,156643,bull,2025-06-27 01:45:00
156931,156931,156930,bear,2025-06-30 01:15:00
156969,156969,156963,bull,2025-06-30 10:45:00
157125,157125,157117,bull,2025-07-02 01:45:00
157125,157125,157124,bull,2025-07-02 01:45:00
157232,157228,157232,bull,2025-07-03 04:30:00
157391,157391,157389,bull,2025-07-04 20:15:00
157547,157545,157547,bull,2025-07-06 11:15:00
157615,157615,157609,bear,2025-07-07 04:15:00
157797,157797,157796,bear,2025-07-09 01:45:00
157923,157923,157922,bear,2025-07-10 09:15:00
158024,158024,158022,bear,2025-07-11 10:30:00
158255,158255,158253,bear,2025-07-13 20:15:00
158535,158535,158525,bear,2025-07-16 18:15:00
158538,158535,158538,bear,2025-07-16 19:00:00
158649,158648,158649,bear,2025-07-17 22:45:00
158812,158812,158812,bull,2025-07-19 15:30:00
159060,159060,159054,bull,2025-07-22 05:30:00
159246,159246,159239,bear,2025-07-24 04:00:00
159246,159246,159246,bear,2025-07-24 04:00:00
159480,159480,159480,bear,2025-07-26 14:30:00
159844,159838,159844,bear,2025-07-30 09:30:00
