sig,e_bar,x_bar,dir,tag,entry,stop_d,gross_r,net_r,t_entry,t_exit
31730,31731,31764,long,"oi=-0.052,pr=-0.036",53069.38,2465.3799999999974,-1.0,-1.0238936844624358,1638563400,1638593100
32191,32192,32287,short,"oi=-0.053,pr=+0.028",50522.97,687.6299999999974,3.297194712272601,3.1994742083678847,1638978300,1639063800
36346,36347,36348,long,"oi=-0.055,pr=-0.030",41449.69,549.6900000000023,-1.0,-1.0754055740508284,1642717800,1642718700
39697,39698,39793,short,"oi=-0.076,pr=+0.079",38819.5,1556.5999999999985,0.019272773994603642,-0.013895628292432238,1645733700,1645819200
40092,40093,40146,short,"oi=-0.077,pr=+0.027",43029.9,1311.0999999999985,-1.0,-1.0400400259324232,1646089200,1646136900
46972,46973,47068,short,"oi=-0.052,pr=+0.070",31305.6,762.3000000000029,2.3030303030302925,2.2484107988980613,1652282100,1652367600
48819,48820,48896,short,"oi=-0.053,pr=+0.031",31678.6,629.0,-1.0,-1.0642133783783785,1653946200,1654014600
50345,50346,50358,short,"oi=-0.050,pr=+0.039",21529.6,910.4000000000015,-1.0,-1.0249491739894552,1655319600,1655330400
56536,56537,56586,long,"oi=-0.051,pr=-0.034",22025.2,805.2000000000007,-1.0,-1.0318670615996026,1660891500,1660935600
59753,59754,59849,short,"oi=-0.063,pr=+0.021",19627.5,526.5999999999985,0.8391568552981441,0.789584931636921,1663786800,1663872300
59756,59757,59764,long,"oi=-0.057,pr=-0.024",19012.1,669.0999999999985,-1.0,-1.0299772313555522,1663789500,1663795800
64358,64359,64359,long,"oi=-0.066,pr=-0.058",19005.8,205.79999999999927,-1.0,-1.092350826044704,1667931300,1667931300
70720,70721,70816,short,"oi=-0.075,pr=+0.058",21084.0,460.0,0.9099999999999968,0.8490397391304316,1673657100,1673742600
71171,71172,71267,long,"oi=-0.058,pr=-0.023",20924.4,538.4000000000015,-0.045319465081726205,-0.09700864041605,1674063000,1674148500
75332,75333,75333,long,"oi=-0.056,pr=-0.048",22333.1,393.09999999999854,-1.0,-1.0568127702874588,1677807900,1677807900
76459,76460,76466,long,"oi=-0.057,pr=-0.049",24494.8,272.7999999999993,-1.0,-1.0947287903225809,1678822200,1678827600
77691,77692,77787,long,"oi=-0.054,pr=-0.030",26934.1,454.09999999999854,0.09359171988548808,0.014705234529839281,1679931000,1680016500
85953,85954,86049,short,"oi=-0.060,pr=+0.022",30163.1,658.9000000000015,0.3115799059037772,0.25069521475185746,1687366800,1687452300
86805,86806,86901,long,"oi=-0.076,pr=-0.025",30118.1,618.0999999999985,0.6987542468856213,0.6339474631936619,1688133600,1688219100
95767,95768,95804,short,"oi=-0.068,pr=+0.028",27862.2,503.0,-1.0,-1.0614851729622266,1696199400,1696231800
97140,97141,97171,short,"oi=-0.051,pr=+0.023",27846.1,322.5,-1.0,-1.0958423906976744,1697435100,1697462100
97179,97180,97275,long,"oi=-0.077,pr=-0.046",28099.4,400.90000000000146,0.8630581192317255,0.769837360937887,1697470200,1697555700
97880,97881,97976,short,"oi=-0.082,pr=+0.074",34021.5,1960.4000000000015,-0.021067129157316303,-0.04414843654356399,1698101100,1698186600
99482,99483,99578,short,"oi=-0.066,pr=+0.024",37766.6,733.3000000000029,0.7944906586662979,0.7259926660302692,1699542900,1699628400
99486,99487,99488,long,"oi=-0.053,pr=-0.027",36622.0,375.6999999999971,-1.0,-1.0974767101410707,1699546500,1699547400
102502,102503,102572,long,"oi=-0.098,pr=-0.047",41732.1,1460.0,-1.0,-1.0348720287671234,1702260900,1702323000
