sig,e_bar,x_bar,dir,tag,entry,stop_d,gross_r,net_r,t_entry,t_exit
3094,3095,3095,short,prem=+0.00645,40560.8,1216.8240000000005,-1.0,-1.0333333333333332,1612788300,1612788300
3272,3273,3368,short,prem=+0.00386,46901.01,1407.0302999999985,1.3724011487172694,1.328067815383936,1612948500,1613034000
3385,3386,3481,short,prem=+0.00462,48281.65,1448.4495000000024,0.2550451361956338,0.21071180286230054,1613050200,1613135700
4175,4176,4245,short,prem=+0.00426,55545.74,1666.372199999998,-1.0,-1.0425,1613761200,1613823300
4444,4445,4447,short,prem=+0.00774,50976.34,1529.290200000003,-1.0,-1.0333333333333332,1614003300,1614005100
4445,4446,4503,long,prem=-0.00074,51353.37,1540.6010999999999,-1.0,-1.0406666666666666,1614004200,1614055500
4771,4772,4795,long,prem=-0.00095,47087.97,1412.6391000000003,-1.0,-1.0351666666666666,1614297600,1614318300
4956,4957,4961,long,prem=-0.00031,46604.9,1398.1470000000045,-1.0,-1.0333333333333332,1614464100,1614467700
5093,5094,5189,long,prem=-0.00035,46897.87,1406.936099999999,1.4731656967221154,1.428832363388782,1614587400,1614675600
5381,5382,5416,long,prem=-0.00044,49870.0,1496.0999999999985,-1.0,-1.0370000000000001,1614849300,1614879900
6249,6250,6289,short,prem=+0.00633,59427.71,1782.831299999998,-1.0,-1.0388333333333333,1615630500,1615665600
6349,6350,6445,short,prem=+0.00278,60173.52,1805.2056000000011,2.2466582199833622,2.202324886650029,1615720500,1615806000
6621,6622,6641,long,prem=-0.00211,56052.5,1681.5750000000044,-1.0,-1.037,1615965300,1615982400
7530,7531,7626,long,prem=-0.00048,53677.94,1610.3381999999983,1.2488370455349054,1.204503712201572,1616783400,1616868900
8055,8056,8151,short,prem=+0.00216,58961.25,1768.8375000000015,-0.3589306536072414,-0.4032639869405747,1617255900,1617341400
8171,8172,8267,short,prem=+0.00230,59720.94,1791.6281999999992,0.04908384451640266,0.004750511183069309,1617360300,1617445800
8914,8915,9010,short,prem=+0.00406,60997.49,1829.9247000000032,0.4376354939632189,0.39330216062988566,1618029000,1618114500
9221,9222,9302,short,prem=+0.00226,62810.13,1884.303899999999,-1.0,-1.0425,1618305300,1618377300
9337,9338,9433,short,prem=+0.00244,62858.45,1885.753499999999,-0.02648808553186002,-0.07082141886519337,1618409700,1618495200
9517,9518,9583,short,prem=+0.00243,60633.21,1818.9962999999989,-1.0,-1.0406666666666666,1618571700,1618630200
9677,9678,9773,short,prem=+0.00237,58566.33,1756.9899000000005,1.0132727570033297,0.9689394236699964,1618715700,1618801200
