sig,e_bar,x_bar,dir,tag,entry,stop_d,gross_r,net_r,t_entry,t_exit
243,244,339,short,wk=+0.042,40769.42,1223.0826000000015,2.647008468602195,2.604508468602195,1610222400,1610307900
915,916,956,long,wk=-0.088,36421.89,1092.6566999999995,-1.0,-1.037,1610827200,1610863200
2259,2260,2355,short,wk=+0.054,34337.98,1030.1394,1.4761594401689726,1.4336594401689726,1612036800,1612122300
2931,2932,3027,short,wk=+0.073,40258.99,1207.7697000000044,1.7803394140455668,1.737839414045567,1612641600,1612727100
3603,3604,3699,long,wk=-0.019,46938.23,1408.1468999999997,1.3193367822632711,1.2768367822632711,1613246400,1613331900
4275,4276,4371,short,wk=+0.101,57063.18,1711.8954000000012,-0.6531765901117542,-0.6956765901117542,1613851200,1613936700
4947,4948,4959,long,wk=-0.041,47439.35,1423.1805000000022,-1.0,-1.0333333333333332,1614456000,1614465900
6288,6289,6384,short,wk=+0.069,60805.52,1824.1656000000003,0.43108476554979175,0.38858476554979177,1615665600,1615751100
6960,6961,7056,short,wk=+0.034,59333.0,1779.989999999998,0.9916572565014419,0.9491572565014418,1616270400,1616355900
7632,7633,7728,short,wk=+0.068,55784.29,1673.5287000000026,0.3384047133461176,0.2959047133461177,1616875200,1616960700
8976,8977,9072,short,wk=+0.033,59674.69,1790.240700000002,-0.06209220916494418,-0.10459220916494413,1618084800,1618170300
9648,9649,9674,long,wk=-0.042,60779.32,1823.3796000000002,-1.0,-1.0351666666666666,1618689600,1618712100
10320,10321,10366,long,wk=-0.042,50698.62,1520.9585999999981,-1.0,-1.0370000000000001,1619294400,1619334900
10992,10993,11088,short,wk=+0.093,57797.75,1733.9325000000026,0.5131399290341456,0.4706399290341457,1619899200,1619984700
11664,11665,11760,short,wk=+0.052,59097.41,1772.9222999999984,0.9895413916334665,0.9470413916334665,1620504000,1620589500
13008,13009,13054,long,wk=-0.070,37275.31,1118.259299999998,-1.0,-1.0370000000000001,1621713600,1621754100
13680,13681,13776,long,wk=-0.122,34051.47,1021.5440999999992,2.00155822935104,1.9590582293510401,1622318400,1622403900
14352,14353,14448,long,wk=-0.073,35784.94,1073.5481999999975,-0.02810306980162195,-0.07060306980162206,1622923200,1623008700
15024,15025,15120,long,wk=-0.026,35719.8,1071.5940000000046,1.7642222707480546,1.7217222707480548,1623528000,1623613500
15696,15697,15753,long,wk=-0.046,35932.5,1077.9749999999985,-1.0,-1.0388333333333333,1624132800,1624183200
16368,16369,16464,long,wk=-0.094,31561.63,946.8489000000009,1.300946750849051,1.258446750849051,1624737600,1624823100
17040,17041,17136,short,wk=+0.050,34718.0,1041.5400000000009,-0.8023887704744902,-0.8448887704744902,1625342400,1625427900
19056,19057,19152,short,wk=+0.046,33828.04,1014.8412000000026,-0.4777693298222415,-0.5202693298222414,1627156800,1627242300
19728,19729,19760,short,wk=+0.042,41296.62,1238.8986000000004,-1.0,-1.0351666666666666,1627761600,1627789500
20400,20401,20443,short,wk=+0.080,43945.16,1318.354800000001,-1.0,-1.037,1628366400,1628404200
21072,21073,21168,short,wk=+0.060,47044.67,1411.3401000000013,0.5026357573202935,0.46013575732029355,1628971200,1629056700
21744,21745,21840,short,wk=+0.049,48999.94,1469.9982000000018,0.2174900622327284,0.17499006223272845,1629576000,1629661500
22416,22417,22512,short,wk=+0.037,48668.51,1460.0553,-0.0961812884758545,-0.1386812884758545,1630180800,1630266300
23760,23761,23856,long,wk=-0.026,45375.83,1361.274900000004,0.4037685554916188,0.3612685554916189,1631390400,1631475900
24432,24433,24528,short,wk=+0.018,48272.24,1448.1672000000035,0.6092252331084371,0.5667252331084373,1631995200,1632080700
