sig,e_bar,x_bar,dir,tag,entry,stop_d,gross_r,net_r,t_entry,t_exit
7040,7041,7136,long,fund=+0.00010,57200.91,1716.0273000000016,-0.04645030996884859,-0.08895030996884855,1616342400,1616427900
7392,7393,7410,long,fund=+0.00010,52298.33,1568.9498999999996,-1.0,-1.0351666666666666,1616659200,1616674500
7488,7489,7584,long,fund=+0.00010,53572.31,1607.1693000000014,0.8675439482324604,0.8250439482324604,1616745600,1616831100
7584,7585,7680,long,fund=+0.00010,54962.1,1648.8630000000048,0.7564060810388707,0.7139060810388709,1616832000,1616917500
7680,7681,7776,long,fund=+0.00010,56209.3,1686.2790000000023,-0.1537764509906158,-0.19627645099061575,1616918400,1617003900
7776,7777,7872,long,fund=+0.00010,55950.0,1678.5,1.324658921656242,1.2821589216562421,1617004800,1617090300
9728,9729,9824,long,fund=+0.00010,55470.01,1664.1002999999982,-0.5365181413644362,-0.5790181413644363,1618761600,1618847100
9824,9825,9920,long,fund=+0.00010,54577.19,1637.3156999999992,0.4713080073684022,0.4288080073684022,1618848000,1618933500
9920,9921,10016,long,fund=+0.00010,55348.87,1660.466100000005,0.4811962135210061,0.43869621352100624,1618934400,1619019900
10016,10017,10042,long,fund=+0.00010,56146.85,1684.4055000000008,-1.0,-1.0351666666666666,1619020800,1619043300
10112,10113,10122,long,fund=+0.00010,54676.74,1640.3021999999983,-1.0,-1.0333333333333334,1619107200,1619115300
10208,10209,10304,long,fund=+0.00010,49850.0,1495.5,0.25099297893681083,0.20849297893681082,1619193600,1619279100
10400,10401,10420,long,fund=+0.00010,50273.28,1508.1984000000011,-1.0,-1.0351666666666666,1619366400,1619383500
10496,10497,10592,long,fund=+0.00010,53576.65,1607.299500000001,0.8762212643007714,0.8337212643007714,1619452800,1619538300
10592,10593,10688,long,fund=+0.00010,54985.01,1649.5503000000026,-0.3746233140026092,-0.4171233140026091,1619539200,1619624700
10688,10689,10784,long,fund=+0.00010,54367.04,1631.0112000000008,-0.37907158454828743,-0.4215715845482874,1619625600,1619711100
10784,10785,10880,long,fund=+0.00010,53748.78,1612.4634000000005,2.102032207366693,2.059532207366693,1619712000,1619797500
10880,10881,10976,long,fund=+0.00010,57139.14,1714.1742000000013,0.151629863522621,0.10912986352262102,1619798400,1619883900
12096,12097,12104,long,fund=+0.00010,50893.36,1526.8008000000045,-1.0,-1.0333333333333332,1620892800,1620899100
12256,12257,12289,long,fund=+0.00010,49873.26,1496.1978000000017,-1.0,-1.037,1621036800,1621065600
12448,12449,12454,long,fund=+0.00010,46429.28,1392.8784000000014,-1.0,-1.0333333333333332,1621209600,1621214100
12640,12641,12646,long,fund=+0.00010,42882.54,1286.4762000000046,-1.0,-1.0333333333333332,1621382400,1621386900
12736,12737,12739,long,fund=+0.00010,36689.14,1100.6742000000013,-1.0,-1.0333333333333332,1621468800,1621470600
12832,12833,12857,long,fund=+0.00010,40500.0,1215.0,-1.0,-1.0351666666666666,1621555200,1621576800
12928,12929,12948,long,fund=-0.00024,37210.01,1116.3003000000026,-1.0,-1.0351666666666666,1621641600,1621658700
13024,13025,13051,long,fund=-0.00005,37436.0,1123.0800000000017,-1.0,-1.0351666666666666,1621728000,1621751400
13120,13121,13216,long,fund=-0.00009,34656.53,1039.6958999999988,3.965707665097082,3.923207665097082,1621814400,1621899900
14688,14689,14784,long,fund=-0.00005,34143.5,1024.3050000000003,2.7310029727473717,2.6885029727473717,1623225600,1623311100
15648,15649,15744,long,fund=-0.00009,35767.59,1073.0276999999987,-0.1427735742516221,-0.18527357425162214,1624089600,1624175100
