time,open,high,low,close,Smoothed Heiken Ashi (Open),Smoothed Heiken Ashi (High,Smoothed Heiken Ashi (Low),Smoothed Heiken Ashi (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Bars (Open),Bars (High,Bars (Low),Bars (Close),Mny Flow
1772323200,1.3752,1.3818,1.3725,1.3759,,,,,1.37555,1.3818,1.3725,1.37635,1.37555,1.3818,1.3725,1.37635,
1772324100,1.3758,1.378,1.3713,1.3714,,,,,1.37595,1.378,1.3713,1.3741249999999998,1.37595,1.378,1.3713,1.3741249999999998,
1772325000,1.3713,1.3764,1.3713,1.3752,,,,,1.3750375,1.3764,1.3713,1.3735499999999998,1.3750375,1.3764,1.3713,1.3735499999999998,
1772325900,1.3752,1.38,1.375,1.3781,,,,,1.3742937499999999,1.38,1.3742937499999999,1.377075,1.3742937499999999,1.38,1.3742937499999999,1.377075,
1772326800,1.378,1.3781,1.3662,1.3681,,,,,1.375684375,1.3781,1.3662,1.3726,1.375684375,1.3781,1.3662,1.3726,
1772327700,1.368,1.3743,1.3648,1.3729,,,,,1.3741421875,1.3743,1.3648,1.37,1.3741421875,1.3743,1.3648,1.37,
1772328600,1.3729,1.3892,1.3713,1.3854,,,,,1.37207109375,1.3892,1.3713,1.3797,1.37207109375,1.3892,1.3713,1.3797,
1772329500,1.3854,1.4136,1.3852,1.4022,,,,,1.375885546875,1.4136,1.375885546875,1.3965999999999998,1.375885546875,1.4136,1.375885546875,1.3965999999999998,
1772330400,1.4022,1.4281,1.4021,1.4205,,,,,1.3862427734375,1.4281,1.3862427734375,1.4132250000000002,1.3862427734375,1.4281,1.3862427734375,1.4132250000000002,
1772331300,1.4205,1.4327,1.4144,1.428,1.378459111328125,1.39322,1.375355595703125,1.3857125,1.39973388671875,1.4327,1.39973388671875,1.4239,1.39973388671875,1.4327,1.39973388671875,1.4239,
1772332200,1.4279,1.4304,1.4196,1.4279,1.3845241716974432,1.39998,1.381984931640625,1.393119318181818,1.411816943359375,1.4304,1.411816943359375,1.42645,1.411816943359375,1.4304,1.411816943359375,1.42645,
1772333100,1.4279,1.428,1.418,1.4242,1.390816771694215,1.4050745454545455,1.388533125887784,1.3988294421487601,1.4191334716796875,1.428,1.418,1.424525,1.4191334716796875,1.428,1.418,1.424525,
1772334000,1.4241,1.4326,1.4213,1.427,1.3964554015388748,1.410079173553719,1.3944907393627324,1.403814998121713,1.4218292358398439,1.4326,1.4213,1.42625,1.4218292358398439,1.4326,1.4213,1.42625,
1772334900,1.427,1.4324,1.4204,1.4268,1.4014707136081561,1.414137505634861,1.3992015140240537,1.4079668166450379,1.424039617919922,1.4324,1.4204,1.42665,1.424039617919922,1.4324,1.4204,1.42665,
1772335800,1.4267,1.4267,1.419,1.424,1.4058114582175751,1.4164215955194317,1.402801238746953,1.4109001227095765,1.425344808959961,1.4267,1.419,1.4241000000000001,1.425344808959961,1.4267,1.419,1.4241000000000001,
