cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h
fund_top_pct365d,-1,0.25,3661,469,12,0.8126195028680688,0.8199294015312498,-0.7309898663180991,-0.02624920617894746,-0.06505564247118426,0.006535208239162294,0.93125,3249,0.8140966451215759,-0.021381322117044837,412,0.8009708737864077,-0.06463696180302912,5.812756077574433
fund_top_pct365d,-1,0.5,2494,456,12,0.6796311146752205,0.6848623920986222,-0.5231277423401681,-0.025230177918482144,-0.0833036663522248,0.0367705905126946,0.775,2204,0.6796733212341198,-0.02182207076266083,290,0.6793103448275862,-0.051131792302724154,11.266740176423417
fund_top_pct365d,-1,0.75,1940,438,12,0.5902061855670103,0.5887389644186032,0.14672211484071385,-0.015647427990697987,-0.09415563466750523,0.0636024487517976,0.61875,1689,0.5920663114268798,-0.008331608845402537,251,0.5776892430278885,-0.06487618709987732,17.052319587628865
fund_top_pct365d,-1,1.0,1599,408,12,0.5143929912390488,0.5166198166775873,-0.22268254385384711,-0.022470776759207625,-0.12175116230368364,0.08336326057476003,0.6525,1382,0.5173661360347322,-0.01221931310684837,217,0.49537037037037035,-0.08775890011202099,23.184021263289555
fund_top_pct365d,-1,2.0,1026,351,12,0.33203125,0.3488295200779776,-1.6798270077977573,-0.06789291243218282,-0.22239254852961038,0.09939768569242016,0.7675,857,0.32555425904317387,-0.08241892228264668,169,0.3652694610778443,0.005768569472240319,49.52972709551657
fund_bot_pct365d,1,0.25,9163,1269,12,0.8012659609298265,0.8175816649092054,-1.631570397937887,-0.03388821923666844,-0.05274450487701078,-0.016730144589182608,1.0,5810,0.8065404475043029,-0.02564849138488765,3353,0.792126453921861,-0.04816582699653913,7.081005129324457
fund_bot_pct365d,1,0.5,6254,1221,12,0.6595778701630957,0.6834895386281733,-2.391166846507764,-0.04983211112911519,-0.08454656301930276,-0.017694976722024223,0.9975,3926,0.6627610799796231,-0.04329140304585957,2328,0.6542096219931272,-0.06086253206333405,14.682563159577871
fund_bot_pct365d,1,0.75,4894,1181,12,0.5629342051491623,0.5876933518366411,-2.4759146687478806,-0.05771513954171549,-0.10197749302205182,-0.01392465691266187,0.9975,3046,0.5646749835850295,-0.0527460703356918,1848,0.560064935064935,-0.06590549928281296,22.322946465059257
fund_bot_pct365d,1,1.0,4117,1138,12,0.4874908914257955,0.5162781316104547,-2.878724018465917,-0.07203367949706849,-0.12997910717793165,-0.015160983036633952,0.99125,2536,0.4893533123028391,-0.06621545419843732,1581,0.4845034788108792,-0.08136639256305753,30.50522224921059
fund_bot_pct365d,1,2.0,2755,956,12,0.32546313112967673,0.3491373911173987,-2.367425998772199,-0.08580187384433902,-0.18293310573275845,0.019770184163906777,0.9525,1652,0.3349485160508783,-0.05542076007392549,1103,0.31125226860254085,-0.13130468431462292,63.734936479128855
fund_gt_0.01pct,-1,0.25,6008,401,12,0.8154127829560586,0.8170788336907474,-0.16660507346888398,-0.014909113231520844,-0.042199136683946585,0.011847259044729467,0.845,5867,0.8162604397477417,-0.01295373079069447,141,0.7801418439716312,-0.09627243791470054,5.834595539280959
fund_gt_0.01pct,-1,0.5,3970,394,12,0.6755667506297229,0.6824910900239693,-0.6924339394246415,-0.023615949039016263,-0.07362991553113929,0.026929852198304984,0.80375,3869,0.6764021711036443,-0.021325608616219245,101,0.6435643564356436,-0.1113518608786365,11.453778337531487
fund_gt_0.01pct,-1,0.75,2989,386,12,0.5807962529274004,0.5863644895910047,-0.5568236663604287,-0.02333659974842729,-0.09033265962584713,0.043883905948335626,0.74,2903,0.5814674474681364,-0.020983345594332486,86,0.5581395348837209,-0.10277260915932505,17.126212780194045
fund_gt_0.01pct,-1,1.0,2422,375,12,0.503510945890128,0.51441557134011,-1.0904625449981942,-0.035487224939374264,-0.1198266196976075,0.04490490727454425,0.81375,2348,0.5051107325383305,-0.031094293987625282,74,0.4520547945205479,-0.17487373675973403,22.94869942196532
fund_gt_0.01pct,-1,2.0,1429,351,12,0.3179271708683473,0.3466832461780512,-2.8756075309703863,-0.10075156759700109,-0.2472309400309484,0.06093491251685618,0.89,1366,0.31771595900439237,-0.09967398603966256,63,0.3225806451612903,-0.12411627247516689,48.478831350594824
fund_gt_0.05pct,-1,0.25,1238,113,12,0.8069466882067852,0.8154820831349443,-0.8535394928159135,-0.021394455397035255,-0.07891392090871281,0.04095956476493787,0.75,1237,0.8067906224737268,-0.021606418101617536,1,1.0,0.2408034101712443,5.184773828756058
fund_gt_0.05pct,-1,0.5,891,113,12,0.6767676767676768,0.6807430122160009,-0.3975335448324069,-0.016671750542877083,-0.10156790450558062,0.08210115675856665,0.62125,890,0.6764044943820224,-0.017222075723824764,1,1.0,0.47311766050056026,10.054433221099888
fund_gt_0.05pct,-1,0.75,751,111,12,0.5912117177097204,0.5845155412714568,0.669617643826359,0.0007226226412292595,-0.11482529367403474,0.13121662744588003,0.475,750,0.5906666666666667,-0.00023585454267100185,1,1.0,0.7195805105664235,14.164780292942742
