name,cap,n,tpm,expR,Rmo,risk,cagr,maxdd,cdd,worst_day,streak,cap_block,sym_block,offered
bb0.5,2,2318,37.32035175879397,0.03300963532767736,1.2319312018584312,0.005,0.07394844626525443,-0.1199727795531686,0.6163768693254501,-0.01624998685941939,6,0.6433297430373903,0.0,6499
bb0.5,4,3818,61.47070880719386,0.0162610525350817,0.9995784252824886,0.0025,0.029326179175144018,-0.0982554109728282,0.29846884649695227,-0.013373229121705448,10,0.4125250038467457,0.0,6499
bb0.5,8,5728,92.22216344882305,0.025158879690368854,2.320206314994471,0.00125,0.03499967293379336,-0.06840504366231723,0.5116533965911914,-0.011651714906412813,12,0.11863363594399139,0.0,6499
bb1.0,2,1453,23.407704309760227,0.03313449363094933,0.7756024293668954,0.005,0.04397824300637443,-0.144304182871963,0.3047606946043627,-0.011235093047576727,13,0.6930065497570251,0.0,4733
bb1.0,4,2533,40.795839626073445,0.022387942544301574,0.9133349135950736,0.0025,0.026212500273694594,-0.12569239412724068,0.20854484040744112,-0.013373229121705448,19,0.4648214663004437,0.0,4733
bb1.0,8,4030,64.90613252786261,0.03709997649912137,2.4080159914325594,0.00125,0.03615239329019837,-0.08878437624606503,0.40719318892326695,-0.011651714906412813,23,0.14853158673145997,0.0,4733
bb2.0,2,854,13.769937093036088,0.06781596524939733,0.9338215753877225,0.005,0.05305756225125302,-0.20085682545626854,0.2641561327613681,-0.01722657537116689,21,0.7377149877149877,0.0,3256
bb2.0,4,1579,25.430963588460312,0.04711475222201625,1.1981735482374247,0.0025,0.034541150075444005,-0.20624246824144848,0.1674783587006271,-0.011311099904114035,29,0.51504914004914,0.0,3256
bb2.0,8,2674,43.06674897754457,0.06176203877365336,2.6598902202063037,0.00125,0.039824042894858414,-0.14536094650805106,0.27396659041878685,-0.01079156982374776,32,0.17874692874692874,0.0,3256
vs0.5,2,1805,29.05900826446281,0.02214691011475062,0.6435672440568534,0.005,0.037264031299653055,-0.11494471028465524,0.3241909193330464,-0.018986399016348562,8,0.5964676950592444,0.0,4473
