rr,name,side,n,wr,be,expR,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,se,hold,nights,costR,tf
0.25,trend+bull_engulf,-1,576,0.8263888888888888,0.8330633078498206,-0.01810350735989039,402,0.818407960199005,-0.024519067071512118,174,0.8448275862068966,-0.0032813521640746683,0.015782280258442877,10.707320601851851,0.3559027777777778,0.0510896184710015,4H
0.25,trend+marubozu,-1,94,0.8404255319148937,0.8296562069174154,0.0074688872035211145,57,0.7719298245614035,-0.07487082415149293,37,0.9459459459459459,0.13431655064232653,0.03777177506693377,5.909574468085107,0.18085106382978725,0.043063027690095894,4H
0.25,trend+lowvol,-1,1824,0.8283991228070176,0.8513372041088534,-0.03670799171398367,1342,0.8405365126676602,-0.013818331064358133,482,0.7946058091286307,-0.10043812572186228,0.008828098088829698,12.609329312865498,0.4144736842105263,0.07220689522275561,4H
0.25,trend+hivol,-1,1950,0.8215384615384616,0.824012977235325,-0.006414319409463022,1138,0.8312829525483304,0.009476906695293011,812,0.8078817733990148,-0.028685520526719632,0.00867099549933435,9.5241452991453,0.29743589743589743,0.033337396332539945,4H
0.25,trend+near_ema200,-1,760,0.8526315789473684,0.8391734144752764,0.005636005072439089,516,0.8682170542635659,0.03272848222728053,244,0.819672131147541,-0.05165792202550429,0.012858080069146665,13.18969298245614,0.4276315789473684,0.06015346861177144,4H
0.25,trend+far_ema200,-1,2071,0.7954545454545454,0.8260302032654717,-0.045824055769076756,1432,0.8023743016759777,-0.03527592147015089,639,0.779874213836478,-0.06946244124022205,0.008870075841849302,8.728512795750845,0.27329792370835343,0.03976410646139655,4H
0.25,rsi>70,-1,570,0.8298245614035088,0.8266957666553207,-0.005088929008218387,386,0.8341968911917098,0.005852710600259602,184,0.8206521739130435,-0.02804258601296027,0.015739979195631665,9.593421052631578,0.29473684210526313,0.04236963076260435,4H
0.25,rsi<30,-1,804,0.7686567164179104,0.8332614506159643,-0.08523125577309904,640,0.7671875,-0.08360891971327418,164,0.774390243902439,-0.09156232332363509,0.014871906163627258,5.523735489220565,0.1417910447761194,0.04605215129548709,4H
0.25,bb_break_up,-1,728,0.8585164835164835,0.8317562583169756,0.0244397283207381,520,0.8557692307692307,0.02606091510701542,208,0.8653846153846154,0.020386761355044778,0.012916996802012744,8.270375457875458,0.26785714285714285,0.0487058760748663,4H
0.25,div_bull,-1,149,0.8389261744966443,0.8385132481861957,-0.009680603008116684,118,0.8305084745762712,-0.008904447494750865,31,0.8709677419354839,-0.012635001413831684,0.030114886087017304,14.001677852348994,0.436241610738255,0.05833832112892204,4H
0.25,d1_trend,-1,4900,0.8133551153767613,0.830484669455449,-0.030457996757051273,3282,0.8159658744667886,-0.02222557905655586,1618,0.8080495356037152,-0.0471568811161526,0.005567793184459031,9.793843537414965,0.3104081632653061,0.04697837328435623,4H
0.33,all,1,11128,0.7531241571518476,0.7854712090439594,-0.05224295770405646,7907,0.7656506892626787,-0.028976485479005127,3221,0.7223258706467661,-0.10935813804664597,0.004088477559164364,12.359521028037383,0.40618260244428467,0.05386353287085113,4H
0.33,trend,1,5413,0.7733234805098836,0.7892485188661762,-0.02894977929143206,3991,0.7830117764971185,-0.006510431136482872,1422,0.7461322081575246,-0.09192828736907074,0.005690689012557558,12.537132828376132,0.41714391280251245,0.057470008369577275,4H
0.33,trend+50,1,4770,0.7685534591194969,0.7896613470375388,-0.03577231969179768,3567,0.7804878048780488,-0.009648300874092249,1203,0.7331670822942643,-0.11323231563756264,0.0061066523782987775,12.958560447239691,0.43647798742138366,0.05794842032072851,4H
0.33,trend+d1,1,4331,0.7718771646271069,0.7899446571534248,-0.031978217850288836,3346,0.780035863717872,-0.01083392283900725,985,0.7441624365482233,-0.10380442202059156,0.00637623602958257,13.115196644346955,0.44447009928423,0.05857484680434103,4H
0.33,trend+macd,1,1727,0.7701215981470758,0.7891796436172818,-0.0325091827372791,1232,0.7808441558441559,-0.009026787903077453,495,0.7434343434343434,-0.09095425432462545,0.01012470941384521,11.515489287782282,0.38563983786913725,0.05677090827289001,4H
0.33,volspike1.8+bar,1,376,0.776595744680851,0.7894489820221665,-0.02535401645707564,273,0.7948717948717948,0.007842957771068053,103,0.7281553398058253,-0.11334211319768953,0.021480743109424768,8.621675531914894,0.3351063829787234,0.05822635688260756,4H
0.33,volspike2.5+bar,1,162,0.8024691358024691,0.7866979229575449,0.015029429570941808,122,0.8032786885245902,0.020358364852906156,40,0.8,-0.0012238230390494431,0.031280532924530535,4.897119341563786,0.16666666666666666,0.05225452104634216,4H
0.33,trend+run3,1,704,0.7784090909090909,0.7876007921427693,-0.017437638162210722,524,0.7748091603053435,-0.0181810548560415,180,0.7888888888888889,-0.015273469564614442,0.01565285599208826,9.359848484848486,0.3025568181818182,0.05272172907130164,4H
0.33,trend+pullback_ema20,1,1649,0.7738023044269254,0.7898616034177655,-0.029916853420081282,1208,0.7698675496688742,-0.024292783682644557,441,0.7845804988662132,-0.04532246848317323,0.010302645809081148,12.380382049727107,0.4208611279563372,0.05907391830789208,4H
0.33,trend+rsi<40,1,334,0.7455089820359282,0.7847757756173144,-0.05764599315997679,260,0.7615384615384615,-0.030597887176587152,74,0.6891891891891891,-0.15267987904756203,0.023833588469644392,7.929890219560877,0.2275449101796407,0.049172939267761236,4H
0.33,trend+bb_lo,1,171,0.7251461988304093,0.7863295389355808,-0.08653272823535277,141,0.7304964539007093,-0.07464454406138224,30,0.7,-0.1424071938530142,0.03414016423152735,8.589181286549708,0.24561403508771928,0.05097717267979722,4H
