feature,n_win,n_loss,mean_win,mean_loss,med_win,med_loss,mw_p,cliffs_d
atr_pct,553,1153,0.005096360237823791,0.00545536361543488,0.004517051355776602,0.004853873525072784,0.003759950752331201,-0.08656245441955812
h4_wt2_wave_age,553,1153,6.490054249547921,6.048568950563746,6.0,5.0,0.034900947362064935,0.06265124864925053
x_h4_wt2_wave,553,1153,-10.557532286851444,-6.828769633026186,-19.45889070771856,-10.721012712307633,0.14746233290503463,-0.04327416959296371
h1_wt2_wave_age,553,1153,6.62748643761302,6.270598438855161,5.0,5.0,0.17181783460258526,0.04059541192172622
x_mfi_anchor_osc,553,1153,19.724785280905433,20.43199378515375,18.18759360608771,19.056164985964077,0.19703266825896182,-0.03853929288952951
x_mfi_div_delta,553,1153,3.9614310932992476,4.358591011924091,2.7725716092616857,2.827712972182315,0.21032539746678725,-0.03742262107341643
x_h4_wt2,553,1153,15.731894138742462,18.24633393533314,18.33768372818795,25.391377096190467,0.28876580869809965,-0.03169183621937588
x_h1_mfi_wave,553,1152,3.7184842477656512,4.874515872591028,3.817582568666054,4.707611419052409,0.30512258160133565,-0.030640948362467335
x_h4_mfi,553,1153,2.730820526674907,4.0119099113183125,3.0891405944278993,3.252083548421189,0.3118861939004476,-0.03021130504745073
x_trig_wt2,553,1153,37.92462531870203,36.667143274460685,42.85186292132232,41.156008166708126,0.3858846659284453,0.025904590430812613
x_h1_mfi,553,1153,9.040273007173704,9.6095837884631,9.25162950661943,10.15878695879584,0.40663545329579864,-0.024791055333284184
x_mfi_div_price,553,1153,0.6697159936202552,0.7190311420446104,0.4281597365170853,0.42047450510608214,0.4109836198524941,-0.02456207487660933
mfi_anchor_age,553,1153,16.978300180831827,17.233304423243712,11.0,11.0,0.4151828381692657,0.02429545379691933
x_h4_mfi_wave,553,1153,-2.095767335078333,-1.043085591014389,-1.6281470096398738,-1.8875654210700135,0.49498149268823477,-0.020387102440523885
x_trig_wt1,553,1153,30.27370183736285,29.44176025621303,34.09332142951523,34.2498697467214,0.5051258961278225,0.019910321215666604
x_trig_mfi,553,1153,12.933086655931453,13.251159276767565,10.93336504899767,11.395815073608228,0.5953501903112393,-0.015867090960133834
x_mfi_pivot_osc,553,1153,15.763354187606188,16.07340277322966,13.546213730881215,13.95070010802721,0.6595877214311318,-0.013160102821635156
x_h1_wt2,553,1153,35.06333363933139,35.010218429022615,40.06075960536805,40.2621950619179,0.7895349815698207,-0.007975107001312765
h1_wt2_wave_aligned,553,1153,0.45207956600361665,0.4588031222896791,0.0,0.0,0.7942370390327704,-0.006723556286062471
x_h1_wt2_wave,553,1153,20.725127720092644,21.70839611201105,33.23586724753566,34.20390144860212,0.8048140265722428,-0.007383835548118056
h4_wt2_wave_aligned,553,1153,0.2766726943942134,0.27840416305290544,0.0,0.0,0.940501922917438,-0.0017314686586921146
gap_bars,553,1153,0.0,0.0,0.0,0.0,1.0,0.0
