feature,bucket,n,winrate,avg_netR
x_trig_wt2,"(-10.565, 31.825]",425,0.35294117647058826,-0.01973883066572942
x_trig_wt2,"(31.825, 42.013]",424,0.3561320754716981,-0.010821710402142427
x_trig_wt2,"(42.013, 50.653]",424,0.3231132075471698,-0.11296504287280063
x_trig_wt2,"(50.653, 60.294]",424,0.33962264150943394,-0.06341359839618266
x_trig_wt2,"(60.294, 92.039]",424,0.32075471698113206,-0.11866656803638909
x_trig_mfi,"(-38.702, 1.998]",425,0.34823529411764703,-0.03817550319986201
x_trig_mfi,"(1.998, 10.628]",424,0.37735849056603776,0.05008401333968754
x_trig_mfi,"(10.628, 18.134]",424,0.33962264150943394,-0.06442811487842817
x_trig_mfi,"(18.134, 26.577]",424,0.3231132075471698,-0.11113687468986387
x_trig_mfi,"(26.577, 58.284]",424,0.30424528301886794,-0.1619057882265368
x_wt_pivot_osc,"(15.757, 44.843]",425,0.35764705882352943,-0.010215831381426224
x_wt_pivot_osc,"(44.843, 52.946]",424,0.3231132075471698,-0.11264992900514488
x_wt_pivot_osc,"(52.946, 60.169]",424,0.3561320754716981,-0.013786546558896431
x_wt_pivot_osc,"(60.169, 68.847]",424,0.3278301886792453,-0.09448530361197799
x_wt_pivot_osc,"(68.847, 101.142]",424,0.3278301886792453,-0.09449059971977107
x_wt_anchor_osc,"(21.142999999999997, 57.66]",425,0.35764705882352943,-0.009441621746500208
x_wt_anchor_osc,"(57.66, 67.414]",424,0.33962264150943394,-0.06640699923802022
x_wt_anchor_osc,"(67.414, 75.331]",425,0.37176470588235294,0.03554036936016202
x_wt_anchor_osc,"(75.331, 83.633]",423,0.3309692671394799,-0.08655984647425959
x_wt_anchor_osc,"(83.633, 118.138]",424,0.29245283018867924,-0.19904991035187533
x_h1_wt2,"(-59.388, 14.231]",425,0.3129411764705882,-0.14509709036843565
x_h1_wt2,"(14.231, 38.276]",424,0.35141509433962265,-0.029272249186351924
x_h1_wt2,"(38.276, 52.819]",424,0.3891509433962264,0.08752611255919454
x_h1_wt2,"(52.819, 67.082]",424,0.33254716981132076,-0.08184614645297358
x_h1_wt2,"(67.082, 102.789]",424,0.30660377358490565,-0.15662072065179378
x_h4_wt2,"(-99.98700000000001, -39.794]",425,0.3270588235294118,-0.0999680613749147
x_h4_wt2,"(-39.794, -4.726]",424,0.35141509433962265,-0.030700605203195667
x_h4_wt2,"(-4.726, 27.835]",424,0.3160377358490566,-0.13490518686729597
x_h4_wt2,"(27.835, 52.271]",424,0.33254716981132076,-0.08218575076829716
x_h4_wt2,"(52.271, 104.502]",424,0.36556603773584906,0.0223430737242074
x_h1_mfi,"(-48.268, -6.99]",424,0.33254716981132076,-0.08325663319945809
x_h1_mfi,"(-6.99, 3.456]",424,0.35141509433962265,-0.03074853627719204
x_h1_mfi,"(3.456, 12.845]",424,0.32075471698113206,-0.12045495447529904
x_h1_mfi,"(12.845, 23.001]",424,0.3443396226415094,-0.04942339538399985
x_h1_mfi,"(23.001, 56.879]",424,0.3419811320754717,-0.04641364000321958
x_h4_mfi,"(-50.366, -14.92]",425,0.3129411764705882,-0.13885008839978022
x_h4_mfi,"(-14.92, -3.382]",424,0.32547169811320753,-0.10770034462691223
x_h4_mfi,"(-3.382, 6.077]",424,0.33962264150943394,-0.06646743040977375
x_h4_mfi,"(6.077, 18.358]",424,0.3466981132075472,-0.041901128459445464
x_h4_mfi,"(18.358, 55.791]",424,0.36792452830188677,0.02959416430034211
x_h1_wt2_wave,"(-103.054, -53.766]",425,0.3341176470588235,-0.0805323650126954
x_h1_wt2_wave,"(-53.766, -24.594]",424,0.33962264150943394,-0.06399226713685599
x_h1_wt2_wave,"(-24.594, 17.407]",424,0.32547169811320753,-0.10409877085318396
x_h1_wt2_wave,"(17.407, 54.985]",424,0.3490566037735849,-0.03258331600542996
x_h1_wt2_wave,"(54.985, 104.37]",424,0.3443396226415094,-0.04425565038784543
x_h4_wt2_wave,"(-112.018, -61.137]",425,0.2988235294117647,-0.18386901828285152
x_h4_wt2_wave,"(-61.137, -32.244]",425,0.33647058823529413,-0.07012471289526473
x_h4_wt2_wave,"(-32.244, 12.812]",423,0.36879432624113473,0.024025760939296398
x_h4_wt2_wave,"(12.812, 50.537]",425,0.3411764705882353,-0.05823593502904776
x_h4_wt2_wave,"(50.537, 106.2]",423,0.3475177304964539,-0.03674199935744431
