feature,bucket,n,winrate,avg_netR
x_trig_wt2,"(-21.153000000000002, 38.205]",103,0.34951456310679613,-0.035776931994336576
x_trig_wt2,"(38.205, 48.761]",102,0.37254901960784315,0.03336344527056663
x_trig_wt2,"(48.761, 57.824]",102,0.4019607843137255,0.123426001959776
x_trig_wt2,"(57.824, 66.682]",102,0.28431372549019607,-0.22992849420624076
x_trig_wt2,"(66.682, 86.668]",102,0.2647058823529412,-0.2862662677643537
x_trig_mfi,"(-21.004, 3.318]",103,0.3300970873786408,-0.0954383673655302
x_trig_mfi,"(3.318, 11.265]",102,0.37254901960784315,0.03234286301452511
x_trig_mfi,"(11.265, 19.686]",102,0.37254901960784315,0.036896865575403504
x_trig_mfi,"(19.686, 27.336]",102,0.30392156862745096,-0.17479923814554532
x_trig_mfi,"(27.336, 60.655]",102,0.29411764705882354,-0.1935994537803906
x_wt_pivot_osc,"(-20.988, 45.021]",103,0.32038834951456313,-0.12370135902758625
x_wt_pivot_osc,"(45.021, 53.539]",102,0.38235294117647056,0.05923074882998721
x_wt_pivot_osc,"(53.539, 61.72]",102,0.30392156862745096,-0.17211870345972421
x_wt_pivot_osc,"(61.72, 70.323]",102,0.37254901960784315,0.03696407533501178
x_wt_pivot_osc,"(70.323, 94.957]",102,0.29411764705882354,-0.19469500422567632
x_wt_anchor_osc,"(18.764, 59.297]",103,0.3300970873786408,-0.09455773803134748
x_wt_anchor_osc,"(59.297, 68.764]",102,0.30392156862745096,-0.17621437397327766
x_wt_anchor_osc,"(68.764, 76.71]",102,0.38235294117647056,0.0659060353939681
x_wt_anchor_osc,"(76.71, 84.059]",102,0.3333333333333333,-0.08100955120743732
x_wt_anchor_osc,"(84.059, 118.401]",102,0.3235294117647059,-0.10873033650436646
x_mfi_pivot_osc,"(-21.004, 4.12]",103,0.34951456310679613,-0.03609454168701604
x_mfi_pivot_osc,"(4.12, 12.101]",102,0.3333333333333333,-0.08713314997304611
x_mfi_pivot_osc,"(12.101, 19.986]",102,0.38235294117647056,0.06524689755164438
x_mfi_pivot_osc,"(19.986, 28.409]",102,0.3235294117647059,-0.11357495951527326
x_mfi_pivot_osc,"(28.409, 60.655]",102,0.28431372549019607,-0.22362337929038076
x_mfi_anchor_osc,"(2.512, 9.011]",103,0.3300970873786408,-0.09712994157710861
x_mfi_anchor_osc,"(9.011, 16.909]",102,0.3333333333333333,-0.08755416305804191
x_mfi_anchor_osc,"(16.909, 24.399]",102,0.4117647058823529,0.15628503468202967
x_mfi_anchor_osc,"(24.399, 32.038]",102,0.28431372549019607,-0.23219165586457258
x_mfi_anchor_osc,"(32.038, 61.592]",102,0.3137254901960784,-0.13399002082294625
x_h1_wt2,"(-36.082, 25.475]",103,0.32038834951456313,-0.1224910695607729
x_h1_wt2,"(25.475, 44.895]",102,0.39215686274509803,0.09295604624076381
x_h1_wt2,"(44.895, 57.984]",102,0.35294117647058826,-0.023771047473068997
x_h1_wt2,"(57.984, 71.3]",102,0.3431372549019608,-0.05737061000865562
x_h1_wt2,"(71.3, 102.495]",102,0.2647058823529412,-0.28365542732926224
x_h4_wt2,"(-87.269, -24.313]",103,0.3106796116504854,-0.15327354666647836
x_h4_wt2,"(-24.313, 7.734]",102,0.3431372549019608,-0.05760719973779126
x_h4_wt2,"(7.734, 34.224]",102,0.4019607843137255,0.11990106017912301
x_h4_wt2,"(34.224, 59.306]",102,0.30392156862745096,-0.1699670471055123
x_h4_wt2,"(59.306, 100.25]",102,0.3137254901960784,-0.13308358580910457
x_h1_mfi,"(-41.733, -2.54]",103,0.32038834951456313,-0.12456521210011613
x_h1_mfi,"(-2.54, 6.227]",102,0.3627450980392157,0.0018384287674185435
x_h1_mfi,"(6.227, 14.856]",102,0.39215686274509803,0.09062752349722832
x_h1_mfi,"(14.856, 25.737]",102,0.29411764705882354,-0.20000289914831357
x_h1_mfi,"(25.737, 52.053]",102,0.30392156862745096,-0.1622096144164351
x_h4_mfi,"(-49.308, -11.701]",103,0.34951456310679613,-0.03533843400008958
x_h4_mfi,"(-11.701, -0.827]",102,0.28431372549019607,-0.23274259376067208
x_h4_mfi,"(-0.827, 11.769]",102,0.29411764705882354,-0.20385295115767338
x_h4_mfi,"(11.769, 22.112]",103,0.4077669902912621,0.14051015285727717
x_h4_mfi,"(22.112, 48.951]",101,0.33663366336633666,-0.06578522336179644
x_h1_wt2_wave,"(-95.36, -40.972]",103,0.3786407766990291,0.04917150894560383
x_h1_wt2_wave,"(-40.972, -5.956]",102,0.35294117647058826,-0.027519599760176587
x_h1_wt2_wave,"(-5.956, 27.988]",102,0.3235294117647059,-0.1155346241268998
x_h1_wt2_wave,"(27.988, 60.406]",102,0.2647058823529412,-0.2870901390817662
x_h1_wt2_wave,"(60.406, 100.748]",102,0.35294117647058826,-0.015042220563701995
x_h4_wt2_wave,"(-102.87, -60.509]",103,0.3106796116504854,-0.1537093889008791
x_h4_wt2_wave,"(-60.509, -33.958]",102,0.29411764705882354,-0.20217532683580758
x_h4_wt2_wave,"(-33.958, 11.378]",103,0.36893203883495146,0.022229681192271627
x_h4_wt2_wave,"(11.378, 47.462]",101,0.3465346534653465,-0.043039208666584165
x_h4_wt2_wave,"(47.462, 94.266]",102,0.35294117647058826,-0.017971694042729497
