feature,n_win,n_loss,mean_win,mean_loss,med_win,med_loss,mw_p,cliffs_d
x_mfi_div_price,259,462,0.7028440289415523,0.8173604717758005,0.4665033820226219,0.5455708658693037,0.16039392688827214,-0.06296277724849153
x_mfi_div_delta,259,462,4.4954569977917025,4.221429541130021,3.381855969688665,2.7876765654672426,0.27100610131246783,0.04937404937404932
h4_wt2_wave_age,259,462,6.772200772200772,6.33982683982684,6.0,5.0,0.2752029699015237,0.04868040582326305
h1_wt2_wave_aligned,259,462,0.2857142857142857,0.2510822510822511,0.0,0.0,0.31164307612878284,0.03463203463203457
x_wt_anchor_osc,259,462,72.28878663349853,73.04978752379827,72.7274400338518,73.88887580352849,0.34211508618514586,-0.04261311404168544
x_h1_wt2_wave,259,462,18.48354844853094,15.455358892582286,25.500234728789422,21.307189666938577,0.3853932029560414,0.03893596750739614
x_wt_pivot_osc,259,462,56.475310562861296,57.269386782535854,55.66431825909044,57.32557362524683,0.39619550398985703,-0.038058466629895205
gap_bars,259,462,4.3938223938223935,4.1558441558441555,3.0,3.0,0.4090149369305873,0.03675475104046533
x_wt_div_price,259,462,0.7512714608716807,0.7681485676040188,0.47218537244378445,0.4877790054298541,0.5374851007326421,-0.02766217051931341
mfi_anchor_age,259,462,17.644787644787645,19.87878787878788,14.0,14.0,0.542368596579923,-0.027302813017098693
x_wt_div_delta,259,462,15.81347607063723,15.780400741262438,13.175100563802047,12.540880970306063,0.5471172733928099,0.027010312724598418
atr_pct,259,462,0.005250264172094303,0.0054115640591467585,0.004687160803395989,0.004806244083584017,0.5826378543973121,-0.02465359608216755
x_mfi_pivot_osc,259,462,17.436507653238618,17.999412354502404,15.451836885969275,16.128840709780413,0.584685054082818,-0.024519881662738774
x_trig_mfi,259,462,15.071198347807869,15.522734052886124,13.363002681826275,14.813531298607362,0.5926493723918524,-0.024001738287452556
wt_anchor_age,259,462,29.18146718146718,29.47835497835498,21.0,23.0,0.6093879320226807,-0.022915308629594344
x_h4_wt2_wave,259,462,-11.896783765904981,-10.24211883561775,-19.45889070771856,-17.96973231503938,0.6848430527110327,-0.018210232495946777
x_trig_wt2,259,462,43.28727648599149,43.706338123705585,44.72699779157144,45.71479140884942,0.6907409772783115,-0.01785087499373217
x_h4_mfi_wave,259,462,-3.162278484203532,-2.4866277106368777,-3.274304570217053,-3.5291188379439604,0.8155236561011171,-0.010471510471510515
x_h4_mfi,259,462,3.0323696196502823,3.625649112763826,3.845692184253505,3.485150527325592,0.853488379816804,-0.008290294004579701
x_mfi_anchor_osc,259,462,21.931964651030324,22.220841895632418,21.002611154896925,20.72830052483803,0.9087597414648414,-0.005148005148005175
x_h1_mfi_wave,259,462,3.5836619757889534,3.6038288438782633,3.676035702746129,4.569189044409357,0.91304460517085,-0.004905647762790566
h1_wt2_wave_age,259,462,6.1505791505791505,6.067099567099567,5.0,5.0,0.9352421962122861,-0.003627003627003633
x_h1_wt2,259,462,48.485550741498024,47.52916107776036,50.084194893914145,50.80761065979955,0.9445858766943253,-0.003125574554145971
x_h4_wt2,259,462,18.950707451934086,19.008169191219864,19.43422037006724,25.220361340858027,0.9454758525982646,-0.003075431646860194
x_h1_mfi,259,462,11.371826428781283,11.134882788019237,10.913134644073633,11.645227029834693,0.9653677502984671,0.00195557338414476
x_trig_wt1,259,462,33.10001796846226,33.129741903971706,34.880174087981956,35.71256593922318,0.9891464781176111,0.000618429189857661
h4_wt2_wave_aligned,259,462,0.25096525096525096,0.2510822510822511,0.0,0.0,0.9974263951177714,-0.00011700011700011004
