n,expR,moR,maxDD_R,monthly_ret,variant,sizing
17080,-0.013115580254105638,-5.472704278434498,1221.5956358344097,-0.00026879783053725657,BASE,FIXED
17080,-0.024161805278698573,-10.08193404802217,1472.70866930059,-0.00041075064980001326,BASE,CONVICTION
17080,0.025603553347554476,10.683528538847877,407.2234996054013,0.001574102950718737,TIGHTEN,FIXED
17080,0.021129119596616914,8.816493130737562,483.2457192445132,0.0010946596457621074,TIGHTEN,CONVICTION
17080,-0.001973155607766774,-0.8233335412866644,313.06536729051487,-0.00015779456189850022,SEQ_TIGHT,FIXED
17080,-0.007827803258303352,-3.2662872364377518,376.2144834518367,-0.0005209188981459144,SEQ_TIGHT,CONVICTION
17080,-0.004353328281184734,-1.8165020417157445,584.0506726006195,-0.0001866107302259257,PARTIAL,FIXED
17080,-0.013113092988920935,-5.4716664237186405,648.130460472041,-0.0005065338005931918,PARTIAL,CONVICTION
17080,0.0025255350191653535,1.0538234707835945,500.49713958899906,0.0001263332060177981,PARTIAL_TIGHT,FIXED
17080,-0.00422085364695388,-1.7612246934404143,559.2095610486672,-0.00018896937564561462,PARTIAL_TIGHT,CONVICTION
