label,n,exp_r,monthly_R,maxDD_R,ratio,pos_months,worst_month,risk_pct,monthly_ret,mode,thr
WF thr=-0.2,145578,-0.03355552528444449,-119.34009963892753,5452.031182330004,-0.021889108049438156,0.3902439024390244,-1172.1139744146499,1.100507278726864e-05,-0.0013133464829662893,WF,-0.2
WF thr=-0.1,133170,-0.02950606097088199,-95.99403364859332,4534.124062753065,-0.02117146163625415,0.36585365853658536,-1038.865196727865,1.323298594603711e-05,-0.0012702876981752489,WF,-0.1
WF thr=0.0,103484,-0.020549394776924735,-51.95159056441437,2942.7804115376907,-0.017653913408125516,0.36585365853658536,-782.917821333091,2.0388881129138754e-05,-0.001059234804487531,WF,0.0
WF thr=0.1,67187,-0.001957178654073835,-3.212494005071843,1338.2118533875005,-0.0024005870198652427,0.43902439024390244,-504.1899519544685,4.483595018839371e-05,-0.00014403522119191457,WF,0.1
WF thr=0.2,38650,0.017112982585341326,16.158528643298222,864.3617681829277,0.01869417324792938,0.4878048780487805,-327.32941100399006,6.941537931060135e-05,0.0011216503948757626,WF,0.2
WF thr=0.3,20685,0.025300057337885866,12.785085491878098,684.4022108145981,0.018680660713618777,0.4878048780487805,-310.98302122793433,8.766774719880875e-05,0.0011208396428171266,WF,0.3
WF thr=0.5,5132,0.035037114543064955,4.392801575166682,284.93734394028877,0.015416728163533502,0.5365853658536586,-177.72953728665803,0.00021057260929818153,0.0009250036898120101,WF,0.5
WF thr=0.75,730,-0.1504364023093492,-2.682887145262047,181.18241943567452,-0.01480765713151632,0.3902439024390244,-79.46221192605454,0.00033115795774711957,-0.0008884594278909791,WF,0.75
IS thr=-0.2,235982,0.4901297527627369,1763.0171112633582,352.4529939057393,5.002134019990374,1.0,797.5266783088178,0.00017023546696285553,0.30012804119942244,IS,-0.2
IS thr=-0.1,219132,0.5601800034912984,1871.1128773874213,295.3213975771796,6.335852710768859,1.0,967.805787550202,0.00020316848183789168,0.3801511626461316,IS,-0.1
IS thr=0.0,168875,0.742698582070836,1911.8091685313705,215.242352747322,8.882123541809115,1.0,1140.288976450436,0.0002787555480330369,0.5329274125085468,IS,0.0
IS thr=0.1,106922,0.9905119389624905,1614.3339178012175,123.24701315817947,13.09836138364932,1.0,806.6294595996444,0.0004868272135974113,0.7859016830189591,IS,0.1
IS thr=0.2,61921,1.2234071409890128,1154.7169897292838,100.53173419230734,11.486094405975566,1.0,420.4235378365734,0.0005968264695924362,0.6891656643585339,IS,0.2
IS thr=0.3,34890,1.404601684693348,747.0002336461021,76.68733449780848,9.740855364681495,1.0,164.63767093726176,0.0007823977765417657,0.5844513218808897,IS,0.3
IS thr=0.5,11089,1.6082801140706522,271.8445676260655,20.96529696443031,12.966406728570389,1.0,7.349912822260937,0.0028618721738974608,0.7779844037142234,IS,0.5
IS thr=0.75,2575,1.7530088739009284,68.80625666648797,10.459611080665354,6.578280601051858,0.8939393939393939,-1.0356296797207307,0.005736350953900219,0.3946968360631115,IS,0.75
IS thr=1.0,509,1.7813822375691228,13.821064163047815,5.146983497142628,2.6852746216731886,0.3484848484848485,0.0,0.01165731346007021,0.1611164773003913,IS,1.0
