filter,n,kept,expR,moR,maxDD_R,monthly_ret
none (baseline),3391,1.0,0.11967500264410803,6.248405619590403,54.730601328661294,0.006849994848843264
trailing 10-trade R > 0,1473,0.43438513712769095,0.11588031367542227,2.6281514467456883,41.140800673516175,0.0038329124427141127
trailing 25-trade R > 0,1667,0.49159539958714243,0.08079484668555775,2.0737540146138933,89.05315832071543,0.0013972018873124005
trailing 50-trade R > 0,1897,0.5594219994102034,0.07344889174918752,2.145312468594575,76.84646039423318,0.0016750120624337043
trailing 100-trade R > 0,2162,0.6375700383367738,0.06545205242383917,2.1787978495902673,78.55162936067305,0.0016642286358590174
