label,k,n,trades_per_day,exp_r,risk_pct,monthly_R,mean_mo,median_mo,worst_mo,pos_mo,ge10_mo,worst_day_R,worst_day_ret,total,maxDD,breach,cagr
IS k=4,4,7988,3.997997997997998,0.154635521991406,0.0075,18.828421157673596,0.1499537906495335,0.12211311800101621,-0.364500883684014,0.7384615384615385,0.5692307692307692,-5.1579902194358525,-0.03868492664576889,3175.1622712119106,0.5150637399019933,"('daily', Timestamp('2021-01-04 00:00:00+0000', tz='UTC'))",3.370143732375867
IS k=8,8,15979,7.9974974974974975,0.16254957790340138,0.00375,39.59150637450858,0.15869560200003657,0.13123126995253576,-0.2814545536098474,0.7384615384615385,0.5692307692307692,-10.250171145430262,-0.03843814179536348,6277.450172453892,0.502402030946217,"('daily', Timestamp('2021-01-23 00:00:00+0000', tz='UTC'))",3.9502227431365835
IS k=16,16,31962,15.996996996996996,0.16840606529514168,0.001875,82.04615994934574,0.16176885081182188,0.14410292241784228,-0.2410269346125654,0.8153846153846154,0.5384615384615384,-19.96283349101286,-0.03743031279564911,10904.874524200111,0.4085778776260501,"('daily', Timestamp('2021-02-13 00:00:00+0000', tz='UTC'))",4.476277870079152
IS k=24,24,47941,23.994494494494493,0.1740707699714057,0.00125,127.20363509293063,0.16685141169486498,0.1500897497241087,-0.18948246881245745,0.8,0.6,-29.429256525698655,-0.03678657065712332,16840.422713451313,0.29201075704788787,"('daily', Timestamp('2021-02-13 00:00:00+0000', tz='UTC'))",4.929279554046309
WF k=4,4,4986,2.4954954954954953,-0.08663174487188186,0.0075,-6.584092431199708,-0.04631027236080532,0.0,-0.41023579309211555,0.26153846153846155,0.1076923076923077,-13.097590641998764,-0.09823192981499072,-0.9804674795116044,0.9854997780234352,"('daily', Timestamp('2023-01-01 00:00:00+0000', tz='UTC'))",-0.5131661094763349
WF k=8,8,9974,4.991991991991992,-0.06807947197251828,0.00375,-10.350280646538126,-0.034790151644403335,0.0,-0.382265150424167,0.2923076923076923,0.1076923076923077,-14.015435139229766,-0.05255788177211162,-0.9555623939582626,0.9742955698555341,"('daily', Timestamp('2023-01-01 00:00:00+0000', tz='UTC'))",-0.43418497606589757
WF k=16,16,19950,9.984984984984985,-0.061145438475801964,0.001875,-18.594030839613456,-0.03301871730063886,0.0,-0.35774834039487,0.27692307692307694,0.09230769230769231,-21.24099564847117,-0.03982686684088344,-0.9352074362206803,0.9438919577308513,"('daily', Timestamp('2023-01-01 00:00:00+0000', tz='UTC'))",-0.39378214110974574
WF k=24,24,29924,14.976976976976976,-0.058684537392354075,0.00125,-26.767629639715963,-0.030874229959724366,0.0,-0.33865525933237706,0.26153846153846155,0.1076923076923077,-29.27112450432556,-0.03658890563040695,-0.9246449667536863,0.9419914492872625,"('daily', Timestamp('2023-01-01 00:00:00+0000', tz='UTC'))",-0.37680413310375516
