label,n,exp_r,monthly_R,maxDD_R,ratio,pos_months,worst_month,risk_pct,monthly_ret,mode,thr
WF thr=-0.2,36375,0.004444318688244681,3.9494334583887354,1334.0594186001997,0.0029604629324028104,0.5609756097560976,-516.4297955901593,4.497550795972546e-05,0.00017762777594416862,WF,-0.2
WF thr=-0.1,34459,0.009088005469437622,7.650641564645205,1212.3976891395737,0.006310339943055143,0.5365853658536586,-514.8618617496957,4.94887119444952e-05,0.00037862039658330854,WF,-0.1
WF thr=0.0,31008,0.008442862835504241,6.3957296083891855,1186.0414951240714,0.005392500713240333,0.5365853658536586,-493.7337842636818,5.058844926308706e-05,0.00032355004279441995,WF,0.0
WF thr=0.1,26387,0.008779553083265296,5.6596429260154215,1046.604634195253,0.005407622650521885,0.5365853658536586,-456.1480059865183,5.732823841940536e-05,0.00032445735903131304,WF,0.1
WF thr=0.2,21124,0.006671017355452221,3.4426655614514234,907.199925662025,0.00379482566528999,0.5609756097560976,-410.3463057063291,6.613757155702506e-05,0.00022768953991739939,WF,0.2
WF thr=0.3,16263,0.005730774049017737,2.2768821550989577,812.6892302150675,0.0028016639946076448,0.5365853658536586,-365.7053460321246,7.382895917560245e-05,0.00016809983967645869,WF,0.3
WF thr=0.5,8647,0.022341981238258722,4.719692971263462,513.1171467311516,0.009198080791746277,0.5121951219512195,-263.0333903391935,0.00011693236209749404,0.0005518848475047766,WF,0.5
WF thr=0.75,3276,0.06263736287050475,5.01307224979877,292.2874191506667,0.017151173541323922,0.4634146341463415,-153.30960430125393,0.00020527739501874189,0.0010290704124794354,WF,0.75
WF thr=1.0,1107,0.184102452212513,4.978904542858128,102.87966678622855,0.048395418632174295,0.43902439024390244,-57.80305975186384,0.000583205621424423,0.0029037251179304577,WF,1.0
IS thr=-0.2,57669,0.8191063296059262,720.0278350260512,107.8375020062631,6.6769706422190005,1.0,346.8072906043348,0.0005563927101771632,0.40061823853314,IS,-0.2
IS thr=-0.1,54085,0.911539341623213,751.482436193835,96.32397164842052,7.801613900813002,1.0,432.2908324442235,0.0006228979035353537,0.46809683404878005,IS,-0.1
IS thr=0.0,48690,1.0446813766853005,775.336466132085,81.16902284186739,9.552122706251954,1.0,467.25915423823255,0.0007391982544485148,0.5731273623751173,IS,0.0
IS thr=0.1,42044,1.1999375994183592,769.0051930533505,69.99526329611274,10.986531900024412,1.0,444.76978269694746,0.0008572008615236134,0.6591919140014647,IS,0.1
IS thr=0.2,34862,1.3586423110778831,721.9780882791115,66.91182841092282,10.789991925571927,1.0,364.8333872306152,0.0008967024429750223,0.6473995155343156,IS,0.2
IS thr=0.3,28124,1.5000764986747932,643.0682674508452,46.71342623815514,13.766240655788,1.0,282.67092003731636,0.0012844273013524429,0.82597443934728,IS,0.3
IS thr=0.5,17083,1.6943325707669905,441.1937825974945,20.27326340307991,21.762346486874353,1.0,157.62880498567495,0.002959562987322742,1.305740789212461,IS,0.5
IS thr=0.75,7946,1.8137429561657368,219.68018355726252,7.52528501340575,29.192274201697106,1.0,17.598665946239308,0.00797311994072176,1.7515364521018264,IS,0.75
IS thr=1.0,3049,1.8588383232471333,86.39042792606445,4.039008459553855,21.389018812703117,0.9848484848484849,0.0,0.01485513105526586,1.283341128762187,IS,1.0
