symbol,n_prints,mean_funding,ann_gross,pct_positive,monthly_mean,monthly_std,worst_month,sharpe
BTCUSDT,6114,9.952061171082762e-05,0.10897506982335624,0.8570493948315342,0.009081627164179103,0.012963772059572784,-0.00177227,2.42673808077959
ETHUSDT,6114,0.00010642896630683676,0.11653971810598626,0.840366372260386,0.009712040298507462,0.016520930493409646,-0.01557023,2.0364164414203763
SOLUSDT,6189,7.100079172725795e-06,0.007774586694134745,0.7119082242688641,0.0006558565671641785,0.04741256397223869,-0.35491457,0.0479188131429134
XRPUSDT,6114,0.0001196882302911351,0.13105861216879294,0.7701995420346746,0.010921997611940298,0.021287581714961305,-0.00543747,1.7773230456450582
BNBUSDT,6021,-4.996213253612354e-06,-0.005470853512705528,0.23650556385982394,-0.0004489880597014927,0.01805461677258758,-0.02959577,-0.08614640135430561
