label,hold,n,ann_ret,ann_vol,sharpe,maxDD,hit,mean_mo,worst_mo,pos_mo
IS h=1,1,7123,0.8016672986325701,0.13655674992742836,5.87057980699312,0.07918186327296668,0.6369507230099677,0.07019619533804448,-0.04509127255382783,0.9233038348082596
WF h=1,1,5658,0.06662253718471609,0.1028189911555996,0.6479594521978324,0.4285852610725048,0.513255567338282,0.005525292296650086,-0.07471923884888554,0.5777777777777777
IS h=5,5,1424,0.42039277528125396,0.1310810606219216,3.207120641888892,0.0675715419968297,0.6846910112359551,0.03556139519633916,-0.05213763436230545,0.8407079646017699
WF h=5,5,1132,0.0647340023129242,0.09484086831079214,0.6825538764659115,0.3560202821992688,0.5450530035335689,0.0053900417462807325,-0.0610359164295734,0.5333333333333333
IS h=21,21,339,0.2726629228221172,0.1473010581313046,1.8510588198155689,0.11405710000912211,0.696165191740413,0.022077401417045478,-0.11405710000912217,0.6927710843373494
WF h=21,21,270,0.01975021262046915,0.09116085678694967,0.21665233650257373,0.28788286704137345,0.5444444444444444,0.0015454113174079855,-0.06770366076392875,0.5427509293680297
