feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
tbi_ma96,long,9,0.0047254010127430815,inf,3487,0.1447952518861062,0.22143235059018984,0.6068253513048466,1932,-0.022967820633344106
tbi_ma24,long,9,0.008454360435815095,inf,3502,0.1101796348595674,0.18681673356365106,0.59565962307253,1958,-0.04828410987486224
dq_cum24,long,9,0.40847396070095277,inf,3502,0.10979810931266946,0.18643520801675312,0.5953740719588806,1953,-0.04950618860694634
persist96,long,9,0.24157870517675684,inf,3497,0.06852862281551575,0.1451657215195994,0.5676293966256791,1060,-0.05296376971611121
disp96,long,9,8.812259787323299,inf,3497,0.06232917503980482,0.13896627374388848,0.5747783814698313,986,0.08980651338247639
since_hi480,long,6,280.0,356.0,3466,0.05831652549257696,0.13495362419666063,0.5735718407386036,1187,-0.021148936627621705
atr_pct,long,8,0.01209467368322986,0.015125065045819246,3506,0.035367734041109995,0.11200483274519366,0.5387906446092413,430,-0.3056557516663459
to_lo24,long,9,5.191716118884818,inf,3504,0.027101144400577405,0.10373824310466107,0.5499429223744292,1197,-0.06075909936666266
since_hi480,long,8,419.0,463.0,3439,0.02665164972977935,0.103288748433863,0.5568479209072404,1699,-0.1363106233704394
disp24,short,0,-inf,-3.5582270825511917,3504,0.023444462126209712,0.11592840393615444,0.5399543378995434,1540,-0.015950092751397884
disp24,long,9,3.967556860269467,inf,3504,0.021123514804821896,0.09776061350890555,0.5442351598173516,1211,-0.09222967876069935
tbi_ma8,long,9,0.014429968322520798,inf,3505,0.019111903952042295,0.09574900265612594,0.5583452211126961,2202,-0.09977418569925368
pos480,long,8,0.8484892860420894,0.912127636486904,3458,0.015210680366294714,0.09184777907037836,0.5520532099479468,816,-0.06330710417834784
to_lo96,long,9,11.420847525303955,inf,3497,0.014343882885167428,0.09098098158925108,0.556762939662568,1252,0.02796746978423259
pos480,long,7,0.7656027614557175,0.8484892860420894,3458,0.014091474924632976,0.09072857362871663,0.550028918449971,1067,-0.26677758480082037
pos96,long,8,0.8091177277414976,0.8846750563014569,3496,0.009642503542107647,0.0862796022461913,0.5434782608695652,1158,-0.07895548419885204
atr_pct,short,9,0.015125065045819246,inf,3506,0.002165361664852174,0.09464930347479691,0.5094124358243012,258,-0.33624150476905873
since_hi480,short,2,47.0,92.0,3422,0.0016071189093087516,0.0940910607192535,0.5441262419637639,986,-0.0690610025996907
pos24,short,1,0.16885106090320068,0.25732745322226325,3503,0.00017548826255919635,0.09265943007250393,0.5412503568369968,1198,-0.1142633260248915
since_lo480,short,1,35.0,90.0,3437,-0.0015901877249161463,0.09089375408502859,0.5356415478615071,1377,0.0075547097088376385
disp6,short,0,-inf,-1.683511564095863,3506,-0.0018749586872841262,0.09060898312266061,0.5353679406731318,1542,-0.09717490054646631
to_hi24,short,9,4.732522399748711,inf,3504,-0.0032952166964681697,0.08918872511347657,0.528824200913242,1609,-0.02770098581409528
disp96,short,0,-inf,-7.426423940291588,3497,-0.0035295609552995094,0.08895438085464523,0.5396053760366029,1604,-0.03906045285218078
to_hi480,long,1,2.2205009344347406,3.930816756924312,3458,-0.011081039203198986,0.06555605950088467,0.5323886639676113,969,-0.048722279635637404
avg_trade_usd,short,9,5170.506489220891,inf,3506,-0.011325331952123785,0.08115860985782095,0.5293782087849401,3131,-0.17265274751154822
pos24,short,2,0.25732745322226325,0.34267005692957053,3504,-0.011736263441942394,0.08074767836800234,0.5368150684931506,1131,-0.13372921313062866
persist96,short,7,0.15150286218807263,0.18864550031202978,3496,-0.011894925465470515,0.08058901634447423,0.5323226544622426,1387,-0.09983676214152609
pos480,short,2,0.24998299317228478,0.3298950993580277,3458,-0.012096238382242126,0.08038770342770261,0.5358588779641411,1553,-0.18726146081519784
vol_of_vol,short,1,-0.9972908337428363,-0.7843945584498624,3456,-0.012694755189642836,0.0797891866203019,0.5413773148148148,1306,-0.15023855279607018
tbi_ma96,short,2,-0.0066377527299552805,-0.005085064284127192,3487,-0.012935370705777353,0.07954857110416738,0.5334098078577574,1003,-0.0632458288180052
to_hi96,short,8,7.94786074620019,10.230939531896672,3496,-0.013858944732514223,0.07862499707743051,0.5346109839816934,1687,-0.1348668773406933
to_hi480,long,0,-inf,2.2205009344347406,3458,-0.016700340963076446,0.05993675774100721,0.5277617119722383,1054,-0.01138051113768322
accel,long,1,-1.5948466722011192,-1.0369045145840763,3503,-0.017289002861250156,0.0593480958428335,0.5281187553525549,1328,-0.07641929862774499
pos96,long,7,0.7289644247048697,0.8091177277414976,3496,-0.017359317007177473,0.05927778169690618,0.5348970251716247,967,-0.0795988409752592
pos480,long,4,0.4294717520841592,0.5297469011962922,3458,-0.017549852341159935,0.059087246362923715,0.5344129554655871,1133,-0.3051862955479127
to_lo480,short,0,-inf,3.6751248042994415,3458,-0.0186834269913248,0.07380051481861993,0.5196645459803354,1520,-0.002478051802859077
to_lo96,short,1,1.548522436847114,2.43858937326728,3496,-0.019467502406781856,0.07301643940316288,0.5268878718535469,1293,-0.16277445890273864
since_hi480,short,5,212.0,280.0,3446,-0.019703180248688272,0.07278076156125646,0.5293093441671504,1060,-0.07606466395912839
to_lo480,long,4,10.630130844913717,12.952280230762838,3458,-0.019906946747112797,0.056730151956970856,0.5320994794679005,1280,-0.06340771776953631
dow,short,3,3.0,4.0,4992,-0.02076261088848309,0.07172133092146164,0.5224358974358975,1848,-0.021003150308354562
m1_jump,long,0,-inf,0.13225421248372002,3506,-0.021433599213310985,0.05520349949077267,0.5319452367370222,1093,-0.07468396167501735
dq_cum24,short,2,-0.44740475046223144,-0.31673054432916425,3501,-0.021728927649518906,0.07075501416042583,0.5295629820051414,1080,-0.003918825572743063
atr_rank,long,5,0.45416666666666666,0.5583333333333333,3462,-0.02174593643821488,0.05489116226586877,0.5283073367995378,1251,-0.04049607857941655
since_lo480,short,9,472.0,inf,3619,-0.021877827960631802,0.07060611384931294,0.528046421663443,910,-0.06952156127850005
