feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
pos480,long,7,0.796112505193789,0.8739881025689143,828,0.32426451782320664,0.4129954703718374,0.46859903381642515,365,0.03494501475493265
to_hi480,short,8,22.051911477403223,30.382761438644796,829,0.25870755615232593,0.3461935893405906,0.44149577804583834,504,-0.16813921753470917
to_hi96,long,4,3.3604410362712,4.358958469130034,867,0.2359127702669768,0.3246437228156076,0.43944636678200694,353,0.1030185426234858
to_lo480,short,9,25.484712895199703,inf,829,0.2316479498886754,0.3191339830769401,0.4439083232810615,249,-0.16622025748654218
persist96,long,9,0.26354186353312103,inf,867,0.212776718965854,0.3015076715144848,0.42675893886966554,162,-0.3158678710851419
to_hi24,short,9,4.790134118284894,inf,875,0.17822946045365579,0.26571549364192043,0.4114285714285714,386,0.11330254267881387
since_hi480,short,6,280.0,355.0,826,0.17005471187927612,0.25754074506754077,0.4152542372881356,268,-0.429413185455003
disp24,short,0,-inf,-3.577461783881696,874,0.16148624915465828,0.24897228234292296,0.40274599542334094,405,0.01173187975419564
to_lo96,long,8,9.137172348829573,11.48572580007687,867,0.141504431489185,0.2302353840378158,0.4117647058823529,310,-0.04991608962380959
persist24,short,6,0.2462627617705114,0.30578017484461784,873,0.13478451285739237,0.22227054604565705,0.4009163802978236,306,0.030904349755081748
dq_cum24,long,9,0.2675339650052798,inf,875,0.12663001051981188,0.21536096306844266,0.39885714285714285,529,0.0340293366195942
tbi_ma24,long,9,0.005514033581752368,inf,875,0.12602459839152366,0.21475555094015447,0.39885714285714285,530,0.03188434938350267
since_lo480,short,2,111.0,176.50000000000045,838,0.11958774707293361,0.20707378026119827,0.4021479713603819,373,0.05714128291373427
to_hi480,long,2,3.0011919642799527,4.7998143696449915,829,0.11786182535162221,0.206592777900253,0.39927623642943305,291,-0.04908604053745429
persist96,short,7,0.15744874036607343,0.19993176108058378,867,0.11718018082266117,0.20466621401092583,0.3944636678200692,362,-0.22647181317585197
pos96,long,7,0.7579715165324187,0.8399926079556,867,0.11504567413849588,0.20377662668712668,0.40369088811995385,303,-0.005301304576237313
disp96,long,9,9.598565625143438,inf,867,0.11413973372699791,0.2028706862756287,0.3990772779700115,117,-0.322798735591993
since_lo480,long,6,366.0,410.0,830,0.10758053749067757,0.19631149003930837,0.39397590361445783,247,-0.07856163357294035
atr_pct,long,4,0.015344019804804385,0.017038161888111823,876,0.10724942488853774,0.19598037743716853,0.3938356164383562,287,-0.24591813819529387
