mode,thr,n,expR,moR,ddR,ratio
IS,0.0,10322,0.5573331781696893,207.9750842050543,64.83806968905537,3.2076075861363953
IS,0.1,6995,0.7394761805168835,187.00123072430267,57.76455603882823,3.237300579244546
IS,0.2,3932,0.9104822367795513,129.4248120649922,32.65463424095424,3.963443936011765
IS,0.3,1918,1.139420014543832,79.00689664551773,18.18157370403219,4.34543774546843
WF,0.0,6213,0.0023760283589288555,0.5336856556604755,308.4339315886366,0.0017303078585149344
WF,0.1,4358,-0.0025660836841749288,-0.4042877644359968,251.99300480519514,-0.0016043610605323514
WF,0.2,2485,-0.046838141486912864,-4.207834051960979,224.52494649943708,-0.018741053578077697
WF,0.3,1317,-0.10814373947924853,-5.148962328953141,189.58399230039913,-0.02715926733304846
