risk,heat,p_pass,p_bust,p_time,mean,median,p5,p95
0.0025,0.02,0.203125,0.08333333333333333,0.7135416666666666,0.023297111667099444,0.015206644564926819,-0.06112473403973567,0.10371213499795578
0.0025,0.04,0.28125,0.17708333333333334,0.5416666666666666,0.022681499574289537,0.010517430580890719,-0.06118190455038704,0.1043250491011647
0.0025,0.06,0.2838541666666667,0.21354166666666666,0.5026041666666666,0.02079570513255982,0.002535366989940502,-0.06132234743315615,0.10425441492547721
0.005,0.02,0.234375,0.20052083333333334,0.5651041666666666,0.020860365080403984,0.019048106681352817,-0.06397356481052242,0.10867032954168512
0.005,0.04,0.3541666666666667,0.4453125,0.20052083333333334,0.021318947004551964,0.006831067512873323,-0.06391234823529748,0.10887416131889659
0.005,0.06,0.3046875,0.6432291666666666,0.052083333333333336,0.017290536200997682,0.0002635661999343397,-0.06321411752895628,0.10838060620999479
0.0075,0.02,0.1953125,0.1640625,0.640625,0.021876919768078748,0.01868986062979716,-0.06461680472841459,0.11007925973127101
0.0075,0.04,0.2630208333333333,0.6848958333333334,0.052083333333333336,0.005548284666935156,-0.02467757515857133,-0.06556618496941734,0.10989828047100256
0.0075,0.06,0.2916666666666667,0.7057291666666666,0.0026041666666666665,0.011403091464497077,-0.01432659114549334,-0.06335914934946149,0.1117033625474193
0.01,0.02,0.2604166666666667,0.3046875,0.4348958333333333,0.019349324221560164,0.013438989212457009,-0.06561665022916699,0.11592256016440945
0.01,0.04,0.3072916666666667,0.6796875,0.013020833333333334,0.01828892474569622,-0.009263472326853539,-0.06461616567913042,0.11811834682145861
0.01,0.06,0.2994791666666667,0.7005208333333334,0.0,0.01517287778237681,-0.013798900565216266,-0.06228091242037038,0.1169777164346647
0.015,0.02,0.22395833333333334,0.3385416666666667,0.4375,0.014662956639306163,0.0035496223956524853,-0.06733986056824891,0.12194695248554271
0.015,0.04,0.2552083333333333,0.7369791666666666,0.0078125,0.01539360236961127,-0.015251539059050023,-0.060776946283052094,0.12393807247670476
0.015,0.06,0.265625,0.734375,0.0,0.011498309278574051,-0.030310165745561002,-0.05993472826266546,0.12096389712441499
0.02,0.02,0.3125,0.46875,0.21875,0.013431403086456684,-0.007149919430039897,-0.07711610508014805,0.12583711401132924
0.02,0.04,0.3151041666666667,0.6822916666666666,0.0026041666666666665,0.014636689341590181,-0.025729584208855016,-0.0650431750584235,0.13355318454625786
0.02,0.06,0.3098958333333333,0.6901041666666666,0.0,0.012086409150137792,-0.04031099392516169,-0.062043883070221975,0.12482777078892808
0.03,0.04,0.1953125,0.8046875,0.0,0.00841629731678518,-0.030464224109359617,-0.031238952760831634,0.12098903321929495
0.03,0.06,0.23697916666666666,0.7630208333333334,0.0,0.009554682490548439,-0.030497680265241522,-0.03135170726665008,0.11988590634861625
