variant,n,expR,moR,maxDD_R,monthly_ret,pct_target,pct_stop,pct_signal_exit,pct_stop_moved,avg_loss,avg_win,ltf,buf,rr
BASE,3391,0.14480444285100985,7.560450173062546,104.92718180875835,0.004323255447864207,0.34739015039811266,0.5567679150693011,0.0,0.0,-0.982098062469669,1.771018937200664,1min,0.05,1.803301528512444
TIGHTEN,3391,0.015589025789437216,0.813925666969307,56.55445169984746,0.0008635136324430167,0.07195517546446475,0.9262754349749337,0.0,0.981126511353583,-0.22045492419260676,0.7775812782875816,1min,0.05,3.5271667491002625
REDDOT,3391,-0.02876515686027092,-1.501870597894365,99.08160558465693,-0.0009094749256628522,0.0005897965202005308,0.005897965202005308,0.9935122382777941,0.0,-0.11883930500887561,0.08754004389106934,1min,0.05,0.7366253436481418
BOTH,3391,-0.02862724787748711,-1.4946701697015123,97.86777299435688,-0.0009163405627638197,0.0005897965202005308,0.1501032143910351,0.8493069890887643,0.30580949572397526,-0.11487263808314019,0.08850574730446036,1min,0.05,0.7704684838908589
SEQ,3391,-0.018097174888603563,-0.9448797725030009,82.33169534324756,-0.0006885900516662896,0.013270421704511943,0.010026540843409024,0.976703037452079,0.0,-0.18093334866113567,0.27654591004860446,1min,0.05,1.5284407882514712
SEQ_TIGHT,3391,-0.018037818717444858,-0.9417807006397785,82.61990729013802,-0.0006839373692341541,0.013270421704511943,0.15069301091123563,0.8360365673842525,0.981126511353583,-0.1764012382590083,0.2845518567327871,1min,0.05,1.6130944404992342
BASE,3391,0.14480444285100985,7.560450173062546,104.92718180875835,0.004323255447864207,0.34739015039811266,0.5567679150693011,0.0,0.0,-0.982098062469669,1.771018937200664,5min,0.05,1.803301528512444
TIGHTEN,3391,0.06670417343286116,3.4827217290104864,43.71642458014932,0.004779972418776326,0.14538484222943085,0.8507814803892657,0.0,0.8758478324977883,-0.4063191529642471,1.0857944282567706,5min,0.05,2.67226986553674
REDDOT,3391,-0.02536037870828446,-1.3241021878814807,95.35949184797946,-0.0008331224268638152,0.003538779121203185,0.03391329991153052,0.9625479209672663,0.0,-0.20905456340929696,0.16846481860351112,5min,0.05,0.8058413834941393
BOTH,3391,-0.02774620837374775,-1.4486698182110902,101.23569681104124,-0.0008585922933380302,0.003538779121203185,0.12238277794161015,0.8740784429371866,0.19728693600707756,-0.20387569994903712,0.16940874125834177,5min,0.05,0.8309413103213817
